##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.)/(mW/mg),Sensit./(uV/mW)
49.333,10.00917,-0.04969,0.01266697,1.07447
49.433,10.41732,-0.05020407,0.01664429,1.07446
49.533,10.5168,-0.05136128,0.0232021,1.07445
49.633,10.58806,-0.05130492,0.02789185,1.07445
49.733,10.64348,-0.05128925,0.03103851,1.07444
49.833,10.68937,-0.05198414,0.03733107,1.07443
49.933,10.73082,-0.05235324,0.03843921,1.07443
50.033,10.76828,-0.05296376,0.04407047,1.0744200000000002
50.133,10.802610000000001,-0.05270457,0.04670288,1.07441
50.233,10.8347,-0.05209645,0.05266391,1.07441
50.333,10.86497,-0.05140077,0.05617869,1.0744
50.433,10.89363,-0.05167289,0.0590546,1.07439
50.533,10.92053,-0.05229838,0.06193028,1.07438
50.633,10.94632,-0.05322186,0.06506573,1.07438
50.733,10.971160000000001,-0.05411449,0.06824512,1.07437
50.833,10.9949,-0.05361073,0.07219074,1.07436
50.933,11.01769,-0.05306235,0.07330333,1.07436
51.033,11.04001,-0.05284311,0.07602884,1.07435
51.133,11.061580000000001,-0.05354116,0.08137101,1.07434
51.233,11.08272,-0.0542556,0.08461245,1.07433
51.333,11.10322,-0.05385744,0.08451869,1.07433
51.433,11.12293,-0.05308511,0.08759452,1.0743200000000002
51.533,11.1426,-0.05309843,0.09038189,1.07431
51.633,11.16152,-0.05384211,0.09296038,1.0743
51.733,11.18011,-0.05338426,0.0954535,1.0743
51.833,11.198310000000001,-0.05397338,0.09828169,1.07429
51.933,11.21649,-0.0544343,0.10024,1.07428
52.033,11.23418,-0.05463328,0.10122,1.07428
52.133,11.25152,-0.05444529,0.10615,1.07427
52.233,11.26844,-0.05457059,0.10692,1.07426
52.333,11.28515,-0.05426984,0.11001,1.07425
52.433,11.30195,-0.05342635,0.11166,1.07425
52.533,11.31817,-0.05288879,0.11473,1.0742399999999999
52.633,11.33458,-0.05264523,0.11427999999999999,1.07423
52.733,11.35042,-0.05248909,0.11413,1.0742200000000002
52.833,11.3662,-0.05287776,0.11980999999999999,1.07421
52.933,11.38205,-0.05301433,0.12104000000000001,1.07421
