Time after Ignition,Memory_Foam_Carpet_Pad_R1,Memory_Foam_Carpet_Pad_R2,Memory_Foam_Carpet_Pad_R3,Mean,Std. Dev.
0.0,35.1,25.3,21.4,27.3,7.0
0.25,42.7,28.3,27.1,32.7,8.7
0.5,41.8,33.8,33.4,36.3,4.8
0.75,48.3,39.5,37.5,41.8,5.8
1.0,55.1,44.3,45.5,48.3,5.9
1.25,60.0,48.0,54.3,54.1,6.0
1.5,67.4,52.1,61.5,60.3,7.7
1.75,75.1,56.0,67.4,66.2,9.6
2.0,79.9,58.3,75.6,71.2,11.4
2.25,87.7,64.9,82.8,78.5,12.0
2.5,94.4,71.3,90.2,85.3,12.3
2.75,98.9,76.0,96.6,90.5,12.6
3.0,103.3,81.9,100.8,95.4,11.7
3.25,110.1,88.2,109.1,102.5,12.4
3.5,116.8,91.9,113.9,107.5,13.6
3.75,121.8,97.0,120.5,113.1,13.9
4.0,128.2,102.1,123.7,118.0,14.0
4.25,132.0,109.9,129.5,123.8,12.1
4.5,134.7,116.0,135.4,128.7,11.0
4.75,141.6,121.7,135.5,132.9,10.2
5.0,146.0,123.4,142.0,137.2,12.1
5.25,152.5,132.0,144.4,142.9,10.3
5.5,155.5,139.1,146.0,146.9,8.2
5.75,161.5,143.3,149.3,151.4,9.3
6.0,163.6,146.5,155.7,155.2,8.6
6.25,164.5,150.1,157.5,157.4,7.2
6.5,167.0,158.6,155.2,160.3,6.1
6.75,171.4,160.4,164.0,165.3,5.6
7.0,172.5,164.3,166.2,167.7,4.3
7.25,176.9,166.5,166.5,169.9,6.0
7.5,177.9,169.9,168.7,172.2,5.0
7.75,180.7,176.8,172.0,176.5,4.3
8.0,184.1,179.6,172.4,178.7,5.9
8.25,187.5,177.9,175.8,180.4,6.2
8.5,187.0,182.3,177.2,182.2,4.9
8.75,186.1,184.1,181.0,183.7,2.6
9.0,192.4,187.0,180.4,186.6,6.0
9.25,191.7,190.0,183.0,188.2,4.6
9.5,193.4,188.9,186.5,189.6,3.5
9.75,195.7,191.1,185.7,190.8,5.0
10.0,195.1,193.9,188.1,192.4,3.7
10.25,197.7,192.3,188.9,193.0,4.4
10.5,197.9,196.0,189.5,194.5,4.4
10.75,204.9,196.6,193.9,198.5,5.7
11.0,201.3,199.6,194.8,198.6,3.4
11.25,201.5,200.7,198.4,200.2,1.6
11.5,201.0,202.1,198.3,200.5,2.0
11.75,207.0,209.7,199.3,205.3,5.4
12.0,208.4,204.7,203.9,205.7,2.4
12.25,209.3,207.6,202.8,206.5,3.4
12.5,206.0,210.0,205.9,207.3,2.3
12.75,207.1,212.5,208.0,209.2,2.9
13.0,209.6,208.2,207.7,208.5,1.0
13.25,210.3,210.2,207.9,209.4,1.4
13.5,210.7,214.1,210.2,211.7,2.1
13.75,210.9,215.9,210.1,212.3,3.2
14.0,213.4,214.0,214.8,214.1,0.7
14.25,213.5,214.7,215.6,214.6,1.1
14.5,212.9,220.4,215.3,216.2,3.8
14.75,217.5,224.2,213.0,218.2,5.7
15.0,213.8,220.6,217.0,217.1,3.4
15.25,215.0,219.0,218.6,217.5,2.2
15.5,221.9,228.2,218.3,222.8,5.0
15.75,221.2,223.8,221.0,222.0,1.5
16.0,218.6,224.8,218.4,220.6,3.7
16.25,222.3,228.3,220.6,223.7,4.0
16.5,221.1,228.3,223.4,224.3,3.7
16.75,225.0,230.2,222.9,226.0,3.8
17.0,225.0,227.3,221.1,224.4,3.1
17.25,219.1,230.8,224.5,224.8,5.9
17.5,225.0,226.8,229.4,227.1,2.2
17.75,224.4,230.1,226.7,227.1,2.9
18.0,229.9,233.9,228.1,230.7,3.0
18.25,228.0,231.0,228.9,229.3,1.6
18.5,230.4,235.1,229.7,231.7,3.0
18.75,230.5,230.1,232.5,231.0,1.3
19.0,237.0,236.4,232.8,235.4,2.3
19.25,236.7,231.6,236.4,234.9,2.9
19.5,238.3,235.8,236.7,236.9,1.3
19.75,238.6,240.2,233.4,237.4,3.5
20.0,238.4,236.4,240.4,238.4,2.0
20.25,239.6,238.7,239.2,239.2,0.4
20.5,243.2,240.0,236.9,240.0,3.1
20.75,242.3,242.3,239.5,241.4,1.6
21.0,241.5,240.1,244.2,241.9,2.1
21.25,245.3,243.0,239.8,242.7,2.8
21.5,244.8,244.3,246.7,245.2,1.3
21.75,253.6,240.9,243.6,246.0,6.7
22.0,251.2,247.8,248.8,249.3,1.8
22.25,253.6,252.7,247.2,251.2,3.4
22.5,252.9,253.0,252.3,252.7,0.4
22.75,251.6,252.7,256.8,253.7,2.7
23.0,256.2,248.7,259.3,254.7,5.5
23.25,259.4,251.2,258.4,256.3,4.5
23.5,259.0,255.8,258.2,257.7,1.7
23.75,258.2,258.1,260.6,259.0,1.4
24.0,272.5,262.9,267.1,267.5,4.8
24.25,264.8,260.0,264.1,262.9,2.6
24.5,267.2,261.3,267.6,265.4,3.5
24.75,260.8,268.0,266.7,265.2,3.9
25.0,270.8,267.0,273.1,270.3,3.1
25.25,267.6,269.1,272.5,269.8,2.5
25.5,271.7,270.7,276.6,273.0,3.1
25.75,280.6,268.5,279.7,276.3,6.7
26.0,276.5,270.3,278.9,275.2,4.4
26.25,278.2,277.0,287.9,281.1,6.0
26.5,280.4,274.9,286.6,280.6,5.9
26.75,285.0,277.1,286.3,282.8,5.0
27.0,281.8,281.6,294.4,285.9,7.3
27.25,285.7,279.0,292.7,285.8,6.8
27.5,285.0,286.1,294.6,288.6,5.2
27.75,291.4,293.4,298.8,294.5,3.9
28.0,293.9,282.7,306.0,294.2,11.6
28.25,283.4,289.6,301.7,291.6,9.3
28.5,287.3,294.0,305.1,295.5,9.0
28.75,291.0,292.1,304.0,295.7,7.2
29.0,292.3,285.9,308.3,295.5,11.5
29.25,290.4,297.0,312.4,299.9,11.3
29.5,293.0,298.5,306.1,299.2,6.6
29.75,290.8,291.7,316.6,299.7,14.6
30.0,304.0,302.1,324.1,310.1,12.2
30.25,296.3,296.3,313.8,302.1,10.1
30.5,305.4,305.5,313.3,308.0,4.5
30.75,302.4,300.5,325.6,309.5,14.0
31.0,307.7,303.8,327.3,312.9,12.6
31.25,309.2,303.3,321.0,311.2,9.0
31.5,308.3,307.4,330.2,315.3,12.9
31.75,305.5,298.8,338.6,314.3,21.3
32.0,319.6,318.9,332.6,323.7,7.7
32.25,314.9,307.1,329.8,317.3,11.5
32.5,314.4,307.1,337.4,319.6,15.9
32.75,321.7,308.6,335.3,321.9,13.3
33.0,323.0,314.8,338.1,325.3,11.8
33.25,318.5,315.5,339.0,324.3,12.8
33.5,323.2,315.8,340.1,326.4,12.4
33.75,324.4,322.8,344.0,330.4,11.8
34.0,327.9,328.2,340.1,332.1,7.0
34.25,325.8,326.8,340.3,331.0,8.1
34.5,322.2,329.6,345.3,332.4,11.8
34.75,329.2,323.8,347.2,333.4,12.3
35.0,322.4,332.7,351.0,335.4,14.5
35.25,325.4,329.9,345.4,333.6,10.5
35.5,334.1,334.3,348.2,338.9,8.1
35.75,330.3,336.0,354.4,340.2,12.6
36.0,328.9,335.9,347.9,337.6,9.6
36.25,325.2,331.0,347.1,334.4,11.4
36.5,329.2,336.9,345.3,337.2,8.0
36.75,338.0,335.9,357.3,343.8,11.8
37.0,335.4,337.8,354.7,342.6,10.5
37.25,331.6,344.6,365.1,347.1,16.9
37.5,339.9,335.0,368.8,347.9,18.3
37.75,343.1,339.4,359.3,347.3,10.6
38.0,339.3,345.5,356.0,346.9,8.5
38.25,336.1,356.0,363.3,351.8,14.1
38.5,340.1,354.5,364.7,353.1,12.4
38.75,343.6,350.2,370.2,354.7,13.8
39.0,344.7,346.2,371.4,354.1,15.0
39.25,350.7,353.0,376.2,360.0,14.1
39.5,350.9,356.2,369.8,359.0,9.7
39.75,348.8,354.7,371.8,358.4,11.9
40.0,361.6,361.7,380.9,368.1,11.1
40.25,351.8,365.4,359.3,358.8,6.8
40.5,360.3,366.7,373.8,366.9,6.7
40.75,358.2,361.4,378.4,366.0,10.8
41.0,367.8,364.6,380.3,370.9,8.3
41.25,366.7,364.6,385.7,372.3,11.6
41.5,365.8,369.6,382.6,372.6,8.8
41.75,372.3,365.4,393.9,377.2,14.9
42.0,376.8,374.4,392.1,381.1,9.6
42.25,383.7,377.2,394.3,385.1,8.6
42.5,388.8,382.8,392.1,387.9,4.7
42.75,386.7,383.5,388.8,386.3,2.7
43.0,393.3,379.5,397.1,390.0,9.3
43.25,392.0,385.4,394.7,390.7,4.8
43.5,388.3,396.8,398.3,394.4,5.4
43.75,386.9,398.3,400.8,395.4,7.4
44.0,391.7,398.1,407.1,398.9,7.7
44.25,393.6,398.7,398.4,396.9,2.9
44.5,392.8,402.8,399.2,398.3,5.0
44.75,404.5,396.7,402.9,401.3,4.1
45.0,399.4,410.4,401.1,403.6,5.9
45.25,399.5,406.6,411.4,405.8,6.0
45.5,401.9,412.6,414.5,409.6,6.8
45.75,414.1,415.1,415.5,414.9,0.7
46.0,418.7,417.6,429.4,421.9,6.5
46.25,414.1,432.7,417.2,421.4,10.0
46.5,425.0,432.7,424.7,427.5,4.5
46.75,422.9,425.2,422.7,423.6,1.4
47.0,425.7,424.6,430.0,426.8,2.8
47.25,429.2,424.9,425.8,426.6,2.3
47.5,437.6,431.9,431.5,433.6,3.4
47.75,431.2,438.4,426.9,432.2,5.8
48.0,442.9,439.6,428.2,436.9,7.7
48.25,433.7,432.0,433.4,433.0,0.9
48.5,444.4,442.8,448.0,445.1,2.7
48.75,445.9,445.8,432.8,441.5,7.5
49.0,459.3,447.9,442.4,449.9,8.6
49.25,457.2,447.2,447.9,450.8,5.6
49.5,457.4,466.0,448.1,457.2,9.0
49.75,463.4,451.8,459.9,458.4,5.9
50.0,475.0,464.3,453.9,464.4,10.6
50.25,479.1,464.2,473.0,472.1,7.5
50.5,463.8,461.1,469.1,464.7,4.1
50.75,451.5,468.8,464.8,461.7,9.1
51.0,470.7,480.9,469.7,473.8,6.2
51.25,476.2,482.6,489.1,482.6,6.5
51.5,470.6,469.0,481.8,473.8,7.0
51.75,473.5,461.2,479.4,471.3,9.3
52.0,475.4,483.4,500.3,486.4,12.7
52.25,488.0,475.6,487.3,483.6,6.9
52.5,488.9,474.8,495.1,486.3,10.4
52.75,491.3,480.5,486.9,486.3,5.4
53.0,500.6,488.9,507.8,499.1,9.6
53.25,502.4,484.8,497.8,495.0,9.1
53.5,507.0,505.8,501.7,504.8,2.8
53.75,518.0,503.1,503.4,508.2,8.5
54.0,522.4,496.4,509.6,509.4,13.0
54.25,503.9,484.4,518.0,502.1,16.8
54.5,512.9,522.8,509.4,515.0,6.9
54.75,532.2,509.6,524.5,522.1,11.5
55.0,518.7,521.8,533.0,524.5,7.5
55.25,544.6,520.9,539.1,534.8,12.4
55.5,530.4,530.3,527.1,529.3,1.9
55.75,547.9,518.3,521.1,529.1,16.4
56.0,525.5,519.8,532.7,526.0,6.5
56.25,549.1,537.1,540.2,542.1,6.2
56.5,546.5,545.2,543.0,544.9,1.8
56.75,538.8,545.9,553.3,546.0,7.2
57.0,539.5,541.5,560.0,547.0,11.3
57.25,553.7,533.8,547.5,545.0,10.2
57.5,551.3,534.5,525.0,536.9,13.3
57.75,546.9,538.6,565.9,550.5,14.0
58.0,574.4,544.2,560.4,559.7,15.1
58.25,551.5,555.2,561.4,556.0,5.0
58.5,550.4,558.1,558.4,555.6,4.5
58.75,551.8,561.9,571.8,561.8,10.0
59.0,555.3,550.0,579.2,561.5,15.6
59.25,560.9,565.4,579.6,568.6,9.7
59.5,589.5,562.4,570.0,573.9,14.0
59.75,571.3,575.2,588.2,578.2,8.9
60.0,567.8,564.4,570.1,567.4,2.9
60.25,565.7,554.7,592.3,570.9,19.3
60.5,594.3,587.6,588.9,590.2,3.6
60.75,577.0,572.9,599.1,583.0,14.1
61.0,573.1,580.6,590.6,581.5,8.8
61.25,590.0,567.4,605.7,587.7,19.2
61.5,581.1,574.0,580.4,578.5,3.9
61.75,590.2,565.9,607.5,587.9,20.9
62.0,561.6,586.8,599.6,582.6,19.3
62.25,606.3,593.4,618.2,606.0,12.4
62.5,583.5,594.7,616.7,598.3,16.9
62.75,587.0,584.5,600.6,590.7,8.7
63.0,588.8,613.0,620.0,607.3,16.3
63.25,585.3,602.6,597.0,595.0,8.8
63.5,614.4,577.8,621.2,604.5,23.4
63.75,610.0,574.0,598.4,594.1,18.4
64.0,595.3,592.4,609.4,599.0,9.1
64.25,609.5,582.5,608.2,600.1,15.2
64.5,604.9,599.0,600.3,601.4,3.1
64.75,616.0,558.4,622.8,599.1,35.4
65.0,603.5,626.0,616.3,615.3,11.2
65.25,627.2,614.0,619.3,620.2,6.7
65.5,601.5,600.5,631.7,611.2,17.7
65.75,620.2,595.6,629.8,615.2,17.6
66.0,606.8,592.0,637.0,611.9,22.9
66.25,620.1,590.0,606.7,605.6,15.1
66.5,621.5,617.9,637.6,625.7,10.5
66.75,602.2,626.6,607.4,612.1,12.8
67.0,611.8,629.7,617.3,619.6,9.2
67.25,616.4,601.4,638.6,618.8,18.7
67.5,602.0,633.3,647.8,627.7,23.4
67.75,632.1,637.8,639.6,636.5,3.9
68.0,600.1,630.7,637.3,622.7,19.8
68.25,608.0,615.3,638.5,620.6,15.9
68.5,609.0,636.0,624.0,623.0,13.5
68.75,618.8,619.2,652.5,630.1,19.4
69.0,619.4,636.0,634.1,629.8,9.1
69.25,617.1,633.1,655.8,635.3,19.5
69.5,635.3,634.4,637.1,635.6,1.4
69.75,631.1,636.7,643.0,637.0,5.9
70.0,625.5,632.9,654.7,637.7,15.2
70.25,625.3,640.0,630.7,632.0,7.4
70.5,621.6,638.8,642.9,634.5,11.3
70.75,623.1,633.5,647.8,634.8,12.4
71.0,652.4,599.3,652.8,634.8,30.8
71.25,635.0,651.1,637.7,641.2,8.6
71.5,630.3,639.0,655.3,641.5,12.7
71.75,630.4,636.0,659.9,642.1,15.7
72.0,637.4,653.7,658.1,649.8,10.9
72.25,643.4,640.2,670.3,651.3,16.5
72.5,643.6,667.0,668.3,659.6,13.9
72.75,636.6,637.4,664.1,646.0,15.7
73.0,626.8,665.1,642.2,644.7,19.3
73.25,638.0,650.1,658.7,648.9,10.4
73.5,660.0,643.8,649.1,651.0,8.3
73.75,642.5,645.7,646.2,644.8,2.0
74.0,623.0,647.3,656.6,642.3,17.3
74.25,674.5,657.1,648.5,660.1,13.2
74.5,643.9,636.4,663.5,647.9,14.0
74.75,648.7,644.0,644.9,645.9,2.5
75.0,639.4,665.3,659.7,654.8,13.7
75.25,631.6,633.4,662.0,642.3,17.1
75.5,647.1,654.1,657.6,652.9,5.4
75.75,648.0,647.5,652.8,649.4,2.9
76.0,627.1,649.3,660.6,645.6,17.1
76.25,626.1,649.0,680.4,651.8,27.3
76.5,636.0,631.5,662.3,643.3,16.6
76.75,645.5,657.9,682.7,662.1,19.0
77.0,621.6,659.0,636.3,639.0,18.9
77.25,646.4,637.1,652.5,645.3,7.8
77.5,636.1,679.8,649.9,655.3,22.3
77.75,637.0,679.4,663.0,659.8,21.4
78.0,643.6,661.8,638.1,647.8,12.4
78.25,631.8,680.3,672.7,661.6,26.1
78.5,658.4,648.7,656.5,654.5,5.1
78.75,631.4,651.5,662.2,648.4,15.6
79.0,645.2,651.7,671.8,656.2,13.9
79.25,635.3,654.4,662.9,650.9,14.2
79.5,651.0,663.6,682.4,665.7,15.8
79.75,633.2,629.0,677.7,646.6,27.0
80.0,618.4,650.6,672.6,647.2,27.2
80.25,644.7,658.9,648.3,650.6,7.4
80.5,612.3,665.2,677.9,651.8,34.8
80.75,649.0,658.7,671.9,659.8,11.5
81.0,654.1,664.6,674.5,664.4,10.2
81.25,634.6,658.7,665.0,652.8,16.0
81.5,626.5,672.8,681.9,660.4,29.7
81.75,624.7,665.0,661.7,650.5,22.4
82.0,620.5,664.2,621.2,635.3,25.0
82.25,642.3,656.3,670.2,656.3,13.9
82.5,616.2,645.1,658.8,640.0,21.7
82.75,625.9,653.5,690.1,656.5,32.2
83.0,621.3,647.5,652.8,640.5,16.9
83.25,630.5,644.1,657.2,643.9,13.3
83.5,631.2,637.2,669.3,645.9,20.5
83.75,608.4,651.0,668.5,642.6,30.9
84.0,604.9,655.5,654.5,638.3,28.9
84.25,599.9,651.9,634.2,628.7,26.4
84.5,596.5,631.9,669.0,632.5,36.2
84.75,609.5,647.5,644.6,633.9,21.2
85.0,606.6,658.8,654.2,639.9,28.9
85.25,597.7,656.3,647.3,633.8,31.6
85.5,622.4,644.1,629.4,632.0,11.1
85.75,610.8,657.3,633.7,633.9,23.3
86.0,592.8,660.1,616.2,623.0,34.2
86.25,591.9,640.2,632.4,621.5,26.0
86.5,595.5,645.2,617.2,619.3,25.0
86.75,586.8,645.2,618.7,616.9,29.2
87.0,608.1,644.8,612.8,621.9,20.0
87.25,586.4,624.2,618.8,609.8,20.4
87.5,595.2,633.8,586.3,605.1,25.2
87.75,589.8,646.4,602.7,613.0,29.7
88.0,582.8,617.4,600.3,600.2,17.3
88.25,587.6,628.1,599.3,605.0,20.8
88.5,585.0,623.9,598.3,602.4,19.8
88.75,566.6,607.2,585.4,586.4,20.3
89.0,569.9,609.6,595.0,591.5,20.1
89.25,567.7,613.9,583.3,588.3,23.5
89.5,574.5,627.5,558.7,586.9,36.0
89.75,565.0,615.1,565.7,582.0,28.7
90.0,555.1,605.8,552.4,571.1,30.1
90.25,559.3,599.6,553.3,570.7,25.2
90.5,557.9,613.0,547.8,572.9,35.1
90.75,546.6,613.3,553.1,571.0,36.8
91.0,560.4,604.3,553.3,572.7,27.6
91.25,547.2,584.8,540.6,557.5,23.9
91.5,531.4,596.8,532.3,553.5,37.5
91.75,555.8,601.5,537.3,564.9,33.1
92.0,550.5,591.5,525.6,555.9,33.2
92.25,526.2,587.8,522.9,545.7,36.6
92.5,530.4,576.9,515.6,541.0,32.0
92.75,532.2,577.0,505.4,538.2,36.2
93.0,537.1,581.2,498.3,538.9,41.5
93.25,532.1,572.6,506.6,537.1,33.3
93.5,505.9,578.2,504.1,529.4,42.3
93.75,526.6,564.8,483.2,524.8,40.8
94.0,501.3,567.2,480.1,516.2,45.4
94.25,495.9,559.3,481.6,512.3,41.4
94.5,507.5,560.0,466.5,511.3,46.9
94.75,502.6,552.6,464.4,506.6,44.2
95.0,486.0,534.2,457.7,492.6,38.7
95.25,490.7,543.5,457.9,497.4,43.2
95.5,481.3,545.1,460.8,495.7,44.0
95.75,475.0,539.7,447.2,487.3,47.5
96.0,472.8,523.6,440.5,478.9,41.9
96.25,463.8,516.1,440.9,473.6,38.6
96.5,472.0,520.3,436.0,476.1,42.3
96.75,446.2,501.4,432.5,460.0,36.5
97.0,441.4,509.1,426.0,458.8,44.2
97.25,442.3,490.2,411.0,447.8,39.9
97.5,429.3,493.6,408.9,443.9,44.2
97.75,425.5,479.4,422.6,442.5,32.0
98.0,423.2,485.4,413.8,440.8,38.9
98.25,426.0,462.9,401.2,430.0,31.0
98.5,414.5,462.3,384.3,420.4,39.3
98.75,413.0,458.6,389.4,420.4,35.2
99.0,403.2,456.4,393.0,417.6,34.0
99.25,400.8,444.9,384.1,409.9,31.4
99.5,386.7,439.7,371.9,399.4,35.7
99.75,383.0,443.3,371.9,399.4,38.4
100.0,382.9,434.6,362.6,393.4,37.2
100.25,370.3,429.5,357.5,385.8,38.4
100.5,372.7,421.8,361.4,385.3,32.1
100.75,360.2,415.9,343.1,373.1,38.0
101.0,363.3,410.3,343.3,372.3,34.4
101.25,354.6,403.0,343.9,367.2,31.5
101.5,354.2,396.7,334.9,362.0,31.6
101.75,343.9,393.0,326.5,354.4,34.5
102.0,340.7,385.2,323.9,349.9,31.7
102.25,331.2,382.3,323.4,345.6,32.0
102.5,324.1,375.1,313.5,337.6,32.9
