Time after Ignition,Memory_Foam_Carpet_Pad_R1,Memory_Foam_Carpet_Pad_R2,Memory_Foam_Carpet_Pad_R3,Mean,Std. Dev.
0.0,26.0,34.6,30.3,30.3,4.3
0.25,37.6,44.8,39.0,40.4,3.8
0.5,47.9,52.8,47.4,49.4,3.0
0.75,56.7,61.7,54.1,57.5,3.9
1.0,64.7,69.4,60.5,64.9,4.4
1.25,72.8,79.9,73.9,75.5,3.8
1.5,83.9,90.1,86.6,86.9,3.1
1.75,93.7,100.2,99.2,97.7,3.5
2.0,105.0,109.2,109.8,108.0,2.6
2.25,114.4,122.6,123.4,120.2,5.0
2.5,122.1,135.7,132.0,129.9,7.1
2.75,135.4,146.8,144.7,142.3,6.0
3.0,144.4,157.2,157.9,153.2,7.6
3.25,154.3,167.7,169.6,163.9,8.4
3.5,163.4,176.4,185.6,175.1,11.1
3.75,171.0,179.0,193.9,181.3,11.6
4.0,182.1,186.0,205.3,191.1,12.4
4.25,197.8,196.7,213.2,202.6,9.2
4.5,203.3,204.7,218.8,208.9,8.6
4.75,208.6,214.1,228.2,217.0,10.1
5.0,232.2,217.5,239.1,229.6,11.1
5.25,232.5,222.8,253.9,236.4,15.9
5.5,244.0,234.7,255.3,244.7,10.3
5.75,254.9,243.9,266.6,255.1,11.4
6.0,272.2,249.5,272.8,264.8,13.3
6.25,279.5,251.4,287.3,272.7,18.9
6.5,289.7,265.1,288.2,281.0,13.8
6.75,297.3,272.0,304.5,291.3,17.0
7.0,312.9,280.3,309.3,300.8,17.9
7.25,315.0,291.4,313.7,306.7,13.3
7.5,328.5,297.1,322.9,316.2,16.8
7.75,336.3,304.4,333.4,324.7,17.7
8.0,337.4,316.8,333.4,329.2,10.9
8.25,344.4,318.5,346.6,336.5,15.7
8.5,370.3,336.0,362.0,356.1,17.9
8.75,369.6,344.7,360.1,358.1,12.6
9.0,369.7,343.2,368.6,360.5,15.0
9.25,380.2,361.8,377.7,373.2,10.0
9.5,398.2,366.3,389.5,384.6,16.5
9.75,399.9,371.9,392.6,388.2,14.5
10.0,399.4,367.5,400.3,389.1,18.7
10.25,420.6,391.8,409.3,407.3,14.5
10.5,419.8,411.2,425.9,419.0,7.4
10.75,430.3,386.1,413.0,409.8,22.2
11.0,435.0,406.6,422.7,421.4,14.2
11.25,436.3,408.9,431.0,425.4,14.5
11.5,471.5,432.0,418.5,440.7,27.5
11.75,453.3,426.2,424.1,434.6,16.3
12.0,488.3,432.6,438.8,453.2,30.6
12.25,479.6,443.9,441.7,455.1,21.3
12.5,468.9,441.8,444.9,451.9,14.8
12.75,480.4,443.1,433.6,452.4,24.7
13.0,496.6,451.9,455.3,467.9,24.9
13.25,510.1,465.9,442.6,472.9,34.2
13.5,522.4,474.0,452.4,482.9,35.8
13.75,519.9,460.3,461.5,480.6,34.1
14.0,531.6,469.1,474.2,491.6,34.7
14.25,542.8,493.9,471.9,502.9,36.3
14.5,560.9,502.9,494.9,519.5,36.0
14.75,557.9,515.0,492.0,521.6,33.4
15.0,555.3,502.9,498.4,518.9,31.6
15.25,566.6,540.9,489.8,532.4,39.1
15.5,566.8,534.5,511.7,537.7,27.7
15.75,574.8,574.9,528.6,559.5,26.7
16.0,614.2,569.8,535.5,573.2,39.4
16.25,582.1,576.5,547.6,568.8,18.6
16.5,610.4,574.3,576.1,586.9,20.3
16.75,603.9,623.2,589.7,605.6,16.8
17.0,618.3,630.0,631.0,626.4,7.0
17.25,626.2,632.2,625.3,627.9,3.8
17.5,629.8,625.5,644.7,633.4,10.1
17.75,696.3,644.2,680.6,673.7,26.7
18.0,695.5,707.4,672.7,691.9,17.6
18.25,661.3,694.8,711.9,689.3,25.8
18.5,703.4,710.6,731.8,715.2,14.8
18.75,737.3,677.1,763.4,725.9,44.2
19.0,677.0,695.4,759.3,710.6,43.1
19.25,734.5,731.5,745.8,737.3,7.5
19.5,729.6,741.6,788.9,753.4,31.4
19.75,794.3,753.1,763.8,770.4,21.4
20.0,777.6,771.9,776.8,775.4,3.1
20.25,785.0,775.3,776.6,779.0,5.2
20.5,781.3,777.5,799.4,786.1,11.7
20.75,785.4,766.0,847.4,799.6,42.5
21.0,814.5,796.0,819.1,809.9,12.2
21.25,811.4,789.4,807.7,802.8,11.8
21.5,820.9,812.8,814.5,816.1,4.3
21.75,844.9,838.2,823.5,835.5,11.0
22.0,857.7,866.8,788.2,837.6,43.0
22.25,825.9,850.4,871.3,849.2,22.7
22.5,927.5,823.1,821.3,857.3,60.8
22.75,855.2,869.8,849.3,858.1,10.5
23.0,878.7,882.5,896.4,885.9,9.3
23.25,879.0,880.5,862.1,873.9,10.2
