Time after Ignition,Memory_Foam_Carpet_Pad_R1,Memory_Foam_Carpet_Pad_R2,Memory_Foam_Carpet_Pad_R3,Mean,Std. Dev.
0.0,16.3,25.2,14.7,18.7,5.6
0.25,19.2,32.8,23.4,25.2,7.0
0.5,22.3,40.7,31.6,31.5,9.2
0.75,25.0,46.8,39.6,37.1,11.1
1.0,27.4,58.6,46.4,44.1,15.7
1.25,34.6,69.1,51.5,51.7,17.3
1.5,40.3,76.8,64.7,60.6,18.6
1.75,45.8,86.4,76.5,69.6,21.2
2.0,49.7,98.9,86.0,78.2,25.5
2.25,54.4,106.4,95.0,85.3,27.3
2.5,63.1,117.1,106.7,95.6,28.7
2.75,71.9,124.9,118.7,105.2,29.0
3.0,79.4,131.6,129.6,113.6,29.6
3.25,83.8,137.7,135.9,119.1,30.6
3.5,94.1,147.5,142.4,128.0,29.4
3.75,105.5,155.7,153.4,138.2,28.3
4.0,113.8,160.9,163.0,145.9,27.8
4.25,124.2,169.6,171.2,155.0,26.7
4.5,133.3,172.1,177.1,160.8,24.0
4.75,140.8,181.0,183.5,168.4,23.9
5.0,149.8,189.1,190.1,176.3,23.0
5.25,159.8,195.1,196.7,183.9,20.9
5.5,166.7,198.6,201.3,188.8,19.2
5.75,176.2,207.1,208.2,197.2,18.1
6.0,181.1,213.3,212.9,202.4,18.5
6.25,193.2,218.8,220.4,210.8,15.2
6.5,193.9,220.7,227.3,214.0,17.7
6.75,201.9,228.2,228.2,219.5,15.2
7.0,209.4,236.0,234.0,226.5,14.8
7.25,213.5,238.6,234.2,228.8,13.4
7.5,221.1,252.0,240.3,237.8,15.6
7.75,230.4,247.9,248.2,242.2,10.2
8.0,235.1,249.6,251.9,245.5,9.1
8.25,231.9,255.8,251.6,246.5,12.8
8.5,242.6,261.2,262.1,255.3,11.0
8.75,246.9,270.2,272.0,263.0,14.0
9.0,250.9,276.8,273.4,267.0,14.1
9.25,250.0,277.9,279.4,269.1,16.5
9.5,263.4,278.9,278.3,273.6,8.8
9.75,260.4,279.9,280.5,273.6,11.4
10.0,264.9,285.8,284.9,278.5,11.8
10.25,271.0,287.9,292.6,283.8,11.4
10.5,272.7,295.2,300.1,289.3,14.6
10.75,280.5,297.3,303.3,293.7,11.8
11.0,285.5,290.6,308.4,294.8,12.1
11.25,287.2,300.6,308.3,298.7,10.7
11.5,296.9,305.2,313.9,305.3,8.5
11.75,301.5,307.4,314.7,307.9,6.6
12.0,306.7,305.0,316.9,309.5,6.4
12.25,305.6,311.3,322.8,313.2,8.8
12.5,308.9,316.7,328.9,318.2,10.1
12.75,313.7,321.7,323.3,319.6,5.1
13.0,317.3,331.6,329.0,326.0,7.6
13.25,317.0,322.9,335.4,325.1,9.4
13.5,320.8,332.1,337.1,330.0,8.4
13.75,322.1,336.0,341.4,333.2,10.0
14.0,319.2,348.6,343.0,336.9,15.6
14.25,322.4,334.7,345.3,334.1,11.4
14.5,330.3,347.3,340.3,339.3,8.5
14.75,336.6,365.3,349.8,350.6,14.4
15.0,339.9,362.5,360.3,354.3,12.5
15.25,338.0,366.4,352.1,352.2,14.2
15.5,339.2,369.8,349.6,352.9,15.6
15.75,341.8,373.6,365.6,360.3,16.6
16.0,342.3,367.1,368.7,359.3,14.8
