##Temp./°C,Time/min,DSC(subtr.2)/(mW/mg),Mass loss(subtr.2)/mg,Sensit./(uV/mW)
50.201,10.01667,0.00895743,-0.01482,1.05675
50.301,10.52004,0.01098535,-0.02046784,1.05674
50.401,10.69632,0.01605296,-0.01492888,1.05673
50.501,10.82067,0.01853471,-0.01132491,1.05672
50.601,10.91923,0.02296002,-0.0071719819999999995,1.0567
50.701,11.00298,0.02499171,-0.009768213000000001,1.05669
50.801,11.0787,0.02719239,-0.01281335,1.0566799999999998
50.901,11.14763,0.02945196,-0.01488972,1.05667
51.001,11.212010000000001,0.03176759,-0.01682954,1.05666
51.101,11.27246,0.03571525,-0.0182191,1.05665
51.201,11.32966,0.03858406,-0.018487,1.05664
51.301,11.384910000000001,0.03932194,-0.01831958,1.05663
51.401,11.43781,0.04245692,-0.01881521,1.0566200000000001
51.501,11.4889,0.04399134,-0.01977995,1.0566
51.601,11.53863,0.04495456,-0.01840007,1.05659
51.701,11.58665,0.0460346,-0.01824184,1.0565799999999999
51.801,11.63395,0.04745939,-0.01821103,1.05657
51.901,11.680530000000001,0.04958018,-0.01955555,1.05656
52.001,11.72552,0.04868842,-0.01858479,1.05655
52.101,11.77003,0.05129245,-0.01953905,1.05654
52.201,11.814219999999999,0.05329238,-0.02078615,1.05653
52.301,11.85758,0.05310311,-0.01973868,1.05651
52.401,11.90013,0.05412292,-0.02085681,1.0565
52.501,11.94229,0.05473437,-0.01936753,1.05649
52.601,11.98429,0.0557655,-0.02079586,1.0564799999999999
52.701,12.025739999999999,0.05672692,-0.01956192,1.05647
52.801,12.06673,0.05716629,-0.01954298,1.05646
52.901,12.10743,0.05657136,-0.02082551,1.05645
53.001,12.147960000000001,0.05667776,-0.02088923,1.05644
53.101,12.1881,0.05620431,-0.0194901,1.0564200000000001
53.201,12.22837,0.0580554,-0.01949421,1.05641
53.301,12.26849,0.0581658,-0.01952644,1.0564
53.401,12.30782,0.05873924,-0.01954861,1.05639
53.501,12.34677,0.05964821,-0.01974441,1.0563799999999999
53.601,12.385710000000001,0.06028576,-0.02084149,1.05637
53.701,12.42475,0.06033361,-0.02170746,1.05635
53.801,12.46343,0.06193713,-0.02228141,1.05634
53.901,12.50186,0.06174027,-0.02087323,1.05633
54.001,12.540189999999999,0.06116782,-0.02038584,1.0563200000000001
54.101,12.57854,0.06097713,-0.02093892,1.05631
54.201,12.61673,0.0611176,-0.02085978,1.0563
54.301,12.65477,0.06172601,-0.02062923,1.05629
54.401,12.69266,0.06108683,-0.01954528,1.05627
54.501,12.73005,0.0631553,-0.01955202,1.05626
54.601,12.7679,0.06217826,-0.0195318,1.05625
54.701,12.80557,0.06297967,-0.02101122,1.05624
54.801,12.84296,0.06397109,-0.02087806,1.05623
54.901,12.88039,0.06384366,-0.02086508,1.05621
55.001,12.91734,0.06400959,-0.02089475,1.0562
55.101,12.954239999999999,0.06410139,-0.02160528,1.05619
55.201,12.991589999999999,0.06370112,-0.02088355,1.05618
55.301,13.02902,0.06365171,-0.02084361,1.05617
55.401,13.066089999999999,0.0650442,-0.02021523,1.05616
55.501,13.10333,0.06382704,-0.02019598,1.0561399999999999
55.601,13.140479999999998,0.06464095,-0.02020117,1.05613
55.701,13.1775,0.06346867,-0.02022549,1.0561200000000002
55.801,13.21447,0.06394939,-0.0210668,1.05611
55.901,13.25165,0.06338991,-0.0215363,1.0561
56.001,13.28861,0.06404547,-0.02033079,1.05608
56.101,13.32557,0.06294319,-0.02019922,1.05607
56.201,13.36253,0.06319222,-0.02016821,1.05606
56.301,13.39969,0.06398541,-0.02053105,1.05605
56.401,13.43675,0.06250314,-0.02052874,1.0560399999999999
56.501,13.473460000000001,0.06269007,-0.02051037,1.05603
56.601,13.5102,0.0624965,-0.01996032,1.0560100000000001
56.701,13.546870000000002,0.06324693,-0.01976639,1.056
56.801,13.58359,0.06293652,-0.01987046,1.05599
56.901,13.62014,0.06262718,-0.01986827,1.05598
57.001,13.65655,0.06412204,-0.01979534,1.05596
57.101,13.69289,0.06329304,-0.01874512,1.05595
57.201,13.72911,0.06327996,-0.02018773,1.0559399999999999
57.301,13.76539,0.06306532,-0.02020974,1.05593
57.401,13.80144,0.06450817,-0.02020846,1.05592
57.501,13.83765,0.06312936,-0.02013747,1.0559
57.601,13.87385,0.0647896,-0.02165927,1.05589
57.701,13.909920000000001,0.06321461,-0.02152913,1.05588
57.801,13.9458,0.06542602,-0.0215318,1.05587
57.901,13.98161,0.0652813,-0.02161074,1.05586
58.001,14.017320000000002,0.0661896,-0.0215585,1.05584
58.101,14.053120000000002,0.06570917,-0.02152979,1.0558299999999998
58.201,14.088779999999998,0.06535813,-0.02151673,1.05582
58.301,14.12415,0.06571232,-0.02144255,1.0558100000000001
58.401,14.15964,0.06661184,-0.02184621,1.05579
58.501,14.19525,0.06616458,-0.02153379,1.05578
58.601,14.230570000000002,0.06553802,-0.02152055,1.05577
58.701,14.26595,0.06439131,-0.02152001,1.05576
58.801,14.30124,0.06452754,-0.02152,1.05575
58.901,14.336529999999998,0.06619064,-0.02152,1.0557299999999998
59.001,14.371839999999999,0.06676997,-0.02152,1.05572
59.101,14.407060000000001,0.06741286,-0.02152,1.05571
59.201,14.442160000000001,0.06781376,-0.02151998,1.0557
59.301,14.477479999999998,0.06759684,-0.02151964,1.05568
59.401,14.51276,0.06686628,-0.02151557,1.05567
59.501,14.54768,0.06840165,-0.02126391,1.05566
59.601,14.582729999999998,0.0683868,-0.02020227,1.05565
59.701,14.617820000000002,0.06800291,-0.02026388,1.0556299999999998
59.801,14.65281,0.06742545,-0.02149281,1.05562
59.901,14.68793,0.06779287,-0.02152493,1.05561
60.001,14.72287,0.06684601,-0.02169409,1.0556
60.101,14.75792,0.06855047,-0.0228791,1.05558
60.201,14.793,0.06766871,-0.02282312,1.0555700000000001
60.301,14.82807,0.06659221,-0.02269251,1.05556
60.401,14.863079999999998,0.06704396,-0.02421334,1.05555
60.501,14.89794,0.06847167,-0.02418288,1.0555299999999999
60.601,14.932910000000001,0.06815276,-0.02284804,1.05552
60.701,14.967889999999999,0.06890264,-0.02283862,1.05551
60.801,15.003079999999999,0.06755312,-0.0228398,1.0555
60.901,15.03798,0.06825293,-0.02283998,1.05548
61.001,15.072989999999999,0.06816297,-0.02284,1.0554700000000001
61.101,15.10796,0.06892271,-0.02284006,1.05546
61.201,15.142579999999999,0.0682148,-0.02284097,1.05544
61.301,15.17743,0.06849424,-0.02285385,1.0554299999999999
61.401,15.212179999999998,0.06780866,-0.0232766,1.05542
61.501,15.246970000000001,0.06748529,-0.02397799,1.05541
61.601,15.28166,0.06783574,-0.02282282,1.05539
61.701,15.316360000000001,0.06815607,-0.02283988,1.05538
61.801,15.351029999999998,0.06833776,-0.02283593,1.0553700000000001
61.901,15.385639999999999,0.06867255,-0.02269896,1.05535
62.001,15.4204,0.06950422,-0.02155269,1.05534
62.101,15.45476,0.0684205,-0.02152222,1.0553299999999999
62.201,15.489320000000001,0.06804158,-0.02151334,1.05532
62.301,15.52382,0.06995583,-0.02141008,1.0553
62.401,15.55836,0.06902889,-0.0231382,1.05529
62.501,15.593020000000001,0.06965885,-0.02317033,1.05528
62.601,15.62755,0.06970112,-0.02316693,1.05526
62.701,15.66211,0.07026143,-0.02312896,1.05525
62.801,15.696489999999999,0.06946522,-0.02323182,1.05524
