LABORATORY,FSRI 
TEST IDENT,Cotton_Sheet_HF_25_2
OPERATOR,Dow
MATERIAL,Cotton Sheet
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.00884
C FACTOR,0.041547633707523346
SPEC HOLDER DIFF,-566
SPECIMEN MASS,1.100000023841858
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,595
TIME TO IGN,10.75
END OF TEST SCAN,115
END OF TEST TIME,28.75
TEST STATUS,1
PRE TEST CMT,Thickness: 0.19 mm; with frame; with calcium silicate substrate
