##Temp./°C,Time/min,Mass(subtr.2)/%,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
49.404,10.01,100.69107,0.00706443,1.07446
49.504,10.425239999999999,100.75819,0.01049614,1.07446
49.604,10.5256,100.79329,0.02134399,1.07445
49.704,10.59425,100.7725,0.02582791,1.07444
49.804,10.64807,100.73023,0.03009235,1.07444
49.904,10.694519999999999,100.74515,0.03413982,1.07443
50.004,10.73436,100.77369,0.03991461,1.0744200000000002
50.104,10.77021,100.77778,0.04332014,1.07441
50.204,10.803460000000001,100.79364,0.04743519,1.07441
50.304,10.83522,100.81121999999999,0.05331964,1.0744
50.404,10.864510000000001,100.79065,0.05555324,1.07439
50.504,10.89264,100.77556,0.05890213,1.07439
50.604,10.91957,100.75438,0.06387327,1.07438
50.704,10.9455,100.73776,0.06521485,1.07437
50.804,10.97035,100.72974,0.06980855,1.07436
50.904,10.99439,100.74588,0.07455781,1.07436
51.004,11.01679,100.77319,0.07823806,1.07435
51.104,11.03903,100.76991,0.08196035,1.07434
51.204,11.0609,100.75431999999999,0.08257585,1.07434
51.304,11.0816,100.74384,0.08613949,1.07433
51.404,11.1021,100.7588,0.08983151,1.0743200000000002
51.504,11.12185,100.79744000000001,0.09194094,1.07431
51.604,11.14137,100.80651999999999,0.09520878,1.07431
51.704,11.160210000000001,100.83094,0.09659106,1.0743
51.804,11.17875,100.81625,0.09914148,1.07429
51.904,11.196860000000001,100.8209,0.1022,1.07428
52.004,11.21528,100.82821,0.10338,1.07428
52.104,11.23294,100.80415,0.10505999999999999,1.07427
52.204,11.2502,100.7858,0.10887999999999999,1.07426
52.304,11.26736,100.79876999999999,0.11127000000000001,1.07425
52.404,11.28427,100.774,0.1123,1.07425
52.504,11.300839999999999,100.79905,0.11522,1.0742399999999999
52.604,11.317160000000001,100.80084000000001,0.1175,1.07423
52.704,11.33335,100.80400999999999,0.1186,1.0742200000000002
52.804,11.34923,100.80254000000001,0.12236,1.0742200000000002
52.904,11.3651,100.77461,0.12197000000000001,1.07421
53.004,11.38061,100.79534,0.12625,1.0742
53.104,11.396180000000001,100.77138000000001,0.12663,1.07419
53.204,11.41156,100.79905,0.12805,1.07419
53.304,11.4267,100.79703,0.13201,1.07418
53.404,11.44177,100.7974,0.13177,1.07417
53.504,11.45663,100.8001,0.13412000000000002,1.07416
53.604,11.47114,100.8271,0.13601,1.07416
53.704,11.48568,100.79858,0.13787,1.07415
