Time after Ignition,Face_Shield_R1,Mean,Std. Dev.
0.0,9.1,9.1,
0.25,9.1,9.1,
0.5,9.4,9.4,
0.75,9.6,9.6,
1.0,10.1,10.1,
1.25,10.2,10.2,
1.5,10.5,10.5,
1.75,10.7,10.7,
2.0,11.1,11.1,
2.25,11.1,11.1,
2.5,11.6,11.6,
2.75,12.0,12.0,
3.0,12.5,12.5,
3.25,12.7,12.7,
3.5,13.9,13.9,
3.75,15.1,15.1,
4.0,15.9,15.9,
4.25,17.3,17.3,
4.5,17.9,17.9,
4.75,21.3,21.3,
5.0,24.3,24.3,
5.25,27.1,27.1,
5.5,29.6,29.6,
5.75,33.4,33.4,
6.0,36.7,36.7,
6.25,40.7,40.7,
6.5,43.3,43.3,
6.75,46.9,46.9,
7.0,50.7,50.7,
7.25,53.3,53.3,
7.5,54.0,54.0,
7.75,56.7,56.7,
8.0,65.1,65.1,
8.25,65.2,65.2,
8.5,67.1,67.1,
8.75,69.7,69.7,
9.0,72.9,72.9,
9.25,73.6,73.6,
9.5,78.3,78.3,
9.75,80.3,80.3,
10.0,79.9,79.9,
10.25,82.7,82.7,
10.5,83.0,83.0,
10.75,85.2,85.2,
11.0,84.4,84.4,
11.25,85.7,85.7,
11.5,85.4,85.4,
11.75,86.8,86.8,
12.0,88.7,88.7,
12.25,90.1,90.1,
12.5,88.9,88.9,
12.75,85.1,85.1,
13.0,80.9,80.9,
