Names,Rug_Pad_R1,Rug_Pad_R2,Rug_Pad_R3,Mean,Std. Dev.
65,365.5,381.8,349.8,365.7,16.0
66,374.3,386.8,365.6,375.5,10.7
67,392.0,398.6,365.4,385.3,17.5
68,387.6,389.0,361.7,379.4,15.3
69,391.6,411.5,364.9,389.3,23.4
70,398.1,416.1,377.7,397.3,19.2
71,411.0,411.9,378.5,400.5,19.0
72,411.0,411.4,380.8,401.1,17.5
73,411.3,432.8,389.2,411.1,21.8
74,418.8,430.4,387.7,412.3,22.1
75,423.9,437.7,383.5,415.0,28.2
76,428.2,435.2,396.3,419.9,20.7
77,419.9,437.1,406.7,421.2,15.2
78,443.3,439.8,403.7,429.0,21.9
79,428.7,445.3,407.2,427.1,19.1
80,433.6,463.2,410.6,435.8,26.4
81,431.0,440.3,402.1,424.5,19.9
82,436.9,444.7,404.4,428.7,21.4
83,427.7,439.4,396.4,421.2,22.3
84,436.1,445.2,396.7,426.0,25.8
85,432.3,455.4,392.1,426.6,32.0
86,438.4,436.9,396.4,423.9,23.8
87,420.2,450.7,385.9,418.9,32.4
88,433.2,432.5,395.2,420.3,21.7
89,427.7,446.1,382.0,418.6,33.0
90,416.8,431.5,381.3,409.8,25.8
91,417.1,440.2,382.5,413.3,29.0
92,408.3,432.7,381.3,407.5,25.7
93,396.3,426.8,382.6,401.9,22.6
94,392.7,418.4,366.8,392.6,25.8
95,395.6,421.8,362.7,393.4,29.6
96,384.3,418.5,355.9,386.2,31.3
97,373.3,397.2,353.6,374.7,21.8
98,369.9,396.7,341.4,369.4,27.6
99,361.4,389.9,338.0,363.1,26.0
100,353.4,381.6,334.4,356.5,23.8
101,350.6,371.1,329.0,350.3,21.0
102,337.2,363.3,316.0,338.8,23.7
103,323.1,355.1,314.8,331.0,21.3
104,323.9,357.0,308.8,329.9,24.7
105,312.0,355.3,297.2,321.5,30.2
106,300.9,343.2,286.7,310.3,29.4
107,297.7,339.2,283.9,306.9,28.8
108,288.0,328.4,278.6,298.3,26.5
109,280.5,323.7,265.5,289.9,30.2
110,273.0,310.4,263.8,282.4,24.7
111,258.8,309.3,252.0,273.4,31.3
112,254.5,295.6,249.1,266.4,25.4
113,245.0,286.8,239.3,257.0,25.9
114,238.8,276.6,231.3,248.9,24.3
115,231.9,272.5,228.9,244.5,24.4
116,223.5,265.1,220.3,236.3,25.0
117,218.6,258.7,215.1,230.8,24.2
118,210.7,247.4,208.7,222.3,21.8
119,205.6,239.5,205.9,217.0,19.5
120,195.9,235.3,197.8,209.7,22.2
121,192.4,232.5,191.4,205.4,23.5
122,182.2,223.3,184.9,196.8,23.0
123,174.6,216.5,179.5,190.2,22.9
124,171.1,206.6,178.0,185.3,18.8
125,163.6,197.8,171.0,177.5,18.0
126,157.6,198.6,164.7,173.6,21.9
127,153.7,185.9,159.7,166.4,17.1
128,150.1,181.8,156.0,162.6,16.9
129,143.6,174.6,149.2,155.8,16.5
130,144.1,172.2,148.0,154.8,15.2
131,138.6,162.6,141.9,147.7,13.0
132,132.6,158.5,137.7,142.9,13.7
133,130.6,154.3,133.6,139.5,12.9
134,126.3,148.9,131.0,135.4,11.9
135,123.8,145.6,127.5,132.3,11.6
136,119.3,139.2,123.7,127.4,10.4
137,116.4,138.3,122.0,125.5,11.4
138,115.9,132.3,120.5,122.9,8.5
139,112.4,127.2,116.7,118.8,7.6
140,109.9,121.5,114.3,115.2,5.9
141,106.2,118.1,110.0,111.4,6.1
142,104.9,114.3,109.4,109.5,4.7
143,102.3,111.6,108.9,107.6,4.8
144,99.8,107.8,107.1,104.9,4.4
145,98.0,104.4,104.5,102.3,3.7
146,97.2,102.2,103.7,101.0,3.4
147,93.1,99.6,101.4,98.1,4.3
148,91.8,96.5,100.0,96.1,4.1
149,90.9,93.1,99.4,94.4,4.4
150,88.3,90.6,97.4,92.1,4.7
151,87.2,88.0,94.9,90.0,4.2
152,83.9,87.5,95.2,88.9,5.8
153,82.1,85.6,93.0,86.9,5.6
154,81.4,81.7,92.9,85.3,6.6
155,79.3,80.3,90.7,83.4,6.3
156,78.2,78.9,90.2,82.4,6.7
