Time after Ignition,Rug_Pad_R1,Rug_Pad_R2,Rug_Pad_R3,Mean,Std. Dev.
0.0,4.4,-0.4,2.3,2.1,2.4
0.25,5.2,0.1,2.8,2.7,2.6
0.5,7.4,0.5,6.4,4.8,3.7
0.75,9.5,0.9,9.6,6.7,5.0
1.0,11.1,1.2,12.4,8.3,6.2
1.25,12.9,3.7,15.1,10.6,6.0
1.5,17.3,6.1,20.8,14.8,7.7
1.75,21.3,8.2,25.4,18.3,9.0
2.0,24.8,10.0,30.2,21.7,10.4
2.25,28.5,16.0,34.1,26.2,9.2
2.5,31.1,21.1,38.0,30.0,8.5
2.75,37.7,25.6,44.4,35.9,9.5
3.0,43.9,30.1,49.7,41.2,10.1
3.25,49.6,38.1,55.1,47.6,8.7
3.5,53.9,45.4,54.2,51.2,5.0
3.75,58.4,52.2,58.8,56.4,3.7
4.0,63.2,59.1,65.3,62.5,3.2
4.25,69.0,67.7,70.6,69.1,1.5
4.5,73.8,74.8,76.6,75.1,1.4
4.75,79.1,81.2,81.1,80.5,1.2
5.0,85.4,91.1,88.1,88.2,2.9
5.25,89.4,97.7,93.7,93.6,4.1
5.5,97.5,103.9,100.2,100.5,3.2
5.75,99.2,106.0,103.6,102.9,3.5
6.0,104.6,110.7,110.2,108.5,3.4
6.25,108.4,118.1,113.7,113.4,4.9
6.5,112.5,123.5,118.9,118.3,5.5
6.75,117.8,128.9,125.8,124.2,5.8
7.0,121.6,135.9,130.5,129.3,7.2
7.25,128.6,140.7,134.6,134.7,6.1
7.5,133.5,143.9,142.0,139.8,5.5
7.75,137.8,151.8,146.7,145.4,7.1
8.0,144.6,158.2,151.9,151.6,6.8
8.25,150.8,161.0,158.2,156.7,5.2
8.5,155.2,164.3,161.5,160.3,4.7
8.75,162.7,173.6,169.2,168.5,5.5
9.0,165.2,175.5,166.0,168.9,5.7
9.25,171.5,181.5,174.7,175.9,5.1
9.5,173.6,184.3,180.7,179.5,5.5
9.75,183.3,191.2,182.5,185.7,4.8
10.0,190.8,197.6,189.3,192.6,4.4
10.25,196.0,203.1,188.0,195.7,7.6
10.5,201.1,207.2,195.0,201.1,6.1
10.75,206.5,209.7,198.3,204.8,5.9
11.0,209.4,220.9,206.2,212.1,7.7
11.25,216.8,226.6,200.8,214.7,13.0
11.5,223.1,229.7,205.8,219.5,12.3
11.75,230.4,234.0,212.2,225.5,11.7
12.0,234.4,241.5,214.5,230.2,14.0
12.25,237.4,250.8,216.2,234.8,17.4
12.5,244.9,251.0,224.3,240.1,14.0
12.75,252.0,252.2,228.7,244.3,13.5
13.0,251.5,260.9,231.9,248.1,14.8
13.25,250.3,268.2,238.6,252.4,14.9
13.5,261.0,274.7,244.3,260.0,15.3
13.75,274.4,277.9,249.6,267.3,15.4
14.0,278.8,280.1,248.0,269.0,18.2
14.25,281.3,278.2,256.1,271.9,13.7
14.5,287.5,289.3,259.7,278.8,16.6
14.75,282.1,301.2,262.6,282.0,19.3
15.0,295.1,298.6,274.6,289.4,13.0
15.25,295.9,304.9,273.9,291.6,15.9
15.5,307.0,302.8,269.2,293.0,20.7
15.75,317.6,311.3,284.5,304.5,17.5
16.0,319.2,313.8,284.2,305.7,18.8
16.25,326.9,319.0,287.8,311.2,20.6
16.5,323.7,321.2,286.0,310.3,21.1
16.75,328.9,319.5,283.3,310.6,24.1
17.0,328.4,320.7,289.6,312.9,20.6
17.25,334.9,327.0,291.8,317.9,22.9
17.5,332.7,331.7,298.8,321.0,19.3
17.75,342.8,330.5,307.6,327.0,17.9
18.0,342.8,328.9,299.5,323.8,22.1
18.25,339.6,333.9,299.1,324.2,21.9
18.5,347.5,345.2,307.4,333.4,22.5
18.75,343.3,338.4,310.8,330.9,17.5
19.0,349.9,333.3,316.3,333.2,16.8
19.25,346.4,344.5,309.0,333.3,21.0
19.5,349.3,345.3,315.8,336.8,18.3
19.75,355.3,334.6,314.1,334.7,20.6
20.0,349.7,341.3,310.6,333.9,20.6
20.25,347.9,346.7,322.0,338.9,14.6
20.5,354.9,342.4,313.9,337.1,21.0
20.75,349.1,344.2,315.1,336.1,18.4
21.0,348.7,336.3,324.1,336.4,12.3
21.25,353.4,342.9,325.0,340.4,14.4
21.5,350.0,336.5,313.2,333.2,18.6
21.75,354.3,339.1,319.6,337.7,17.4
22.0,342.6,333.4,323.1,333.0,9.7
22.25,347.5,331.2,319.1,332.6,14.2
22.5,349.3,334.0,309.8,331.0,19.9
22.75,334.8,334.7,321.7,330.4,7.5
