LABORATORY,FSRI 
TEST IDENT,MDF_HF75_2
OPERATOR,Morrissey
MATERIAL,MDF
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.01
C FACTOR,0.038605247
SPEC HOLDER DIFF,-98.41000366
SPECIMEN MASS,141.0700073
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4959
TIME TO IGN,13.75
END OF TEST SCAN,4479
END OF TEST TIME,1119.75
TEST STATUS,1
PRE TEST CMT,Test w/o retainer grid or frame
POST TEST CMT,Sample had to be adjusted several times due to popping and settling causing pieces to fall











































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































