LABORATORY,FSRI 
TEST IDENT,MDF-HF25-1
OPERATOR,Dow
MATERIAL,3/4 inch MDF
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.01
C FACTOR,0.038605247
SPEC HOLDER DIFF,-86.8999939
SPECIMEN MASS,141.6999969
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,6410
TIME TO IGN,136.75
END OF TEST SCAN,5930
END OF TEST TIME,1482.5
TEST STATUS,1
PRE TEST CMT,"Nominal thickness: 3/4 inches"











































































































































































































































































































































































































































































































































































































































































































































































































