LABORATORY,FSRI 
TEST IDENT,MDF_HF50_3
OPERATOR,Morrissey
MATERIAL,3/4 inch MDF
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.01
C FACTOR,0.038605247
SPEC HOLDER DIFF,-86.89001465
SPECIMEN MASS,143.8800049
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4723
TIME TO IGN,30.25
END OF TEST SCAN,4243
END OF TEST TIME,1060.75
TEST STATUS,1
PRE TEST CMT,"Nominal thickness: 3/4 inches"












































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































