Time after Ignition,MDF_R1,MDF_R2,MDF_R3,Mean,Std. Dev.
0.0,23.2688348705731,24.381755130253964,-0.21606990463059764,15.811506698732154,13.89143825198089
0.25,25.987835277256465,27.79644234559198,0.15026935249522375,17.978182325114556,15.465885865393384
0.5,33.442014034875335,30.662585257920068,3.740452028231605,22.615017107009,16.404822805086745
0.75,40.51612953674373,32.95556208407464,7.113983639229435,26.86189175334927,17.515006457731605
1.0,47.07409307085396,40.66249392336593,9.660287581166955,32.465624858462284,20.008490876510756
1.25,53.087141947163374,46.36672051328226,12.467286625948745,37.30704969546479,21.77272119130983
1.5,61.56463431643845,52.347243748389474,19.290584228820673,44.400820764549536,22.229103814170713
1.75,70.31840283802129,56.88412128134947,25.63926505080511,50.94726305672529,22.92359161511843
2.0,80.0163472244219,68.11236968416206,30.183134750533537,59.43728388637249,26.024605694730198
2.25,87.08772699516305,74.30973376482515,36.04022164630018,65.81256080209613,26.563384796641515
2.5,92.97962829703854,80.84958372463153,46.76013403617718,73.52978201928242,23.96341034132398
2.75,97.38387757011503,88.1370622473951,55.294205578103174,80.27171513187109,22.119739737043652
3.0,110.31784640119677,93.00560033340535,64.23764911748944,89.18703195069719,23.27621626889583
3.25,116.31204645014586,105.4224234466886,72.70139804784797,98.14528931489416,22.697790077368932
3.5,124.38544311544246,114.40098845344635,84.8846866283597,107.89037273241617,20.539438370197626
3.75,130.11579564428732,121.10107275190276,95.23168726978098,115.48285188865702,18.107969475405937
4.0,139.36859160709443,124.63736607057348,104.89596997188639,122.9673092165181,17.296884922519617
4.25,151.1920200031074,143.51309106835475,109.64334866249786,134.78281991132,22.107379953287356
4.5,161.18395188701535,151.94609744385804,118.65802234401059,143.9293572249613,22.367716997429763
4.75,164.70304622812205,161.77059840751605,133.979341619186,153.48432875160802,16.95532968809826
5.0,173.62266680671803,173.6412009191083,141.19276483122806,162.81887751901812,18.728765265416627
5.25,184.88363608490903,181.26764261213938,144.7907475406088,170.31400874588573,22.177612565679247
5.5,194.28155402395433,196.6663222346794,158.00400769615652,182.9839613182634,21.666110451040346
5.75,198.66606697800003,203.6407294069492,162.55127294850908,188.28602311115276,22.425316965892957
6.0,210.9300229741087,215.4416021529442,170.02518552654405,198.7989368845323,25.020694676212017
6.25,218.73846838602486,227.72569333031157,175.7263072544972,207.39682299027788,27.79314174895583
6.5,228.7209908880422,234.97872827655067,184.13277964385912,215.944166269484,27.726576755698186
6.75,238.865290386545,238.73918005009318,197.34147719807112,224.98198254490308,23.937462852721584
7.0,247.18128842378445,254.07077283149223,199.71879145677025,233.65695090401564,29.59248635804368
7.25,253.81551099155257,254.68813319260803,205.849034536282,238.1175595734809,27.948768281154916
7.5,260.7335428905921,263.8230988609137,213.93759693194528,246.16474622781706,27.9522486184429
7.75,269.09813664866135,269.4722665867741,227.50343235747422,255.35794519763655,24.12344103718879
8.0,281.94483291812725,282.10274236035883,233.41060254065584,265.81939260638063,28.066946556245714
8.25,291.5955879487677,294.24781187336237,234.47391809216938,273.43910597143315,33.77088942841586
8.5,288.44110177995066,295.73092226958386,254.55574173376405,279.57592192776616,21.97253816467323
8.75,303.0796207048994,301.31075645756306,252.92348421784683,285.7712871267698,28.460777170326196
9.0,310.5297997264511,293.5687201975688,265.7874432912779,289.9619877384326,22.58818284229302
9.25,316.57291175343335,313.92217922966955,269.42865264066234,299.97458120792174,26.486730824230094
9.5,316.7442890706615,315.01600311414484,281.0393127168402,304.2665349672155,20.13391748240072
9.75,332.93039416995646,311.89618725475196,287.05470773167684,310.62709638546175,22.96415892802793
10.0,340.8273085439866,335.01837538973945,294.4443074891596,323.42999714096186,25.26981558184737
10.25,332.33897420906186,330.8653207778325,301.13858271872624,321.44762590187355,17.603574633296773
10.5,342.6503865582602,323.2319805749173,316.34679077483287,327.4097193026701,13.640378053503811
10.75,351.16637659178764,339.9454377694488,317.3878726247923,336.1665623286762,17.20339377157122
11.0,360.7477412119631,347.9137738811147,321.9863686708709,343.54929458798296,19.745822594727894
11.25,354.21297912395215,346.9183523858287,321.85549326951843,340.99560825976647,16.97235682491013
11.5,353.3039788537772,347.66998977484855,335.38964022490165,345.45453628450906,9.160352490674065
11.75,357.06262335548035,360.55093841728234,334.02897426861716,350.5475120137933,14.411407024357644
12.0,363.4451722486887,353.9520645209889,342.71896547339435,353.37206741435733,10.375269119682649
12.25,363.79328869788026,371.82110249121007,354.47848911523096,363.3642934347738,8.679261914414052
12.5,377.3413669079999,369.8146906895681,359.43390684554515,368.8633214810377,8.991557651503305
12.75,387.6416197696848,370.5616015175513,358.48565039770705,372.2296238949811,14.649380925268845
13.0,373.46183353727633,381.8388725498703,357.51883682133086,370.9398476361592,12.35460821408085
13.25,380.2491916451961,378.8150226239748,367.6533453941834,375.5725198877847,6.895593062995922
13.5,389.6073876508736,371.47868536764156,367.91582433835976,376.33396578562497,11.632338143646741
13.75,384.71306184072364,392.200090478183,386.25673431305205,387.72329554398624,3.9531001552697087
14.0,394.7212487288426,378.9199227186428,363.33924701618923,378.9934728212249,15.691130140510513
14.25,387.854983523723,390.7419588239298,374.00312386179155,384.2000220698148,8.947972194558467
14.5,397.0144252934604,379.9234257458625,380.537529985113,385.82512700814533,9.695080097270113
14.75,392.5670222250726,391.0730354133754,381.784064435486,388.47470735797805,5.842219285990594
15.0,403.6473780025184,393.594593154504,378.3670433289461,391.86967149532285,12.728132084076176
15.25,395.2689705205488,385.2131987485025,388.3818302386625,389.6213331692379,5.141197537446853
15.5,400.98640578156113,399.4348373936349,395.6907605361784,398.7040012371248,2.722417263569823
15.75,390.2445815518197,392.80654071551197,393.1116488521278,392.0542570398199,1.5746322658508842
16.0,401.34799150710677,403.42421837983613,384.97982951248196,396.5840131331416,10.102993993527384
16.25,397.6823871993051,401.3817203522806,387.1615978655446,395.40856847237677,7.37771370999452
16.5,403.6787614752115,398.6213083684427,406.5986426342194,402.96623749262454,4.036116117792557
16.75,402.74330524563374,409.380770581153,401.4687621038749,404.53094597688727,4.2481424263032315
17.0,403.5807740567173,409.1581362699791,404.3784212779293,405.7057772015419,3.0163135820803113
17.25,411.5400779670609,411.57146052610966,411.97205011605723,411.6945295364092,0.24085155251570062
17.5,394.9877548840885,403.89137577445996,411.76452597653713,403.5478855450285,8.393658393417697
17.75,412.77228912076095,416.9012862446274,403.06849007666034,410.9140218140162,7.101156982747119
18.0,409.55203482954425,418.6338947604167,407.2878088400444,411.8245794766685,6.004728204340071
18.25,412.3626839595788,412.62685718481515,400.3757390055038,408.4550933832993,6.998172778999869
18.5,418.29532341917366,424.8071453449651,402.2666990793553,415.12305594783135,11.600232331531675
18.75,416.4540638395959,412.7866001568669,416.3079900908299,415.1828846957642,2.0765281309287573
19.0,418.0425077037035,416.24035148603707,402.78405841940815,412.3556392030496,8.338063970823729
19.25,415.00365920503083,421.9326283438085,409.0359617373732,415.32408309540415,6.454301355803536
19.5,412.9910238766076,418.46804062429584,403.7287127551164,411.72925908533995,7.450233841978
19.75,418.03914721143764,424.77516307189944,407.6560034620108,416.823437915116,8.624086517254037
20.0,413.9362297900655,423.3016141183359,401.1207980660285,412.78621399147664,11.135037154824747
20.25,410.94002807253327,431.2486595513203,424.40634988795125,422.19834583726833,10.332791953347815
20.5,420.22994582459734,417.1810358866856,409.3748155737611,415.59526576168133,5.598612627934884
20.75,408.0662950485051,424.9399231872848,412.1586434650595,415.0549539002832,8.801777788852872
21.0,404.7714673224944,421.8404406355529,399.7098869310636,408.77393162970367,11.595479387014773
21.25,405.8368562672134,426.0558361076332,404.2281274387826,412.04027327120974,12.164456557000667
21.5,416.812414269018,433.94737439470475,415.3681339168651,422.04264086019595,10.335061530036851
21.75,409.5056388885259,419.59586814856226,406.14098140591153,411.7474961476666,7.001995236513725
22.0,411.7469016903919,414.50301898235455,402.04296308628125,409.4309612530092,6.544916601106992
22.25,417.77553713911374,414.7803429005787,408.8978631706379,413.81791440344347,4.5164117650754525
22.5,409.5308735453928,416.16184725116153,411.7435284804091,412.4787497589878,3.376072543356442
22.75,411.21134842047763,423.13717531867013,408.33008723003667,414.22620365639483,7.850444476989227
23.0,407.77350749749314,421.734315258519,417.80795334136326,415.7719253657918,7.19965942062972
23.25,416.323693921506,430.38270464168926,412.3240189840464,419.6768058490806,9.484806356458787
23.5,413.03767855578764,419.73787013347186,400.3680785154282,411.04787573489585,9.837006317021979
23.75,419.9120378419881,418.9110208781196,410.8515657516681,416.55820815725855,4.967377014023687
24.0,403.1323704891545,417.9620359925705,418.169939175337,413.08811521902066,8.622554481013431
24.25,411.8423311158302,423.93980669281666,411.2158279566286,415.66598858842514,7.172180705374071
24.5,403.86214644321433,429.91153797555023,409.5186786342955,414.43078768435333,13.701799563961611
24.75,420.46975400235294,416.5214332048136,430.87452340907487,422.6219035387471,7.414621387715389
25.0,410.9035508097726,420.469124919996,408.278214141757,413.21696329050855,6.416267168709883
25.25,397.7474391569178,424.44853160005334,406.5100583290904,409.5686763620204,13.610784055951434
25.5,405.91992470420263,413.52381923228023,411.2819758314822,410.2419065893217,3.9071870981434205
25.75,418.0485385658415,430.4098094741309,406.5806959753472,418.34634800510656,11.917347875306195
26.0,413.9648388171662,416.4928997133398,410.8783789451277,413.77870582521126,2.8118845961724457
26.25,398.64925135622,421.8328900502706,408.0255962376845,409.5025792147251,11.662177532944703
26.5,399.7832752649638,426.22072008284425,404.7051970128226,410.2363974535436,14.059881075641869
26.75,413.66623325660964,413.75229306753675,409.6240248540795,412.34751705940863,2.359005917146167
27.0,412.1010543738153,409.0056565558503,401.13570301425773,407.41413798130776,5.653267297720252
27.25,399.27303206972965,415.57303462045826,412.82739337140583,409.2244866871979,8.726867892879573
27.5,397.24833548342457,407.91214887181786,411.62951849049324,405.5966676152452,7.464964585170822
27.75,404.28460643308676,409.4484088814339,405.8838640326406,406.5389597823871,2.6434970706227325
28.0,386.46675492735903,419.0825915832419,393.53981897369755,399.69638849476615,17.157380668144565
28.25,407.23608491223376,420.3079775428637,408.0374442692565,411.8605022414513,7.326692530108716
28.5,398.6285742763571,408.3670811306669,411.8210410213601,406.27223214279473,6.841168680568729
28.75,398.27129248445306,400.2022870665401,401.1014337522162,399.8583377677365,1.446081166112287
29.0,400.6881520730818,415.47729201915905,389.42718567208533,401.8642099214421,13.064813210317244
29.25,392.5513271966844,403.22279771839,414.1473718931366,403.30716560273703,10.798269541353488
29.5,401.61390999324584,407.95513706279235,395.69779457663736,401.7556138775585,6.129899770701555
29.75,394.7132882122073,398.80368134391125,401.048044745086,398.1883381004015,3.211895166908786
30.0,398.8056190332826,402.211192867946,392.82433032670997,397.9470474093129,4.751963385499684
30.25,391.0522476062907,395.111375916193,392.53901118283864,392.9008782351075,2.0536166832447003
30.5,393.0961827406266,391.45829175491775,388.7315838155139,391.09535277035275,2.204818467393989
30.75,383.8831222074903,396.4257485540427,391.34572559865916,390.551532120064,6.308916418719592
31.0,385.4199391043202,396.3492614408637,395.3806851678833,392.383295237689,6.049857971823776
31.25,396.4527942505276,390.3297285652903,381.1168692354709,389.29979735042957,7.719664354579702
31.5,384.39518925147047,393.87165719998137,383.93918616606265,387.40201087250483,5.607515261276457
31.75,384.25519846855093,386.51615677685317,391.3550895210278,387.3754815888106,3.627112155502593
32.0,384.3880479767642,386.71370066852876,392.24449655775584,387.78208173434956,4.03571860426303
32.25,389.57956115869837,397.4890857424572,396.2581726761326,394.44227319242935,4.255967925919602
32.5,390.87977255396777,382.3693592717518,390.58655953342475,387.94523045304805,4.831071107079866
32.75,378.1799685289549,389.89639005264826,381.1068515107729,383.06107003079205,6.097775073599029
33.0,387.0885777774664,386.22988551951147,369.77994690746345,381.0328034014804,9.75471283814512
33.25,382.41650473120774,386.8406161422984,386.30069326340157,385.18593804563596,2.413545077492342
33.5,381.22506589257245,390.2714963949723,394.594630646728,388.6970643114243,6.8224220565843465
33.75,381.3870287948753,371.72788532826075,385.35028834098,379.48840082137195,7.006857861878064
34.0,380.523148555094,387.07679252021336,379.5881231806536,382.3960214186536,4.080536936679924
