LABORATORY,FSRI 
TEST IDENT,MDF_HF50_1
OPERATOR,Morrissey
MATERIAL,3/4 inch MDF
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.01
C FACTOR,0.038605247
SPEC HOLDER DIFF,-97.54000854
SPECIMEN MASS,143.0200043
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4615
TIME TO IGN,31
END OF TEST SCAN,4135
END OF TEST TIME,1033.75
TEST STATUS,1
PRE TEST CMT,without frame or grid












































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































