LABORATORY,FSRI 
TEST IDENT,MDF_HF50_2
OPERATOR,Morrissey
MATERIAL,3/4 inch MDF
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.01
C FACTOR,0.038605247
SPEC HOLDER DIFF,-90.22000122
SPECIMEN MASS,140.5299988
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4635
TIME TO IGN,31.75
END OF TEST SCAN,4155
END OF TEST TIME,1038.75
TEST STATUS,1
PRE TEST CMT,test w/o frame or grid































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































