LABORATORY,FSRI 
TEST IDENT,Dekalb_Fiber_HF50_R1
OPERATOR,Marino
MATERIAL,Dekalb_Fiberglass
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03901611641049385
SPEC HOLDER DIFF,-566
SPECIMEN MASS,15.140000343322754
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,706
TIME TO IGN,14.25
END OF TEST SCAN,226
END OF TEST TIME,56.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.10 x 100.73 x 1.36 mm; sample composed of 3 pieces
POST TEST CMT,"Sample started off gassing, bubbles started to form on the surface of the sample. Sample ignited and burned with a sooty flame."
