LABORATORY,FSRI 
TEST IDENT,Dekalb_Fiber_HF75_R1
OPERATOR,Marino
MATERIAL,Dekalb_Fiberglass
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03901611641049385
SPEC HOLDER DIFF,-566
SPECIMEN MASS,18.829999923706055
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,731
TIME TO IGN,4.25
END OF TEST SCAN,251
END OF TEST TIME,62.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.55 x 100.48 x 1.82 mm; sample composed of 3 pieces
POST TEST CMT,"Sample started off gassing, bubbles started to form on the surface of the sample. Sample ignited and burned with a sooty flame. Sample edges warped upwards towards end of test."
