LABORATORY,FSRI 
TEST IDENT,Dekalb_Fiber_HF75_R3
OPERATOR,Marino
MATERIAL,Dekalb_Fiberglass
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03901611641049385
SPEC HOLDER DIFF,-566
SPECIMEN MASS,16.25
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,623
TIME TO IGN,2.5
END OF TEST SCAN,143
END OF TEST TIME,35.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.86 x 99.74 x 1.42 mm; samples composed of 3 pieces
POST TEST CMT,"Sample started off gassing, bubbles started to form on the surface of the sample. Sample ignited and burned with a sooty flame."
