LABORATORY,FSRI 
TEST IDENT,Dekalb_Fiber_HF75_R2
OPERATOR,Marino
MATERIAL,Dekalb_Fiberglass
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03901611641049385
SPEC HOLDER DIFF,-566
SPECIMEN MASS,18.510000228881836
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,685
TIME TO IGN,5.25
END OF TEST SCAN,205
END OF TEST TIME,51.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.82 x 101.24 x 1.53 mm; sample composed of 3 pieces
POST TEST CMT,"Sample started off gassing, bubbles started to form on the surface of the sample. Sample ignited and burned with a sooty flame."
