Time after Ignition,Cotton_Rug_R1,Cotton_Rug_R2,Cotton_Rug_R3,Mean,Std. Dev.
0.0,55.5,19.1,12.2,28.9,23.2
0.25,63.6,25.4,14.9,34.6,25.6
0.5,70.5,31.3,17.0,39.6,27.7
0.75,75.9,35.9,23.3,45.0,27.4
1.0,81.6,40.9,29.1,50.5,27.5
1.25,87.2,48.6,34.7,56.8,27.2
1.5,93.0,54.6,38.6,62.1,27.9
1.75,101.8,59.7,47.3,69.6,28.6
2.0,106.4,63.8,56.8,75.7,26.9
2.25,112.3,74.1,63.6,83.3,25.6
2.5,122.7,81.8,70.2,91.6,27.6
2.75,133.2,88.0,79.7,100.3,28.8
3.0,137.9,94.5,91.8,108.1,25.9
3.25,144.4,100.2,97.6,114.1,26.3
3.5,148.8,106.2,102.9,119.3,25.6
3.75,156.7,112.1,113.1,127.3,25.5
4.0,167.9,118.5,120.7,135.7,27.9
4.25,174.4,122.9,127.1,141.4,28.6
4.5,178.1,130.8,135.0,148.0,26.2
4.75,185.6,134.0,137.2,152.3,28.9
5.0,192.9,140.9,146.3,160.0,28.6
5.25,198.4,143.1,151.0,164.1,29.9
5.5,206.3,148.7,157.1,170.7,31.1
5.75,207.2,154.6,160.2,174.0,28.9
6.0,210.5,160.0,163.7,178.1,28.1
6.25,219.2,161.3,169.4,183.3,31.4
6.5,224.0,162.4,172.1,186.2,33.1
6.75,228.4,169.7,181.4,193.2,31.1
7.0,230.8,172.8,182.2,195.3,31.2
7.25,236.1,175.6,187.2,199.6,32.1
7.5,235.9,182.2,192.2,203.4,28.6
7.75,245.0,182.1,191.5,206.2,33.9
8.0,245.6,184.1,191.7,207.1,33.6
8.25,253.1,189.3,200.5,214.3,34.1
8.5,259.1,192.7,199.7,217.2,36.4
8.75,258.9,193.9,204.6,219.2,34.9
9.0,263.5,197.5,207.9,223.0,35.5
9.25,262.9,201.8,212.8,225.8,32.6
9.5,266.8,203.0,214.8,228.2,33.9
9.75,272.4,209.0,216.3,232.6,34.7
10.0,271.0,205.3,218.5,231.6,34.7
10.25,278.9,209.3,225.5,237.9,36.4
10.5,274.3,216.0,225.0,238.4,31.4
10.75,273.8,214.3,224.1,237.4,31.9
11.0,279.5,220.1,228.7,242.8,32.1
11.25,276.9,221.6,230.6,243.0,29.7
11.5,285.4,223.8,230.4,246.5,33.8
11.75,286.8,221.7,232.4,247.0,34.9
12.0,287.9,221.7,238.3,249.3,34.4
12.25,283.2,227.1,236.4,248.9,30.1
12.5,291.8,230.2,244.5,255.5,32.3
12.75,287.6,232.7,243.5,254.6,29.1
13.0,300.6,232.4,242.2,258.4,36.9
13.25,292.6,231.8,249.5,258.0,31.3
13.5,294.0,234.0,248.5,258.9,31.3
13.75,294.9,235.6,255.5,262.0,30.2
14.0,297.6,239.6,251.9,263.0,30.6
14.25,299.0,239.2,255.1,264.5,31.0
14.5,299.6,236.9,255.9,264.1,32.2
14.75,299.0,237.1,256.3,264.1,31.7
15.0,301.7,239.3,256.8,265.9,32.2
15.25,305.1,239.6,261.5,268.7,33.4
15.5,304.1,240.5,259.3,267.9,32.7
15.75,305.7,244.0,262.9,270.9,31.6
16.0,303.5,242.3,268.3,271.4,30.7
16.25,313.6,244.5,270.3,276.1,34.9
16.5,314.0,247.4,272.2,277.9,33.7
16.75,311.2,246.9,274.6,277.5,32.2
17.0,311.2,246.4,272.1,276.6,32.6
17.25,314.5,243.8,269.6,276.0,35.8
17.5,313.8,249.9,279.2,280.9,32.0
17.75,320.8,249.5,282.8,284.4,35.7
18.0,321.6,252.5,279.9,284.7,34.8
18.25,328.9,259.8,286.1,291.6,34.9
18.5,323.2,257.9,279.5,286.9,33.3
18.75,321.0,253.3,282.0,285.4,33.9
19.0,329.0,255.7,285.3,290.0,36.9
19.25,327.3,257.0,285.6,289.9,35.4
19.5,332.5,262.1,284.3,293.0,36.0
19.75,330.1,258.6,285.6,291.4,36.1
20.0,326.5,260.8,287.0,291.5,33.1
20.25,327.1,260.5,291.4,293.0,33.3
20.5,330.0,267.4,287.1,294.8,32.0
20.75,338.3,265.2,294.4,299.3,36.8
21.0,333.1,264.4,287.2,294.9,35.0
21.25,329.4,267.0,295.2,297.2,31.2
21.5,328.1,263.6,290.7,294.1,32.4
21.75,340.2,269.5,298.8,302.9,35.5
22.0,338.8,270.0,297.3,302.0,34.6
22.25,341.1,277.9,304.4,307.8,31.7
22.5,337.1,271.5,304.9,304.5,32.8
22.75,340.8,270.3,306.2,305.8,35.3
23.0,344.3,277.1,302.2,307.9,34.0
23.25,348.5,275.4,309.7,311.2,36.6
23.5,341.2,276.5,305.9,307.8,32.4
23.75,342.6,275.0,317.7,311.7,34.2
24.0,346.5,275.9,316.0,312.8,35.4
24.25,344.5,276.9,314.3,311.9,33.9
24.5,341.7,276.4,313.0,310.4,32.7
24.75,350.3,280.8,307.5,312.9,35.1
25.0,348.9,277.0,313.6,313.2,35.9
25.25,346.0,281.2,316.0,314.4,32.4
25.5,346.7,283.4,310.1,313.4,31.8
25.75,340.4,280.8,322.8,314.7,30.6
26.0,344.5,280.7,322.8,316.0,32.4
26.25,339.6,279.8,314.6,311.3,30.1
26.5,343.1,289.3,320.2,317.5,27.0
26.75,345.2,283.6,320.0,316.3,31.0
