Names,Cotton_Rug_R1,Cotton_Rug_R2,Cotton_Rug_R3,Mean,Std. Dev.
132,374.5,422.0,403.9,400.1,23.9
133,380.4,417.7,401.6,399.9,18.7
134,363.0,415.5,414.9,397.8,30.1
135,371.0,428.8,427.6,409.1,33.0
136,382.4,438.9,416.2,412.5,28.4
137,381.5,443.2,420.7,415.1,31.2
138,391.1,449.2,426.5,422.3,29.3
139,390.3,450.2,427.7,422.7,30.3
140,391.5,456.0,432.2,426.6,32.6
141,399.7,452.2,446.1,432.7,28.7
142,404.4,464.6,449.4,439.5,31.3
143,407.1,474.8,457.9,446.6,35.2
144,406.0,457.4,456.4,439.9,29.4
145,418.1,463.4,460.7,447.4,25.4
146,422.5,471.2,449.3,447.7,24.4
147,421.3,477.2,463.9,454.1,29.2
148,429.1,491.5,480.8,467.1,33.3
149,423.0,484.9,479.1,462.3,34.2
150,430.9,486.7,469.7,462.4,28.6
151,434.2,491.4,493.6,473.1,33.7
152,440.3,494.6,485.5,473.5,29.1
153,438.8,513.9,501.1,484.6,40.2
154,445.7,511.4,498.2,485.1,34.7
155,440.8,492.5,507.8,480.4,35.1
156,448.4,509.7,506.7,488.3,34.6
157,448.8,519.2,514.9,494.3,39.5
158,460.0,511.9,522.0,498.0,33.2
159,464.5,515.3,529.1,503.0,34.0
160,472.2,514.0,529.5,505.2,29.6
161,458.7,519.4,520.0,499.3,35.2
162,463.7,540.8,545.9,516.8,46.0
163,478.5,535.6,529.3,514.5,31.3
164,485.3,531.7,544.0,520.3,30.9
165,470.6,537.6,542.7,516.9,40.3
166,475.8,541.6,530.2,515.8,35.2
167,483.1,560.3,547.1,530.2,41.3
168,491.0,547.5,554.1,530.9,34.7
169,490.1,546.3,551.7,529.4,34.1
170,496.0,549.5,550.5,532.0,31.2
171,486.8,555.1,563.4,535.1,42.0
172,498.0,559.0,556.5,537.8,34.5
173,500.4,557.5,551.6,536.5,31.4
174,505.9,547.6,552.8,535.5,25.7
175,494.2,553.3,569.7,539.0,39.7
176,489.5,566.0,573.2,542.9,46.4
177,499.0,565.6,570.2,545.0,39.8
178,502.8,550.0,572.5,541.8,35.6
179,493.6,565.4,580.2,546.4,46.3
180,504.8,564.8,572.3,547.3,37.0
181,514.8,557.2,569.4,547.1,28.6
182,516.1,581.6,581.1,559.6,37.7
183,512.6,566.3,586.9,555.2,38.4
184,503.4,571.1,593.6,556.1,47.0
185,532.6,580.3,576.3,563.0,26.5
186,501.0,574.4,573.8,549.7,42.2
187,520.6,561.2,588.9,556.9,34.4
188,524.8,581.1,578.5,561.4,31.8
189,522.2,595.8,577.8,565.3,38.4
190,526.2,550.5,583.3,553.4,28.7
191,510.0,548.8,587.4,548.7,38.7
192,526.0,560.3,578.9,555.0,26.8
193,511.7,563.3,576.9,550.6,34.4
194,530.2,562.3,573.5,555.3,22.5
195,514.6,583.9,571.4,556.6,36.9
196,524.3,566.3,577.0,555.9,27.8
197,526.2,546.3,589.7,554.1,32.5
198,516.2,553.6,570.8,546.9,27.9
199,528.3,564.7,578.5,557.2,25.9
200,514.2,562.5,579.5,552.1,33.9
201,520.8,550.4,577.8,549.6,28.5
202,522.7,552.1,584.5,553.1,31.0
203,528.2,557.2,586.4,557.3,29.1
204,520.8,539.6,561.3,540.6,20.3
205,519.5,548.7,571.7,546.6,26.2
206,519.6,554.2,584.1,552.6,32.2
207,519.0,541.6,565.9,542.2,23.5
208,530.7,550.1,563.8,548.2,16.6
209,521.4,555.7,570.5,549.2,25.2
210,515.8,537.2,560.6,537.8,22.4
211,512.9,531.8,562.6,535.8,25.1
212,515.8,535.3,560.7,537.3,22.5
213,522.5,530.4,563.5,538.8,21.7
214,515.7,526.1,551.5,531.1,18.4
215,509.2,503.6,546.0,519.6,23.0
216,512.3,512.0,558.1,527.5,26.5
217,521.3,516.5,553.7,530.5,20.2
218,499.0,523.6,534.2,519.0,18.0
219,498.5,503.5,552.2,518.0,29.7
220,490.7,488.4,541.3,506.8,29.9
221,505.7,502.4,538.1,515.4,19.7
222,501.7,496.6,538.2,512.2,22.7
223,506.0,495.7,533.2,511.6,19.4
224,496.7,479.1,540.0,505.3,31.4
225,489.3,496.1,524.7,503.4,18.8
226,483.3,469.4,532.5,495.1,33.2
227,482.7,474.1,533.9,496.9,32.3
228,487.6,471.6,519.0,492.7,24.1
229,480.8,470.4,519.1,490.1,25.7
230,483.0,461.2,511.8,485.3,25.4
231,487.7,457.3,517.4,487.4,30.0
232,479.1,463.5,496.2,479.6,16.3
233,485.2,451.2,489.4,475.3,21.0
234,481.4,435.3,503.2,473.3,34.7
235,482.1,451.6,508.7,480.8,28.6
236,481.0,440.2,491.7,470.9,27.2
237,471.8,433.0,490.8,465.2,29.4
238,475.6,422.6,479.4,459.2,31.8
239,465.7,422.2,488.1,458.7,33.5
240,463.2,410.8,478.5,450.8,35.5
241,460.2,405.9,474.0,446.7,36.0
242,457.2,407.4,468.7,444.4,32.6
243,456.9,392.9,461.0,436.9,38.2
244,449.8,381.1,465.9,432.2,45.0
245,457.2,378.6,458.1,431.3,45.7
246,451.7,371.3,445.1,422.7,44.7
247,441.4,355.9,440.4,412.6,49.1
248,435.6,353.2,433.3,407.4,46.9
249,432.1,351.7,437.3,407.1,48.0
250,437.6,345.6,422.2,401.8,49.3
251,435.4,334.4,429.1,399.6,56.6
252,434.8,327.4,421.7,394.6,58.6
253,427.9,322.5,414.8,388.4,57.4
254,426.8,314.9,409.7,383.8,60.3
255,416.9,309.2,405.3,377.1,59.1
256,410.9,305.5,395.4,370.6,56.9
257,416.9,299.6,401.1,372.5,63.7
258,405.0,290.7,388.3,361.3,61.7
259,403.2,280.5,383.0,355.6,65.8
260,393.9,275.6,378.2,349.2,64.2
261,386.1,270.1,365.6,340.6,61.9
262,387.7,263.7,356.1,335.8,64.4
