Names,Cotton_Rug_R1,Cotton_Rug_R2,Cotton_Rug_R3,Mean,Std. Dev.
686,41.0,43.7,46.5,43.7,2.8
687,40.5,44.0,46.2,43.6,2.9
688,40.1,43.1,46.4,43.2,3.1
689,40.4,42.9,46.3,43.2,2.9
690,39.7,43.2,46.4,43.1,3.4
691,39.4,42.5,45.8,42.6,3.2
692,39.7,42.9,47.2,43.3,3.7
693,39.7,43.0,46.2,43.0,3.2
694,39.2,42.2,46.5,42.6,3.7
695,38.9,42.0,45.9,42.3,3.5
696,38.6,42.2,46.2,42.3,3.8
697,38.2,41.8,45.7,41.9,3.8
698,37.9,41.8,45.3,41.7,3.7
699,38.0,41.7,46.2,42.0,4.1
700,37.9,41.5,45.7,41.7,3.9
701,38.1,41.7,45.4,41.7,3.6
702,38.3,41.8,45.7,42.0,3.7
703,37.2,41.2,45.9,41.4,4.4
704,37.7,41.4,45.5,41.5,3.9
705,37.6,41.0,46.1,41.6,4.3
706,37.3,40.3,45.7,41.1,4.3
707,37.2,40.9,46.0,41.4,4.4
708,36.8,40.2,45.7,40.9,4.5
709,36.7,40.1,45.7,40.8,4.5
710,37.1,40.6,46.2,41.3,4.6
711,36.7,40.5,45.0,40.7,4.1
712,36.9,39.6,45.4,40.6,4.3
713,36.4,40.3,45.9,40.9,4.7
714,36.2,39.5,45.6,40.4,4.8
715,36.7,39.4,45.2,40.5,4.3
716,37.3,39.7,44.9,40.6,3.9
717,36.6,39.3,44.7,40.2,4.1
718,36.5,39.1,44.2,39.9,3.9
719,36.7,39.3,44.6,40.2,4.0
720,36.5,39.1,45.1,40.2,4.4
721,36.2,38.8,45.1,40.0,4.5
722,36.0,39.1,44.7,39.9,4.4
723,36.2,39.1,44.9,40.0,4.4
724,35.5,39.0,44.4,39.7,4.5
725,35.4,38.8,44.5,39.5,4.6
726,35.8,38.5,44.9,39.7,4.7
727,35.7,39.1,44.7,39.9,4.5
728,35.3,38.8,45.1,39.7,5.0
729,35.2,38.3,44.2,39.2,4.6
730,35.0,38.8,44.8,39.5,5.0
731,35.7,38.7,44.3,39.6,4.4
732,35.4,38.1,44.2,39.2,4.5
733,35.3,38.3,43.6,39.1,4.2
734,35.6,38.3,43.6,39.2,4.1
735,35.5,38.3,44.4,39.4,4.5
736,35.4,38.6,43.9,39.3,4.3
737,35.2,38.4,44.2,39.2,4.6
738,35.4,39.0,44.2,39.6,4.4
739,34.4,38.1,43.7,38.7,4.7
740,35.4,38.1,43.6,39.0,4.1
741,35.0,38.1,43.4,38.8,4.3
742,34.9,38.4,43.8,39.0,4.5
743,35.1,37.3,43.8,38.7,4.5
744,34.6,38.3,43.4,38.7,4.4
745,34.3,37.7,43.6,38.5,4.7
746,34.7,38.1,43.8,38.9,4.6
747,34.1,37.4,43.3,38.3,4.7
748,34.3,38.0,43.3,38.5,4.5
749,34.7,37.5,43.6,38.6,4.5
750,34.2,37.4,43.6,38.4,4.8
751,33.8,38.3,43.6,38.6,4.9
752,34.0,37.9,43.0,38.3,4.5
753,34.0,37.0,43.5,38.2,4.9
754,34.5,37.3,43.2,38.3,4.5
755,34.2,37.5,43.3,38.4,4.6
756,33.9,38.3,43.8,38.6,5.0
757,34.4,37.7,43.6,38.6,4.7
758,34.4,37.1,42.6,38.1,4.2
759,33.9,37.2,42.9,38.0,4.6
760,34.1,37.5,42.5,38.1,4.2
761,34.1,37.4,43.0,38.2,4.5
762,33.6,36.9,42.8,37.8,4.7
763,33.3,37.3,42.3,37.7,4.5
764,33.0,37.3,42.5,37.6,4.8
765,33.0,37.1,43.0,37.7,5.0
766,32.6,36.9,42.7,37.4,5.1
767,32.7,37.3,42.4,37.5,4.9
768,32.3,37.2,42.1,37.2,4.9
769,32.1,36.3,41.9,36.8,4.9
770,32.2,36.6,42.6,37.1,5.2
771,32.3,37.0,42.1,37.1,4.9
772,32.5,37.1,42.2,37.3,4.9
773,31.7,,41.9,36.8,7.2
774,31.9,,42.2,37.0,7.3
775,32.2,,43.0,37.6,7.6
776,32.6,,42.1,37.4,6.7
777,31.9,,42.4,37.2,7.4
778,32.1,,42.2,37.2,7.1
779,31.7,,42.9,37.3,7.9
780,32.0,,42.4,37.2,7.4
781,31.6,,41.7,36.6,7.1
782,32.0,,41.9,36.9,7.0
783,31.2,,41.2,36.2,7.1
784,31.5,,41.4,36.5,7.0
785,31.2,,41.6,36.4,7.3
786,31.3,,41.5,36.4,7.2
787,30.9,,41.6,36.3,7.6
788,31.0,,42.0,36.5,7.8
789,30.7,,41.5,36.1,7.7
790,30.7,,41.3,36.0,7.5
791,30.7,,41.0,35.9,7.3
792,30.5,,41.5,36.0,7.8
793,30.3,,40.7,35.5,7.4
794,30.0,,40.8,35.4,7.6
795,30.3,,41.0,35.7,7.5
796,30.1,,40.7,35.4,7.5
797,30.4,,40.1,35.2,6.9
798,30.3,,40.1,35.2,7.0
799,30.2,,40.3,35.3,7.2
800,30.2,,40.1,35.2,7.0
801,30.3,,39.9,35.1,6.8
802,30.0,,40.1,35.1,7.2
803,29.6,,39.4,34.5,6.9
804,30.0,,40.2,35.1,7.2
805,29.6,,39.6,34.6,7.1
806,29.7,,40.2,34.9,7.4
807,29.3,,39.5,34.4,7.2
808,29.4,,39.7,34.5,7.3
809,28.5,,39.0,33.8,7.4
810,28.7,,39.7,34.2,7.8
811,29.0,,39.1,34.0,7.2
812,29.0,,39.0,34.0,7.0
813,29.0,,39.1,34.1,7.2
814,29.0,,38.4,33.7,6.7
815,28.6,,38.3,33.5,6.9
816,28.9,,38.1,33.5,6.5
817,28.6,,38.9,33.7,7.3
818,28.0,,38.9,33.4,7.7
819,28.3,,38.9,33.6,7.5
820,28.6,,38.6,33.6,7.1
821,28.4,,38.5,33.4,7.2
822,28.5,,38.7,33.6,7.3
823,28.5,,38.6,33.5,7.2
824,28.2,,39.2,33.7,7.7
825,28.3,,38.8,33.6,7.4
826,28.4,,38.7,33.6,7.2
827,28.7,,38.1,33.4,6.6
828,28.4,,38.6,33.5,7.2
829,28.6,,38.4,33.5,6.9
830,28.4,,38.4,33.4,7.0
831,28.3,,38.4,33.3,7.1
832,28.1,,38.1,33.1,7.0
