LABORATORY,FSRI 
TEST IDENT,CottonRug_HF25_1
OPERATOR,Dow
MATERIAL,Cotton Rug
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.00884
C FACTOR,0.039850782603025436
SPEC HOLDER DIFF,-566
SPECIMEN MASS,14.569999694824219
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1407
TIME TO IGN,70.5
END OF TEST SCAN,927
END OF TEST TIME,231.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.0 x 103.0 x 5.35 mm; with frame; with calcium silicate substrate
POST TEST CMT,Prior to ignition a sample edge lifted and impacted the spark ignitor and caused spikes in the mass data. 
