Time after Ignition,Cotton_Rug_R1,Cotton_Rug_R2,Cotton_Rug_R3,Mean,Std. Dev.
0.0,63.1,54.1,24.4,47.2,20.2
0.25,72.7,61.7,27.2,53.9,23.7
0.5,82.0,68.9,33.5,61.5,25.1
0.75,88.1,83.3,38.9,70.1,27.1
1.0,99.8,94.0,43.7,79.2,30.9
1.25,104.2,105.0,55.8,88.3,28.2
1.5,111.3,114.8,67.8,98.0,26.2
1.75,118.2,120.2,77.3,105.2,24.2
2.0,127.3,133.5,85.4,115.4,26.1
2.25,137.1,147.2,94.9,126.4,27.7
2.5,141.9,158.9,107.7,136.2,26.0
2.75,155.6,163.9,121.6,147.0,22.4
3.0,167.1,177.5,131.2,158.6,24.3
3.25,170.2,189.2,140.0,166.5,24.8
3.5,179.3,197.3,156.3,177.7,20.5
3.75,184.1,210.5,169.6,188.1,20.7
4.0,196.5,212.0,182.6,197.0,14.7
4.25,209.1,231.0,192.0,210.7,19.5
4.5,212.8,226.1,207.6,215.5,9.5
4.75,217.6,237.8,212.8,222.7,13.3
5.0,233.2,244.0,221.7,233.0,11.1
5.25,247.3,254.2,233.9,245.1,10.3
5.5,246.3,254.9,244.0,248.4,5.7
5.75,262.3,270.5,249.0,260.6,10.9
6.0,279.1,281.0,263.0,274.3,9.9
6.25,288.4,286.7,272.7,282.6,8.6
6.5,298.9,298.6,283.7,293.7,8.7
6.75,296.3,305.8,296.8,299.6,5.4
7.0,306.5,315.5,309.3,310.4,4.6
7.25,330.9,323.1,311.5,321.8,9.8
7.5,329.5,335.3,324.9,329.9,5.2
7.75,324.4,338.3,328.0,330.2,7.2
8.0,348.7,347.2,332.9,342.9,8.7
8.25,343.5,346.4,349.9,346.6,3.2
8.5,359.8,362.8,352.6,358.4,5.3
8.75,358.8,369.2,362.2,363.4,5.3
9.0,370.7,374.2,364.2,369.7,5.1
9.25,378.6,374.3,376.8,376.6,2.2
9.5,379.4,371.5,380.3,377.0,4.8
9.75,391.8,394.9,386.3,391.0,4.3
10.0,391.7,392.2,389.5,391.1,1.4
10.25,388.8,405.5,379.3,391.2,13.3
10.5,399.4,405.2,400.9,401.8,3.0
10.75,397.4,414.0,397.8,403.0,9.5
11.0,406.5,416.2,405.6,409.4,5.9
11.25,418.5,438.1,414.0,423.6,12.8
11.5,422.2,444.3,406.9,424.5,18.8
11.75,421.3,449.9,421.2,430.8,16.5
12.0,429.1,466.4,422.7,439.4,23.6
12.25,437.1,455.2,424.4,438.9,15.5
12.5,452.4,469.8,427.7,450.0,21.1
12.75,445.4,479.8,439.9,455.0,21.6
13.0,453.8,484.4,436.7,458.3,24.2
13.25,470.5,502.6,450.4,474.5,26.4
13.5,472.8,501.3,445.9,473.3,27.7
13.75,479.1,529.0,441.3,483.1,44.0
14.0,477.1,521.0,456.2,484.8,33.1
14.25,495.8,538.5,458.2,497.5,40.2
14.5,490.5,538.8,457.4,495.6,41.0
14.75,501.9,542.6,481.3,508.6,31.2
15.0,495.3,546.5,475.0,505.6,36.9
15.25,503.3,551.9,473.5,509.6,39.6
15.5,506.8,588.3,482.6,525.9,55.4
15.75,520.8,577.4,490.0,529.4,44.3
16.0,526.6,582.8,496.2,535.2,44.0
16.25,540.8,599.4,528.7,556.3,37.8
16.5,518.9,622.5,501.8,547.7,65.3
16.75,549.9,627.3,513.5,563.6,58.1
17.0,545.8,607.6,538.7,564.0,37.9
17.25,570.0,614.1,529.5,571.2,42.3
17.5,581.6,651.5,535.7,589.6,58.3
17.75,586.3,621.1,555.8,587.7,32.6
18.0,576.5,651.5,551.8,593.3,51.9
18.25,589.6,628.4,560.8,592.9,33.9
18.5,598.1,644.8,592.8,611.9,28.6
18.75,607.9,692.7,591.6,630.8,54.3
19.0,610.7,669.3,584.2,621.4,43.6
