LABORATORY,FSRI ,,,,,,,,,,,,
TEST IDENT,MDF_HF75_3,,,,,,,,,,,,
OPERATOR,Morrissey,,,,,,,,,,,,
MATERIAL,3/4 inch MDF,,,,,,,,,,,,
ORIENTATION,Horizontal,,,,,,,,,,,,
HEAT FLUX,75,,,,,,,,,,,,
SURF AREA,0.01,,,,,,,,,,,,
C FACTOR,0.038605247,,,,,,,,,,,,
SPEC HOLDER DIFF,-99.33999634,,,,,,,,,,,,
SPECIMEN MASS,143.9700012,,,,,,,,,,,,
SCAN TIME,0.25,,,,,,,,,,,,
O2 DELAY TIME,11,,,,,,,,,,,,
CO DELAY TIME,11,,,,,,,,,,,,
CO2 DELAY TIME,8,,,,,,,,,,,,
FLOW FACTOR,1,,,,,,,,,,,,
SCAN COUNT,4279,,,,,,,,,,,,
TIME TO IGN,14.5,,,,,,,,,,,,
END OF TEST SCAN,3799,,,,,,,,,,,,
END OF TEST TIME,949.75,,,,,,,,,,,,
TEST STATUS,1,,,,,,,,,,,,
PRE TEST CMT,without retainer frame or grid,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
