LABORATORY,FSRI 
TEST IDENT,OlefinCarpet_HF75_2
OPERATOR,Dow
MATERIAL,Polyolefin carpet - low pile
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.00884
C FACTOR,0.03969724476337433
SPEC HOLDER DIFF,-566
SPECIMEN MASS,14.039999961853027
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1390
TIME TO IGN,6.5
END OF TEST SCAN,910
END OF TEST TIME,227.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.97 x 100.06 x 5.88 mm; with frame; with calcium silicate substrate
