Names,Polyolefin_Carpet_Low_Pile_R1,Polyolefin_Carpet_Low_Pile_R2,Polyolefin_Carpet_Low_Pile_R3,Mean,Std. Dev.
116,548.3,499.7,547.0,531.7,27.7
117,569.6,505.5,578.9,551.3,40.0
118,594.0,509.1,578.1,560.4,45.1
119,585.9,516.9,574.4,559.1,37.0
120,604.5,511.7,599.4,571.9,52.1
121,601.6,536.5,600.3,579.5,37.2
122,620.0,532.3,604.3,585.6,46.8
123,625.1,552.1,605.8,594.3,37.8
124,607.0,557.3,612.4,592.2,30.4
125,637.0,556.9,640.4,611.4,47.3
126,621.7,557.7,631.3,603.6,40.0
127,650.6,578.7,644.2,624.5,39.8
128,644.2,595.3,629.2,622.9,25.0
129,650.3,583.2,651.9,628.5,39.2
130,678.3,589.3,654.6,640.8,46.1
131,661.9,590.0,660.3,637.4,41.1
132,664.5,599.5,650.1,638.0,34.1
133,684.9,595.6,667.6,649.4,47.3
134,691.6,633.7,673.5,666.3,29.6
135,681.1,623.0,674.1,659.4,31.7
136,700.9,621.0,706.0,676.0,47.7
137,709.9,628.3,691.8,676.7,42.8
138,688.5,623.9,695.2,669.2,39.4
139,703.3,641.4,686.6,677.1,32.0
140,697.2,662.2,702.6,687.3,21.9
141,713.7,652.0,705.7,690.5,33.5
142,722.5,670.5,701.0,698.0,26.1
143,725.3,651.5,696.4,691.1,37.2
144,740.5,646.7,709.5,698.9,47.8
145,726.0,691.9,706.0,708.0,17.1
146,737.9,656.0,739.2,711.0,47.7
147,751.0,677.8,706.7,711.8,36.9
148,730.1,694.7,744.1,723.0,25.5
149,764.2,675.5,739.4,726.4,45.8
150,765.0,687.8,751.9,734.9,41.3
151,749.8,690.5,744.2,728.2,32.7
152,748.3,688.1,739.9,725.4,32.6
153,750.3,688.5,756.2,731.7,37.5
154,773.0,708.9,737.4,739.7,32.1
155,760.9,676.7,750.2,729.3,45.8
156,765.7,706.3,752.8,741.6,31.3
157,751.3,716.1,744.6,737.3,18.7
158,770.0,694.9,744.9,736.6,38.2
159,771.1,700.5,775.9,749.2,42.2
160,788.3,691.3,724.1,734.6,49.4
161,774.2,709.7,764.7,749.5,34.8
162,768.3,693.6,769.1,743.7,43.4
163,776.8,709.1,734.3,740.1,34.2
164,757.8,720.0,781.8,753.2,31.2
165,771.9,707.3,752.9,744.0,33.2
166,760.5,719.7,750.9,743.7,21.3
167,778.7,692.2,754.4,741.8,44.6
168,749.5,715.9,736.0,733.8,16.9
169,743.8,714.1,769.6,742.5,27.8
170,788.7,693.4,745.0,742.3,47.7
171,744.9,699.8,759.5,734.7,31.2
172,771.4,719.1,740.4,743.6,26.3
173,765.4,705.4,740.8,737.2,30.2
174,756.5,702.7,742.8,734.0,28.0
175,742.2,712.7,760.2,738.4,24.0
176,750.6,706.6,759.3,738.8,28.2
177,756.1,703.9,712.1,724.1,28.1
178,744.1,736.7,733.3,738.0,5.5
179,725.2,689.9,745.8,720.3,28.3
180,739.4,700.8,727.8,722.7,19.8
181,729.9,675.8,726.5,710.7,30.3
182,737.3,699.8,739.1,725.4,22.2
183,726.3,689.4,725.0,713.6,21.0
184,723.2,697.9,724.4,715.2,15.0
185,752.1,686.8,721.7,720.2,32.7
186,728.4,687.8,699.2,705.2,21.0
187,729.9,679.7,719.9,709.8,26.6
188,707.3,699.7,708.5,705.2,4.8
189,689.9,667.8,724.0,693.9,28.3
190,702.1,690.3,719.2,703.9,14.5
191,717.8,675.8,707.8,700.5,21.9
192,707.6,672.5,704.3,694.8,19.4
193,688.0,686.0,706.6,693.5,11.3
194,671.4,674.9,693.2,679.8,11.7
195,657.7,676.4,712.6,682.2,27.9
196,657.5,670.5,689.8,672.6,16.2
197,659.8,648.1,692.3,666.7,22.9
198,647.7,644.3,715.0,669.0,39.8
199,642.6,658.0,683.8,661.5,20.9
200,643.6,658.8,682.0,661.5,19.3
201,620.0,623.3,680.2,641.2,33.8
202,637.3,627.9,673.2,646.1,23.9
203,612.6,611.1,662.8,628.8,29.4
204,622.8,598.9,649.3,623.7,25.2
205,603.4,601.3,668.9,624.5,38.4
206,592.8,607.1,640.7,613.5,24.6
207,582.7,604.7,636.7,608.0,27.1
208,570.3,583.0,637.5,597.0,35.7
209,579.2,581.8,626.0,595.7,26.3
210,571.1,575.5,634.1,593.5,35.2
211,556.1,572.3,631.2,586.5,39.5
212,542.9,563.4,632.6,579.7,47.0
213,548.4,571.8,613.1,577.8,32.8
214,539.8,544.0,600.5,561.4,33.9
215,519.6,550.3,612.8,560.9,47.5
216,529.7,550.9,608.2,563.0,40.6
217,516.7,537.6,591.7,548.7,38.7
218,506.1,538.3,601.2,548.5,48.4
219,497.9,527.7,589.3,538.3,46.6
220,495.5,527.4,581.5,534.8,43.5
221,490.4,508.1,571.8,523.5,42.8
222,485.4,514.1,546.8,515.4,30.7
223,470.7,510.5,556.5,512.6,42.9
224,460.5,490.5,547.8,499.6,44.4
225,462.0,481.8,551.2,498.3,46.8
226,462.3,477.5,540.3,493.4,41.3
227,460.0,476.5,514.7,483.7,28.1
228,442.5,467.0,514.9,474.8,36.8
229,436.8,464.7,509.3,470.3,36.6
230,428.7,451.5,492.1,457.4,32.1
231,426.8,443.2,498.5,456.2,37.5
232,420.8,439.8,479.2,446.6,29.8
233,412.0,435.4,485.7,444.4,37.7
234,406.9,421.0,480.6,436.2,39.1
235,400.5,417.0,476.4,431.3,39.9
236,394.4,400.2,465.0,419.9,39.2
237,386.1,411.6,470.9,422.9,43.5
238,374.8,399.8,450.3,408.3,38.4
239,365.0,385.7,453.2,401.3,46.1
240,360.4,386.8,439.7,395.6,40.4
241,357.9,379.7,431.2,389.6,37.7
242,343.7,375.5,431.4,383.6,44.4
243,336.1,368.5,416.0,373.5,40.2
244,329.6,360.1,420.3,370.0,46.2
245,318.5,356.0,406.5,360.3,44.2
246,314.7,349.9,394.2,352.9,39.8
247,305.1,344.4,388.1,345.9,41.5
248,300.5,337.4,382.8,340.2,41.2
249,296.6,329.5,379.0,335.0,41.5
250,288.7,314.4,364.2,322.4,38.4
251,277.6,313.7,354.4,315.2,38.4
252,276.4,307.0,353.6,312.3,38.9
253,264.6,297.4,345.3,302.4,40.6
254,259.8,290.4,334.5,294.9,37.5
255,257.0,289.3,324.0,290.1,33.5
256,250.5,282.6,312.4,281.8,31.0
257,239.1,278.4,301.8,273.1,31.7
258,237.3,268.9,306.0,270.7,34.4
259,234.5,262.6,293.1,263.4,29.3
260,232.6,263.9,289.5,262.0,28.5
261,227.1,258.7,283.2,256.4,28.1
262,220.4,253.5,271.6,248.5,26.0
263,219.6,243.9,266.9,243.5,23.6
264,215.8,239.1,258.1,237.7,21.2
265,209.9,239.9,252.1,233.9,21.7
266,205.3,236.1,244.2,228.5,20.5
267,200.9,230.8,240.6,224.1,20.7
268,198.2,230.1,233.4,220.6,19.5
269,198.9,226.6,232.0,219.2,17.8
270,189.3,222.1,226.6,212.7,20.4
271,186.7,219.2,221.6,209.2,19.5
272,185.1,217.7,223.3,208.7,20.6
273,182.6,213.3,216.4,204.1,18.7
274,177.1,207.9,208.9,198.0,18.1
275,173.5,207.8,201.7,194.3,18.3
276,165.2,202.8,203.5,190.5,21.9
277,165.9,200.4,191.8,186.0,18.0
278,163.1,197.5,188.4,183.0,17.8
279,158.0,190.5,186.4,178.3,17.7
280,155.7,187.0,184.2,175.7,17.3
281,150.0,182.5,176.9,169.8,17.4
282,147.1,179.3,175.1,167.2,17.5
283,146.8,176.7,169.8,164.5,15.7
284,140.3,170.7,166.7,159.2,16.6
285,139.5,164.8,161.0,155.1,13.6
286,137.7,162.4,156.9,152.3,13.0
287,132.5,158.2,155.1,148.6,14.0
288,132.7,152.5,150.0,145.1,10.8
289,128.5,152.8,144.5,141.9,12.3
290,125.3,146.1,140.6,137.3,10.8
291,123.1,142.1,137.4,134.2,9.9
292,121.2,138.1,133.0,130.8,8.7
293,118.7,135.6,131.4,128.6,8.8
294,119.1,134.1,128.3,127.2,7.6
295,114.0,130.7,124.0,122.9,8.4
296,112.8,127.4,123.4,121.2,7.5
297,110.4,125.5,118.6,118.1,7.5
298,108.6,122.1,117.4,116.0,6.8
299,106.0,120.0,116.0,114.0,7.2
300,104.4,115.7,114.0,111.4,6.1
301,102.1,115.4,110.9,109.5,6.8
302,100.0,113.6,107.8,107.1,6.8
303,98.1,112.0,108.4,106.2,7.2
304,96.2,109.1,102.2,102.5,6.5
305,94.9,107.6,101.8,101.5,6.4
306,91.8,106.5,96.7,98.3,7.5
307,91.0,102.4,96.9,96.8,5.7
308,89.8,101.8,94.0,95.2,6.1
309,90.0,99.0,92.6,93.9,4.6
310,87.2,96.8,91.1,91.7,4.8
311,86.0,94.7,90.3,90.3,4.3
312,84.5,93.8,86.3,88.2,4.9
313,83.6,91.8,84.5,86.6,4.5
314,81.3,88.0,83.0,84.1,3.5
315,82.2,86.4,80.3,82.9,3.1
316,80.8,85.3,80.2,82.1,2.8
317,81.1,82.6,78.0,80.6,2.3
318,79.1,80.8,76.7,78.8,2.1
319,78.0,79.2,74.4,77.2,2.5
320,78.3,77.0,73.8,76.3,2.3
321,76.7,75.2,72.9,74.9,1.9
322,76.8,74.2,72.3,74.4,2.2
323,75.3,72.3,70.4,72.7,2.5
324,74.7,70.0,69.4,71.4,2.9
325,72.2,70.4,67.7,70.1,2.2
326,72.5,68.5,67.7,69.6,2.5
327,72.0,66.4,66.0,68.1,3.3
328,71.2,64.6,65.3,67.0,3.6
329,70.3,63.2,65.1,66.2,3.7
330,69.2,62.6,63.9,65.2,3.5
331,68.8,60.9,62.5,64.1,4.2
332,67.6,59.8,62.0,63.1,4.0
333,65.6,59.1,61.6,62.1,3.3
334,64.8,58.3,60.1,61.1,3.3
335,64.3,55.3,59.7,59.8,4.5
336,63.7,54.9,58.4,59.0,4.4
337,63.4,54.2,57.8,58.5,4.6
338,62.5,53.2,56.0,57.2,4.8
339,60.8,51.4,54.5,55.6,4.8
340,60.8,50.1,53.2,54.7,5.5
341,59.9,49.7,52.0,53.9,5.4
342,59.4,49.1,50.4,52.9,5.6
343,58.8,48.2,48.9,52.0,5.9
344,58.6,47.4,48.5,51.5,6.2
345,57.5,46.2,47.0,50.2,6.3
346,56.8,45.8,46.8,49.8,6.0
347,56.3,44.0,45.9,48.8,6.6
348,55.9,44.0,44.4,48.1,6.8
349,55.3,43.1,44.2,47.5,6.7
350,54.9,42.4,43.3,46.9,6.9
351,54.7,41.9,42.1,46.2,7.3
352,54.2,40.1,42.1,45.5,7.6
353,53.2,39.2,41.0,44.5,7.6
354,52.7,39.2,40.8,44.2,7.4
355,52.3,38.8,40.4,43.8,7.4
356,51.2,37.7,39.3,42.7,7.4
357,51.0,37.7,38.7,42.4,7.4
358,51.4,36.8,38.1,42.1,8.1
359,50.4,36.3,37.5,41.4,7.8
360,49.8,35.2,37.0,40.7,8.0
361,48.5,35.3,36.6,40.1,7.3
362,47.7,34.6,35.8,39.4,7.2
363,48.2,34.2,35.3,39.2,7.8
364,48.0,33.5,34.7,38.7,8.1
365,46.8,33.3,34.8,38.3,7.4
366,46.3,32.6,34.2,37.7,7.5
367,45.8,32.2,33.4,37.1,7.5
368,46.2,31.7,33.2,37.0,8.0
369,46.0,31.0,33.3,36.8,8.1
370,45.0,30.9,32.3,36.1,7.8
371,44.6,30.2,31.4,35.4,8.0
372,44.5,29.9,31.2,35.2,8.1
373,44.4,29.3,31.0,34.9,8.3
374,43.7,29.0,30.4,34.4,8.1
375,43.9,29.0,29.7,34.2,8.4
376,42.8,27.8,29.6,33.4,8.2
377,43.1,27.1,29.2,33.1,8.7
378,42.5,27.2,28.7,32.8,8.4
379,42.2,26.7,28.5,32.5,8.5
380,41.6,26.0,28.0,31.8,8.5
381,41.7,26.0,27.6,31.8,8.7
382,41.1,26.0,27.4,31.5,8.4
383,41.3,25.6,27.2,31.4,8.6
384,40.1,25.2,26.5,30.6,8.2
385,40.2,24.7,26.4,30.4,8.5
386,40.1,24.8,26.3,30.4,8.5
387,39.7,24.1,25.8,29.9,8.6
388,39.6,24.0,25.2,29.6,8.7
389,39.5,23.7,25.3,29.5,8.7
390,39.2,23.0,24.7,29.0,8.9
391,38.4,22.9,24.6,28.6,8.5
392,38.1,22.8,24.3,28.4,8.4
393,37.5,22.2,23.5,27.8,8.5
394,37.9,22.6,23.2,27.9,8.6
395,37.1,21.7,23.1,27.3,8.5
396,37.3,21.7,22.6,27.2,8.8
397,37.5,21.4,22.5,27.1,9.0
398,36.7,21.3,22.2,26.7,8.7
399,36.6,21.4,21.9,26.6,8.7
400,36.6,21.1,21.8,26.5,8.7
401,36.3,20.5,21.2,26.0,8.9
402,35.9,20.3,21.4,25.9,8.7
403,36.2,19.7,21.1,25.7,9.1
404,35.9,19.6,20.6,25.3,9.1
405,35.7,19.3,20.7,25.2,9.1
406,35.5,19.1,20.3,25.0,9.1
407,35.2,19.2,20.1,24.8,9.0
408,34.2,18.6,20.0,24.2,8.6
409,34.5,18.8,19.7,24.3,8.8
410,34.5,18.4,19.9,24.3,8.9
411,34.2,18.3,19.6,24.0,8.8
412,34.1,18.5,19.6,24.1,8.7
413,33.3,18.3,19.3,23.6,8.4
414,32.9,18.1,19.0,23.3,8.3
415,32.7,17.6,18.9,23.1,8.4
416,32.3,17.6,18.8,22.9,8.1
417,32.0,17.5,18.6,22.7,8.1
418,32.3,17.3,18.4,22.6,8.4
419,31.4,17.4,17.9,22.3,7.9
420,31.2,17.4,17.9,22.2,7.8
421,31.1,17.0,17.5,21.9,8.0
422,30.6,16.7,17.4,21.6,7.9
423,30.9,16.5,17.1,21.5,8.2
424,30.5,16.3,16.6,21.1,8.1
425,30.3,16.1,16.4,20.9,8.1
426,30.0,16.1,16.4,20.8,8.0
427,29.9,15.7,16.4,20.7,8.0
428,29.7,15.5,16.0,20.4,8.1
429,30.0,15.3,15.9,20.4,8.3
430,30.0,15.2,15.5,20.2,8.4
431,30.1,15.3,15.0,20.1,8.7
432,30.0,14.9,14.8,19.9,8.7
433,29.4,14.8,14.7,19.7,8.4
434,29.2,14.7,14.5,19.5,8.5
435,29.0,14.6,14.6,19.4,8.3
436,29.2,14.4,14.5,19.4,8.5
437,28.8,14.2,14.1,19.1,8.4
438,27.9,14.0,14.2,18.7,8.0
439,27.9,14.0,14.1,18.6,8.0
440,28.2,13.9,14.0,18.7,8.2
441,27.9,14.0,13.6,18.5,8.1
442,27.2,13.9,13.8,18.3,7.7
443,27.3,13.8,13.5,18.2,7.9
444,27.1,13.6,13.4,18.0,7.9
445,26.7,13.7,13.2,17.9,7.7
446,26.6,13.5,13.0,17.7,7.7
447,26.6,13.6,12.8,17.7,7.7
448,26.7,13.6,12.6,17.6,7.8
449,26.4,13.5,12.6,17.5,7.7
450,26.1,13.5,12.5,17.4,7.6
