Time after Ignition,Polyolefin_Carpet_Low_Pile_R1,Polyolefin_Carpet_Low_Pile_R2,Polyolefin_Carpet_Low_Pile_R3,Mean,Std. Dev.
0.0,13.9,14.0,13.6,13.8,0.2
0.25,15.4,16.7,14.4,15.5,1.1
0.5,16.8,19.2,15.2,17.1,2.0
0.75,19.8,21.6,17.7,19.7,2.0
1.0,22.4,23.3,19.8,21.8,1.8
1.25,25.0,25.1,21.4,23.8,2.1
1.5,26.8,29.6,22.7,26.4,3.4
1.75,29.6,33.4,23.7,28.9,4.9
2.0,33.3,37.2,26.9,32.4,5.2
2.25,36.3,41.2,29.5,35.7,5.9
2.5,39.7,45.0,31.2,38.6,7.0
2.75,42.4,49.4,33.2,41.7,8.1
3.0,45.1,57.3,35.1,45.9,11.1
3.25,49.6,57.2,38.6,48.5,9.4
3.5,53.5,63.1,41.7,52.8,10.7
3.75,57.4,68.4,44.0,56.6,12.2
4.0,61.8,72.4,46.8,60.3,12.9
4.25,64.0,76.4,50.9,63.8,12.8
4.5,68.8,81.8,54.6,68.4,13.6
4.75,73.7,87.8,57.2,72.9,15.3
5.0,78.6,92.3,59.1,76.7,16.7
5.25,79.8,94.8,60.3,78.3,17.3
5.5,85.2,101.4,65.2,83.9,18.1
5.75,90.3,106.3,70.3,89.0,18.0
6.0,96.0,109.8,75.2,93.7,17.4
6.25,99.5,113.1,78.0,96.9,17.7
6.5,105.0,117.3,82.6,101.6,17.6
6.75,108.6,120.9,87.4,105.6,17.0
7.0,115.3,124.4,91.4,110.4,17.1
7.25,117.5,127.5,94.2,113.0,17.0
7.5,123.6,133.0,100.7,119.1,16.6
7.75,126.7,132.4,104.9,121.3,14.5
8.0,132.9,137.2,107.6,125.9,16.0
8.25,137.5,140.8,110.7,129.7,16.5
8.5,140.5,141.2,114.3,132.0,15.3
8.75,144.9,145.3,119.3,136.5,14.9
9.0,148.8,149.4,123.9,140.7,14.6
9.25,154.3,149.5,124.6,142.8,15.9
9.5,158.3,153.5,129.6,147.1,15.4
9.75,160.9,159.9,132.6,151.1,16.1
10.0,166.2,162.7,135.2,154.7,17.0
10.25,168.8,161.6,140.5,157.0,14.7
10.5,170.1,166.1,141.4,159.2,15.6
10.75,171.7,172.7,145.8,163.4,15.2
11.0,179.2,168.6,151.1,166.3,14.2
11.25,183.0,171.9,151.8,168.9,15.8
11.5,183.1,177.6,156.7,172.5,13.9
11.75,188.4,174.7,158.9,174.0,14.8
12.0,189.2,180.7,159.7,176.5,15.2
12.25,191.9,182.2,163.5,179.2,14.4
12.5,196.9,188.3,168.4,184.5,14.6
12.75,200.3,190.1,173.5,188.0,13.5
13.0,205.3,191.3,173.5,190.0,15.9
13.25,205.6,192.9,179.3,192.6,13.1
13.5,215.8,197.7,184.3,199.3,15.8
13.75,214.3,201.9,186.7,201.0,13.9
14.0,218.8,199.3,187.6,201.9,15.8
14.25,225.2,201.4,196.3,207.6,15.5
14.5,225.4,208.5,198.5,210.8,13.6
14.75,235.1,209.3,203.0,215.8,17.0
15.0,235.6,207.3,204.3,215.7,17.3
15.25,235.6,206.3,206.6,216.2,16.8
15.5,241.5,209.1,211.2,220.6,18.2
15.75,249.3,217.0,212.7,226.3,20.0
16.0,248.9,212.0,213.7,224.9,20.8
16.25,255.2,217.3,215.3,229.3,22.5
16.5,255.0,218.2,217.4,230.2,21.5
16.75,261.3,224.3,221.4,235.7,22.3
17.0,269.9,225.2,222.0,239.0,26.8
17.25,270.9,225.5,230.1,242.2,25.0
17.5,277.1,231.8,230.2,246.4,26.6
17.75,275.5,232.9,234.8,247.7,24.1
18.0,284.8,236.6,235.7,252.4,28.1
18.25,283.0,236.5,236.4,252.0,26.9
18.5,282.2,242.1,242.8,255.7,23.0
18.75,286.4,244.0,238.2,256.2,26.3
19.0,292.9,247.0,242.8,260.9,27.8
19.25,298.4,241.8,246.7,262.3,31.4
19.5,307.0,246.6,250.9,268.2,33.7
19.75,306.8,253.0,246.0,268.6,33.2
20.0,313.0,254.1,254.5,273.9,33.9
20.25,320.8,256.3,253.3,276.8,38.2
20.5,317.4,257.6,252.7,275.9,36.1
20.75,319.5,258.1,258.7,278.8,35.3
21.0,328.6,259.1,262.2,283.3,39.3
21.25,324.7,259.8,261.4,282.0,37.0
21.5,332.4,263.9,262.6,286.3,39.9
21.75,328.4,261.6,271.3,287.1,36.1
22.0,334.5,268.4,274.2,292.4,36.6
22.25,340.5,269.0,276.1,295.2,39.4
22.5,336.7,270.3,280.8,295.9,35.7
22.75,340.1,278.9,281.6,300.2,34.6
23.0,352.8,274.5,276.3,301.2,44.7
23.25,343.8,280.0,286.5,303.4,35.1
23.5,348.3,276.3,278.7,301.1,40.9
23.75,353.1,279.4,289.5,307.3,39.9
24.0,352.3,282.9,286.0,307.1,39.2
24.25,361.4,284.1,289.8,311.8,43.1
24.5,363.0,287.1,288.1,312.7,43.6
24.75,365.2,284.3,293.7,314.4,44.3
25.0,356.8,289.1,294.4,313.4,37.7
25.25,366.2,290.0,293.6,316.6,43.0
25.5,375.8,293.9,289.9,319.9,48.4
25.75,369.2,294.8,301.7,321.9,41.1
26.0,370.1,293.7,294.9,319.6,43.8
26.25,377.5,299.9,303.4,327.0,43.8
26.5,373.5,299.2,299.0,323.9,43.0
26.75,376.2,305.5,301.8,327.8,41.9
27.0,379.1,309.6,300.3,329.6,43.1
27.25,393.3,308.0,298.9,333.4,52.1
27.5,387.8,299.8,303.7,330.4,49.7
27.75,376.1,307.9,310.4,331.5,38.7
28.0,394.3,308.5,312.7,338.5,48.4
28.25,395.6,306.0,311.9,337.9,50.1
28.5,398.7,313.2,313.8,341.9,49.2
28.75,407.4,308.9,318.4,344.9,54.3
29.0,398.9,309.8,323.0,343.9,48.1
29.25,402.0,308.1,316.3,342.1,52.0
29.5,408.6,311.8,322.0,347.5,53.2
29.75,408.1,308.8,323.8,346.9,53.5
30.0,410.7,305.4,326.5,347.6,55.7
30.25,407.9,306.8,327.7,347.5,53.4
30.5,411.8,315.5,326.4,351.2,52.7
30.75,422.6,311.0,328.2,353.9,60.1
31.0,420.3,312.3,331.0,354.5,57.7
31.25,414.9,314.0,329.0,352.7,54.5
31.5,424.9,313.4,333.7,357.3,59.4
31.75,424.2,311.9,327.1,354.4,61.0
32.0,426.7,315.0,333.1,358.2,59.9
32.25,421.8,320.2,332.6,358.2,55.4
32.5,423.1,316.9,332.7,357.6,57.3
32.75,420.5,315.3,335.6,357.1,55.8
33.0,425.9,323.3,338.7,362.6,55.3
33.25,438.4,311.2,330.8,360.1,68.5
33.5,433.5,318.8,342.6,365.0,60.5
33.75,427.2,314.0,338.1,359.8,59.6
34.0,438.3,318.1,342.2,366.2,63.6
34.25,434.3,323.9,347.9,368.7,58.1
34.5,435.6,320.1,344.2,366.6,60.9
34.75,430.3,322.9,340.9,364.7,57.5
35.0,427.1,323.9,343.6,364.9,54.8
35.25,442.2,322.1,346.3,370.2,63.5
35.5,432.4,325.4,347.3,368.4,56.6
35.75,445.7,323.7,346.1,371.8,64.9
36.0,429.9,319.7,354.5,368.1,56.3
36.25,444.8,322.2,347.6,371.5,64.7
36.5,445.9,327.9,351.5,375.1,62.4
36.75,441.0,318.7,358.4,372.7,62.4
37.0,438.2,318.0,361.2,372.5,60.9
37.25,436.1,324.4,353.4,371.3,58.0
37.5,435.9,324.4,355.2,371.8,57.5
37.75,444.1,322.6,353.9,373.5,63.1
38.0,445.0,324.9,357.9,376.0,62.1
38.25,451.6,315.5,357.2,374.8,69.7
38.5,439.9,325.0,356.0,373.6,59.5
38.75,433.4,328.6,369.4,377.1,52.8
39.0,453.1,329.3,357.6,380.0,64.9
39.25,445.6,323.3,355.8,374.9,63.4
39.5,449.5,323.0,354.2,375.6,65.9
39.75,439.0,325.1,361.5,375.2,58.2
40.0,445.0,325.0,359.7,376.6,61.8
40.25,440.6,328.2,367.0,378.6,57.1
40.5,438.3,325.2,361.0,374.8,57.8
40.75,444.2,326.5,357.9,376.2,60.9
41.0,436.8,332.0,369.6,379.5,53.1
41.25,442.3,330.1,362.5,378.3,57.7
41.5,452.6,326.1,360.1,379.6,65.5
41.75,435.4,323.1,369.4,376.0,56.5
42.0,445.4,336.2,362.1,381.2,57.1
42.25,451.4,329.5,370.5,383.8,62.0
42.5,441.3,326.3,366.5,378.1,58.4
42.75,441.5,336.0,364.5,380.7,54.5
43.0,441.2,323.7,364.8,376.6,59.6
43.25,448.0,334.8,374.9,385.9,57.4
43.5,433.8,327.5,362.7,374.7,54.1
43.75,445.8,328.2,355.0,376.3,61.7
44.0,447.8,330.7,362.6,380.4,60.5
44.25,433.4,333.0,362.7,376.4,51.6
44.5,438.3,324.2,368.9,377.1,57.5
44.75,447.4,325.3,361.2,377.9,62.8
45.0,430.7,326.9,363.4,373.7,52.7
45.25,432.5,330.6,360.1,374.4,52.4
45.5,431.8,326.9,366.3,375.0,53.0
45.75,431.2,327.8,364.9,374.6,52.3
46.0,441.5,325.4,361.8,376.2,59.4
46.25,456.8,324.6,364.0,381.8,67.8
46.5,438.0,330.4,356.2,374.8,56.2
46.75,435.3,325.9,365.0,375.4,55.5
47.0,437.2,330.3,361.2,376.2,55.0
47.25,437.4,328.0,371.4,379.0,55.1
47.5,430.6,320.6,365.5,372.2,55.3
47.75,431.1,327.7,361.9,373.5,52.7
48.0,427.7,330.6,368.8,375.7,49.0
48.25,431.6,323.6,364.8,373.3,54.5
48.5,443.4,329.0,360.7,377.7,59.1
48.75,431.1,322.3,356.0,369.8,55.7
49.0,434.6,318.5,369.8,374.3,58.2
49.25,429.0,323.4,362.8,371.7,53.4
49.5,426.8,319.5,359.5,368.6,54.2
49.75,423.1,321.3,353.5,366.0,52.0
50.0,433.1,323.7,360.5,372.4,55.7
50.25,437.7,322.0,361.3,373.7,58.8
50.5,422.2,318.1,357.0,365.8,52.6
50.75,423.1,321.0,357.4,367.1,51.7
51.0,420.6,318.3,357.8,365.6,51.6
51.25,413.6,319.8,355.3,362.9,47.4
51.5,426.7,324.3,353.8,368.3,52.7
51.75,417.9,322.5,358.6,366.3,48.1
52.0,422.4,319.6,358.9,367.0,51.9
52.25,420.0,318.4,350.4,362.9,51.9
52.5,425.3,317.2,352.4,365.0,55.1
52.75,406.8,317.4,354.1,359.4,44.9
53.0,418.3,318.5,350.7,362.5,50.9
53.25,410.4,317.0,343.4,357.0,48.2
53.5,414.9,314.1,356.2,361.7,50.6
53.75,417.3,315.5,343.5,358.7,52.6
54.0,411.9,316.8,348.7,359.1,48.4
54.25,407.7,315.1,341.5,354.8,47.7
54.5,407.9,314.7,351.2,357.9,46.9
54.75,414.1,313.2,355.6,361.0,50.7
55.0,406.9,310.3,343.5,353.6,49.1
55.25,401.5,318.7,347.6,355.9,42.0
55.5,403.3,307.7,344.9,352.0,48.2
55.75,393.2,323.2,343.2,353.2,36.1
56.0,403.7,310.7,349.7,354.7,46.7
56.25,400.5,307.9,354.1,354.2,46.3
56.5,396.6,318.9,336.4,350.6,40.8
56.75,398.4,310.3,342.9,350.5,44.5
57.0,397.2,315.7,344.1,352.3,41.4
57.25,383.0,305.0,352.3,346.8,39.3
57.5,384.7,318.5,348.2,350.5,33.1
57.75,392.4,316.6,343.0,350.7,38.5
58.0,396.5,304.8,340.5,347.3,46.2
58.25,389.4,308.7,345.6,347.9,40.4
58.5,388.0,311.0,339.6,346.2,38.9
58.75,388.1,308.1,344.1,346.8,40.0
59.0,395.7,313.3,343.6,350.9,41.7
59.25,389.6,302.0,335.5,342.4,44.2
59.5,385.6,310.7,332.9,343.1,38.5
59.75,384.5,305.0,338.9,342.8,39.9
60.0,393.5,304.0,335.5,344.3,45.4
60.25,380.9,305.7,327.9,338.2,38.6
60.5,384.5,299.1,339.3,341.0,42.7
60.75,396.0,303.0,333.8,344.3,47.4
61.0,381.3,306.1,334.4,340.6,38.0
61.25,377.7,300.4,331.1,336.4,38.9
61.5,374.0,301.4,332.8,336.1,36.4
61.75,378.2,305.1,331.8,338.4,37.0
62.0,385.2,300.8,323.7,336.6,43.6
62.25,370.4,298.5,322.9,330.6,36.6
62.5,376.5,299.2,317.5,331.1,40.4
62.75,371.3,297.4,321.9,330.2,37.6
63.0,375.2,297.2,320.2,330.9,40.1
63.25,372.4,300.9,323.5,332.3,36.6
63.5,361.4,297.5,324.3,327.7,32.1
63.75,368.1,294.9,317.1,326.7,37.5
64.0,368.9,297.4,313.2,326.5,37.6
64.25,362.7,298.0,323.9,328.2,32.6
64.5,363.1,289.1,318.0,323.4,37.3
64.75,362.1,295.5,319.0,325.5,33.8
65.0,354.4,296.9,311.9,321.0,29.8
65.25,352.6,293.9,312.4,319.6,30.0
65.5,354.3,294.3,314.1,320.9,30.6
65.75,352.1,287.9,309.7,316.6,32.6
66.0,351.7,288.7,307.8,316.1,32.3
66.25,347.7,291.4,311.3,316.8,28.6
66.5,352.1,286.2,305.3,314.5,33.9
66.75,343.9,283.1,307.6,311.5,30.6
67.0,347.7,289.3,308.6,315.2,29.8
67.25,342.7,281.9,300.3,308.3,31.2
67.5,339.7,288.8,303.4,310.7,26.2
67.75,340.4,281.1,307.1,309.5,29.7
68.0,338.5,280.8,301.9,307.1,29.2
68.25,335.6,281.9,301.6,306.4,27.2
68.5,334.3,281.6,300.4,305.4,26.7
68.75,331.4,273.5,294.7,299.9,29.3
69.0,330.5,275.4,292.5,299.5,28.2
69.25,330.0,276.1,293.2,299.8,27.5
69.5,330.0,283.5,295.4,303.0,24.2
69.75,325.5,272.3,291.9,296.6,26.9
70.0,315.4,275.9,291.4,294.2,19.9
70.25,323.7,273.0,290.0,295.6,25.8
70.5,316.3,276.3,285.2,292.6,21.0
70.75,317.8,271.2,291.2,293.4,23.4
