Sample ID:	C:\Users\MCC\Documents\MCC Data\ULINE_CB\ULINE_CB_MCC_N2_30K_231110_R2.txt
Sample Weight (mg):	4.01
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\Users\MCC\Desktop\UMD MCC\MCC\Calibration Files\Coefficients\Coeff_231026_30K.txt
T Correction Coefficients:	0	1.0291	0
Time Shift (s):	8.5
*
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	End Flow (cc/min)	Oxygen (%)	HRR (W/g)
0.000	75.189	80.011	19.990	100.340	20.269	-0.269
0.500	75.235	80.005	19.987	100.340	20.267	-0.101
1.000	75.258	80.010	19.988	100.339	20.266	-0.070
1.500	75.297	80.005	19.987	100.338	20.268	-0.180
2.000	75.341	80.012	19.990	100.336	20.268	-0.207
2.500	75.378	80.007	19.988	100.339	20.267	-0.163
3.000	75.422	80.012	19.989	100.336	20.268	-0.182
3.500	75.472	80.013	19.992	100.338	20.267	-0.146
4.000	75.507	80.011	19.989	100.340	20.269	-0.250
4.500	75.548	80.006	19.988	100.341	20.268	-0.226
5.000	75.578	80.009	19.989	100.336	20.271	-0.400
5.500	75.624	80.007	19.988	100.337	20.271	-0.410
6.000	75.661	80.016	19.992	100.337	20.270	-0.329
6.500	75.693	80.008	19.989	100.339	20.268	-0.234
7.000	75.725	80.003	19.987	100.336	20.269	-0.297
7.500	75.790	80.016	19.991	100.332	20.270	-0.348
8.000	75.809	80.007	19.988	100.333	20.270	-0.376
8.500	75.861	80.014	19.992	100.327	20.269	-0.313
9.000	75.900	80.010	19.990	100.319	20.268	-0.182
9.500	75.947	80.004	19.987	100.307	20.269	-0.296
10.000	75.997	80.006	19.989	100.295	20.271	-0.470
10.500	76.016	80.010	19.989	100.271	20.272	-0.505
11.000	76.074	80.010	19.990	100.247	20.273	-0.631
11.500	76.098	80.003	19.988	100.223	20.275	-0.735
12.000	76.144	80.012	19.990	100.208	20.275	-0.775
12.500	76.184	80.014	19.993	100.205	20.277	-0.926
