#EXPORTTYPE,DATA ALL
#FILE,OSB_test(grind1)_30K_4.ngb-ds3
#FORMAT,NETZSCH5
#FTYPE,ANSI
#IDENTITY,OSB
#DECIMAL,POINT
#SEPARATOR,SEMICOLON
#MTYPE,DSC
#INSTRUMENT,NETZSCH STA 449F3
#PROJECT,NIJ_2019
#DATE/TIME,08.04.2021 12
#CORR. FILE,Correction_30K (04-08).ngb-bs3
#TEMPCAL,29-01-2021 10
#SENSITIVITY,29-01-2021 10
#LABORATORY,UL FSRI
#OPERATOR,Mark
#REMARK,236.93 mg crucible mass
#SAMPLE,OSB
#SAMPLE MASS /mg,2.76
#MATERIAL,OSB
#REFERENCE,
#REFERENCE MASS /mg,0
#TYPE OF CRUCIBLE,"PtRh20 0.19 ml, with lid"
#SAMPLE CRUCIBLE MASS /mg,0
#REFERENCE CRUCIBLE MASS /mg,0
#DSC RANGE /µV,5000
#TG RANGE /mg,35000
#TAU-R,---
#CORR. CODE,020
#EXO,-1
#RANGE,50°C/30.0(K/min)/750°C
#SEGMENT,S2/3
#SEG. 2,50°C/30.0(K/min)/750°C
