Names,Black_PMMA_R1,Black_PMMA_R2,Black_PMMA_R3,Black_PMMA_R4,Mean,Std. Dev.
106,26.1,,,80.8,53.4,38.6
107,28.2,,,92.4,60.3,45.4
108,30.6,,,103.3,67.0,51.4
109,39.1,,,113.1,76.1,52.3
110,46.3,,33.9,119.1,66.4,46.0
111,52.6,19.1,44.1,124.6,60.1,45.3
112,59.0,21.7,54.0,135.7,67.6,48.3
113,70.6,33.6,61.6,148.0,78.5,49.0
114,78.0,43.6,68.8,153.3,85.9,47.2
115,88.9,54.0,75.4,165.0,95.8,48.3
116,95.6,60.9,80.0,174.8,102.9,50.0
117,103.1,80.7,93.2,182.6,114.9,46.1
118,119.6,96.7,103.6,199.4,129.8,47.4
119,132.4,111.2,115.4,205.6,141.2,44.0
120,140.7,132.5,122.6,214.1,152.5,41.8
121,155.9,132.2,140.0,227.0,163.7,43.3
122,173.8,148.9,152.8,233.2,177.2,38.9
123,192.1,165.8,162.2,253.9,193.5,42.4
124,203.9,175.6,170.3,262.3,203.0,42.2
125,220.0,187.8,184.3,265.9,214.5,37.8
126,234.7,201.1,201.9,285.2,230.7,39.6
127,254.0,215.7,218.3,290.3,244.6,35.1
128,268.9,231.7,233.5,301.3,258.8,33.1
129,283.3,251.2,245.1,307.9,271.9,29.3
130,293.9,253.8,267.9,325.3,285.2,31.5
131,312.9,273.9,279.1,336.4,300.6,29.5
132,334.3,281.0,282.1,346.4,311.0,34.3
133,344.1,299.4,293.7,353.3,322.6,30.4
134,355.1,315.7,320.5,365.3,339.1,24.7
135,365.4,319.7,328.2,384.2,349.4,30.5
136,381.2,340.0,345.6,376.3,360.8,20.9
137,401.5,362.5,354.3,395.4,378.4,23.5
138,393.5,356.2,368.0,400.6,379.6,20.9
139,413.8,390.2,385.2,397.2,396.6,12.5
140,436.8,397.5,372.4,424.5,407.8,28.7
141,445.9,416.4,388.1,423.5,418.5,23.8
142,451.3,434.8,404.5,430.8,430.3,19.4
143,462.8,434.0,418.5,440.2,438.9,18.4
144,473.2,451.2,428.2,440.4,448.3,19.1
145,491.6,458.1,419.4,440.3,452.4,30.6
146,489.9,471.7,432.4,467.1,465.3,24.0
147,495.2,483.7,430.1,467.5,469.1,28.4
148,513.5,503.8,442.2,459.6,479.8,34.3
149,529.3,510.4,453.4,481.3,493.6,33.3
150,530.7,506.0,471.0,487.0,498.7,25.7
151,534.7,522.3,465.3,486.4,502.2,32.0
152,541.7,526.4,476.0,500.4,511.1,29.0
153,570.2,532.0,481.7,502.3,521.5,38.5
154,557.1,539.7,493.2,505.9,524.0,29.5
155,567.6,552.2,507.8,509.3,534.2,30.3
156,564.6,555.2,506.6,522.4,537.2,27.3
157,576.9,567.5,509.9,521.1,543.8,33.3
158,598.9,563.0,516.0,522.7,550.1,38.5
159,617.6,584.7,545.1,525.8,568.3,41.0
160,598.5,571.6,529.9,533.3,558.3,32.8
161,616.2,588.3,551.8,547.4,575.9,32.5
162,625.9,587.2,549.3,547.6,577.5,37.1
163,617.4,575.4,548.0,553.5,573.6,31.5
164,601.9,615.5,541.9,535.9,573.8,40.8
165,620.1,601.0,552.3,545.2,579.6,36.6
166,620.3,628.1,563.0,573.1,596.1,32.8
167,611.1,591.8,580.1,562.6,586.4,20.4
168,635.6,609.3,587.7,562.3,598.7,31.2
169,657.9,624.4,579.7,569.6,607.9,41.0
170,661.3,620.6,597.0,570.3,612.3,38.6
171,626.8,617.1,597.6,573.8,603.8,23.4
172,649.7,628.6,607.1,559.5,611.2,38.6
173,650.3,628.1,591.9,572.7,610.7,35.0
174,655.0,635.0,601.2,602.4,623.4,26.3
175,648.8,655.6,614.0,583.1,625.4,33.5
176,641.1,649.2,611.6,592.6,623.6,26.2
177,637.9,653.9,611.0,576.6,619.8,33.8
178,658.2,651.3,621.2,589.2,630.0,31.6
179,658.5,652.6,635.5,593.9,635.1,29.2
180,660.8,652.7,613.8,605.0,633.1,27.8
181,671.0,672.6,625.3,571.8,635.2,47.6
182,655.6,658.6,637.3,602.1,638.4,25.9
183,669.5,679.1,612.7,610.5,643.0,36.4
184,676.4,645.7,635.5,605.1,640.7,29.4
185,665.6,679.9,626.8,606.9,644.8,33.8
186,662.9,666.4,629.3,635.9,648.6,18.8
187,667.1,710.3,636.6,619.9,658.5,39.7
188,702.0,661.0,652.4,595.8,652.8,43.7
189,670.5,682.6,640.0,595.8,647.2,38.7
190,709.7,695.6,638.5,596.1,660.0,52.5
191,685.4,702.3,658.1,624.6,667.6,34.0
192,708.7,662.9,650.4,620.5,660.6,36.6
193,699.8,713.5,654.3,596.5,666.0,52.8
194,717.3,677.0,667.4,624.7,671.6,38.0
195,702.3,702.0,670.2,613.6,672.0,41.7
196,700.5,710.1,659.9,634.5,676.3,35.3
197,700.0,691.4,675.9,625.4,673.2,33.4
198,691.1,693.8,657.8,628.7,667.9,30.8
199,705.3,705.3,661.9,630.5,675.7,36.5
200,717.0,703.9,679.8,617.7,679.6,44.0
201,701.3,723.1,663.2,652.7,685.1,32.9
202,704.3,715.3,682.9,643.9,686.6,31.5
203,726.6,720.4,691.1,643.0,695.3,38.1
204,739.9,724.2,663.6,670.6,699.6,38.1
205,746.1,700.3,683.6,643.6,693.4,42.4
206,698.5,719.7,684.6,641.4,686.1,33.1
207,709.4,708.9,664.7,633.0,679.0,37.2
208,700.9,707.1,679.7,668.2,689.0,18.1
209,736.6,724.9,687.5,636.2,696.3,45.2
210,716.0,730.7,692.3,649.5,697.1,35.5
211,720.6,707.7,674.6,637.3,685.1,37.3
212,728.1,721.6,687.0,665.7,700.6,29.4
213,729.3,706.4,706.6,669.1,702.8,25.0
214,742.0,687.1,691.8,656.8,694.4,35.3
215,722.4,734.0,712.9,653.6,705.7,35.8
216,755.0,732.0,702.8,641.6,707.9,49.1
217,721.3,719.1,693.8,655.1,697.3,30.8
218,703.4,718.9,681.5,665.5,692.3,23.5
219,747.9,741.9,698.6,663.0,712.8,39.8
220,705.1,725.7,681.0,658.2,692.5,29.2
221,712.4,729.9,692.8,656.1,697.8,31.7
222,729.0,726.7,689.9,669.3,703.7,29.1
223,712.4,738.5,687.2,672.2,702.6,29.1
224,760.0,731.6,679.1,664.0,708.7,44.8
225,724.5,739.7,700.5,660.8,706.4,34.4
226,747.9,743.0,705.1,641.1,709.3,49.3
227,734.0,728.6,709.3,662.7,708.6,32.4
228,731.4,721.1,693.2,656.8,700.6,33.4
229,735.8,757.1,705.5,665.6,716.0,39.7
230,764.1,727.3,697.9,652.4,710.5,47.2
231,746.5,729.4,684.3,674.7,708.7,34.6
232,738.4,733.4,695.2,658.2,706.3,37.4
233,750.8,740.4,689.0,659.9,710.0,43.0
234,757.2,739.1,687.6,686.6,717.6,36.0
235,746.0,728.0,700.9,686.4,715.3,26.7
236,758.2,756.4,676.7,677.3,717.1,46.4
237,738.2,737.5,690.8,672.4,709.7,33.4
238,748.7,734.8,706.1,677.8,716.9,31.5
239,737.2,743.2,691.6,649.0,705.3,44.0
240,763.1,735.6,695.7,683.3,719.4,36.7
241,769.4,759.1,688.8,671.8,722.3,49.2
242,746.6,730.6,699.6,701.8,719.6,22.8
243,733.3,742.7,689.2,708.2,718.3,24.3
244,756.3,765.0,689.3,707.9,729.6,36.8
245,750.9,757.8,694.1,699.7,725.6,33.4
246,750.9,742.0,697.5,716.2,726.7,24.4
247,763.5,758.8,692.2,717.8,733.1,34.1
248,773.6,742.5,723.9,675.2,728.8,41.2
249,726.9,746.9,736.6,698.5,727.2,20.8
250,754.7,707.3,697.6,730.0,722.4,25.5
251,762.0,742.7,698.7,694.0,724.3,33.3
252,762.0,753.7,735.3,690.6,735.4,31.9
253,769.6,749.1,697.3,717.9,733.5,32.1
254,768.5,742.4,707.4,668.9,721.8,43.3
255,740.1,744.6,717.1,685.0,721.7,27.3
256,751.8,771.4,713.2,701.9,734.6,32.5
257,739.7,728.1,722.4,727.4,729.4,7.3
258,742.2,754.8,710.1,675.4,720.6,35.5
259,777.3,743.8,712.9,704.8,734.7,33.0
260,747.4,762.7,704.8,742.8,739.4,24.6
261,764.4,763.7,713.6,690.1,732.9,37.2
262,762.0,760.5,710.5,711.3,736.1,29.1
263,763.7,737.0,735.7,709.8,736.6,22.0
264,759.8,765.0,739.7,711.2,743.9,24.4
265,766.8,774.9,720.7,702.2,741.2,35.3
266,752.6,775.9,721.5,694.3,736.1,35.7
267,747.7,745.8,722.7,706.5,730.7,19.7
268,788.0,760.4,723.8,708.1,745.1,36.0
269,743.3,713.4,716.1,691.0,715.9,21.4
270,774.1,754.5,736.9,719.0,746.1,23.6
271,755.0,739.3,713.2,703.9,727.9,23.5
272,749.4,760.5,726.4,706.2,735.6,24.2
273,765.3,756.0,740.8,716.6,744.7,21.3
274,758.8,753.2,730.7,708.6,737.8,23.0
275,761.4,739.1,717.5,707.6,731.4,23.9
276,791.9,738.4,699.0,721.6,737.7,39.6
