LABORATORY,FSRI 
TEST IDENT,Black_PMMA_HF75_4
OPERATOR,Marino
MATERIAL,black PMMA
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.0397690013051033
SPEC HOLDER DIFF,-566
SPECIMEN MASS,102.18000030517578
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1615
TIME TO IGN,14.75
END OF TEST SCAN,1135
END OF TEST TIME,283.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.29 x 101.18 x 8.40 mm
POST TEST CMT,Ignition time was delay by 1 to 2 seconds due to human error.
