Time after Ignition,XPS_Foam_Board_R1,XPS_Foam_Board_R2,XPS_Foam_Board_R3,Mean,Std. Dev.
0.0,54.43024016655795,29.533235022200717,50.78960634114443,44.91769384330103,13.447108744123575
0.25,63.06526572152988,34.68460609608095,58.46739100458,52.072420940730275,15.232767042860184
0.5,70.30166500199921,47.92847193770718,73.04265812807036,63.75759835592559,13.77676279835895
0.75,82.60041129879924,61.35219729204281,86.13304977261835,76.6952194544868,13.404332525516232
1.0,94.81034976647736,71.39645846387575,96.7483539659878,87.65172073211363,14.110780581747731
1.25,106.17183881991362,81.29462537285492,105.84692550140902,97.77112989805919,14.269996257635908
1.5,113.28283336118004,89.40349551067237,121.28439855037018,107.9902424740742,16.586338757554667
1.75,124.59066513606297,105.34328000417129,134.27422820371746,121.40272444798389,14.726580231141185
2.0,130.7487236674384,118.22876215879236,142.2830756520141,130.42018715941495,12.030521667216911
2.25,141.78649300633717,133.81520548616632,153.8954515808169,143.1657166911068,10.110923018444197
2.5,153.47285376036848,136.96970854167873,165.19789287372834,151.88015172525851,14.18133006810452
2.75,163.9075660355811,149.03439798540492,174.92776111655547,162.62324171251382,12.99437110003879
3.0,169.28722667836405,162.8759001506035,181.67225730714568,171.2784613787044,9.555078352004928
3.25,184.5055769967138,177.61374262253986,193.47344069051204,185.1975867699219,7.952462753541932
3.5,192.75953716310505,185.3069368365334,202.19616915141296,193.42088105035046,8.464016413582307
3.75,201.11529795737906,195.63598647999802,210.25557372460494,202.33561938732734,7.385795224277586
4.0,212.32285340638649,201.85960514394353,214.61450237113087,209.59898697382027,6.79973801523805
4.25,226.52641329578498,215.73433885825534,221.27393939733437,221.17823051712492,5.396673772668528
4.5,241.33234492052222,224.7652398488713,228.5605720562948,231.55271894189613,8.679398012105485
4.75,243.23942868434872,236.64712680831704,237.15182384171524,239.01279311146035,3.6690620018452136
5.0,249.87406361253963,239.69832272135574,237.18371044639818,242.25203226009785,6.719549105151767
5.25,267.55902611390246,246.9595068087093,244.6984711040147,253.07233467554215,12.596675840759435
5.5,278.2142668745494,256.65683620536316,245.70336001987974,260.19148769993075,16.541163411903312
5.75,293.7776319111605,263.1005987843378,255.99848252361568,270.95890440637135,20.078116384476143
6.0,305.74855025274206,265.40296716185793,257.44956757699055,276.20036166386353,25.89663545524962
6.25,318.3045600671113,282.73793195771566,255.52975993143716,285.5240839854214,31.480007391351982
6.5,344.8055113079841,285.6372246098768,261.07751264771207,297.1734161885243,43.03960068376648
6.75,356.78980694420335,306.0774782299661,266.99591456224374,309.9543999121377,45.02231300780764
7.0,366.72823033759914,307.40194581987924,278.38306561555714,317.5044139243452,45.03067764083167
7.25,382.0703722854903,317.4152769985912,273.5256119832756,324.33708708911905,54.60242520679196
7.5,401.4887267590748,332.2663803609347,282.3395671909585,338.69822477032267,59.834413369958256
7.75,434.2428755890544,337.30945872837265,294.8168942229415,355.4564095134562,71.46247222894753
8.0,447.6414618521573,342.0111132252613,315.57937089045146,368.41064865595666,69.87703893634786
8.25,480.7088927509924,360.2433827902769,314.347464827638,385.09991345630243,85.92098994272389
8.5,470.5823583957049,375.8534245213765,329.0292383072481,391.8216737414432,72.11490961694321
8.75,487.25879135460355,396.4055945587805,349.8135316517498,411.1593058550446,69.90031367208847
9.0,544.0497945703694,421.07828354354336,373.03262035247224,446.0535661554616,88.20171214623636
9.25,553.614242051951,411.7895119212054,387.1991819640058,450.8676453123874,89.82660206209998
9.5,556.351577452756,421.02811243012616,402.28731057824467,459.889000153709,84.06292897522573
9.75,567.5701933932844,431.73464795894085,425.1661351380582,474.8236588300945,80.3879723296978
10.0,588.9086251359778,458.8407636769678,433.6593128249333,493.80290054595963,83.32076874403911
10.25,593.5923655843691,488.59498222764074,453.5246415013707,511.9039964377935,72.88500833528504
10.5,625.8096519737461,483.6618892603563,466.93689625463225,525.4694791629116,87.29859138348961
10.75,642.8052148513308,506.9987700181643,507.5888167473035,552.4642672055995,78.23811190802223
11.0,663.1797007795884,523.1433712174374,521.8264765443602,569.3831828471288,81.23283594142012
11.25,666.9468596800647,562.606582108631,557.603146864938,595.7188628845446,61.73596388399898
11.5,689.5029649048622,582.7128028467421,558.9581911483448,610.3913196333164,69.5345936021315
11.75,718.2609596407998,583.1173954325418,608.3643974713978,636.580917514913,71.854538751929
12.0,730.4982625007095,611.0087529666125,628.6747417954886,656.7272524209369,64.49529623521342
12.25,767.1361363486994,654.1437047552776,648.1308249939694,689.8035553659821,67.03942677143341
12.5,761.0564793189633,692.7450126828336,684.6242456223466,712.8085792080478,41.98072906998316
12.75,802.8542601583827,682.254386408876,692.8156388522226,725.9747618064938,66.78868140202792
13.0,845.1991072268277,769.9104182287033,728.6575141073008,781.2556798542773,59.09333255726806
13.25,860.1817867668298,759.4098927864209,798.0949703734361,805.8955499755624,50.8368019814044
13.5,872.1422385485153,877.7701013695546,808.6614067772006,852.8579155650901,38.378597574189826
13.75,943.0000736340338,802.6687748884254,873.5782999880163,873.0823828368252,70.16696375270152
14.0,974.9759393216044,858.22365123371,885.3782126036532,906.1926010529892,61.09585311892749
14.25,963.5016198972535,933.2878652065051,907.1293781166262,934.6396210734616,28.21042083674513
14.5,1003.3586399937075,963.2604147150099,979.0663473398765,981.895134016198,20.198228713686635
14.75,1021.7821504758414,1027.08413722144,1025.303209442901,1024.723165713394,2.6981667681466655
15.0,1061.2378741497564,1026.7898322174121,1136.1302498071732,1074.7193187247806,55.9029850772561
15.25,1116.1719069328092,1019.814005119742,1065.2373844244607,1067.074432159004,48.205211012279754
15.5,1023.8010910849014,1171.5486546338004,1003.9623492778668,1066.4373649988563,91.56790554371327
15.75,1147.0394007188522,1020.3423051096908,1080.6990313048866,1082.6935790444766,63.372093025742636
16.0,1075.082018291413,1215.307557791367,1173.8656787679106,1154.7517516168969,72.0403160762359
16.25,1149.3065494914879,1170.5746978266777,1166.0761219602055,1161.985789759457,11.208552383616235
16.5,1249.2757661472515,1200.8216241500222,1201.8678431591138,1217.3217444854624,27.677938305179193
16.75,1098.8554876331737,1206.6759979851597,1246.5159639569886,1184.015816525107,76.39382785864217
17.0,1215.0069697604122,1282.140448476552,1271.4993016044687,1256.2155732804774,36.08213207037206
17.25,1212.4591712035335,1306.2739672475473,1244.584600316733,1254.4392462559379,47.677452995470404
17.5,1211.5387124731494,1315.0849265090637,1279.5010797044276,1268.7082395622137,52.61006233644268
17.75,1199.8652538455851,1350.0652231429085,1426.0165629329524,1325.3156799738153,115.08913313511223
18.0,1165.7008181343178,1409.8363108754531,1346.2368873653502,1307.2580054583739,126.6493175268929
18.25,1227.3459257265954,1370.163416704015,1302.336642046227,1299.9486614922791,71.43868539255082
18.5,1244.9681041712718,1424.6972012978022,1455.5764125331032,1375.0805726673925,113.73355821939305
18.75,1325.3317453113366,1346.4786997127849,1355.4417178774324,1342.4173876338514,15.460378515244377
19.0,1223.2008034325822,1390.4251453838704,1431.744581068629,1348.456843295027,110.42477341087701
19.25,1248.4441738281525,1443.6278591640275,1579.5422753087182,1423.8714361002994,166.43084266509467
19.5,1203.8124008894272,1374.0015516170602,1498.429623038756,1358.7478585150811,147.89974057341607
19.75,1247.804736529816,1408.734999298451,1410.55303665814,1355.6975908288023,93.44237433598862
20.0,1247.3898280194492,1399.6567486383508,1469.50554942761,1372.18404202847,113.5777734881318
20.25,1220.367573834525,1506.133649393704,1447.5460576357975,1391.349093621342,150.94415046120562
20.5,1227.1927142983584,1404.4535097200192,1405.9163401256287,1345.854188048002,102.76645358543287
20.75,1238.4488244981414,1526.4710566219717,1532.2067776008214,1432.3755529069783,167.9699574843753
21.0,1207.321864472479,1484.54251922983,1442.541000810529,1378.135128170946,149.41188098298355
21.25,1290.2132674509085,1456.2882061735233,1456.5153421966675,1401.0056052737,95.9490463103875
21.5,1156.6716461895276,1474.6617852338939,1469.6020291815448,1366.978486868322,182.14863631125328
21.75,1231.839800957823,1455.5181330815276,1424.19003344723,1370.5159891621936,121.11431103649406
22.0,1135.5628542000672,1434.1358500145177,1477.0199459955732,1348.9062167367192,186.00081767525143
22.25,1196.2952533573086,1456.9806182803582,1456.98780756308,1370.0878930669157,150.5088410222017
22.5,1156.8454848030033,1472.1477872500957,1390.6743541298388,1339.8892087276458,163.6711145170425
22.75,1161.6956776152165,1452.0061299178853,1425.172214215298,1346.2913405827999,160.42656839755264
23.0,1128.2265488792852,1425.4718964316082,1424.6580617900697,1326.1188357003211,171.3802306835601
23.25,1115.2662710254683,1448.307804746437,1356.9610170481426,1306.845030940016,172.08391802692145
23.5,1115.1236045718033,1417.4292815242554,1340.9282047871723,1291.1603636277434,157.17763546278672
23.75,1120.947815777447,1339.838729040323,1279.9097969482646,1246.8987805886782,113.11765281371265
24.0,1113.226197120747,1326.0940561205728,1296.9674209233672,1245.4292247215624,115.41369329327533
24.25,1023.6775504229045,1297.8907232911022,1256.5225228639201,1192.6969321926424,147.82927843297537
24.5,1059.6514675183514,1269.4885890885596,1245.3374432495164,1191.4924999521425,114.8144713711675
24.75,1045.3815890223705,1232.4147016005707,1226.0810829634581,1167.9591245288,106.20248509042783
25.0,1019.1851665285843,1211.1066438382827,1187.1229933114062,1139.1382678927578,104.57228967710127
25.25,1010.3464603729439,1171.9615967376142,1141.2080165677635,1107.8386912261071,85.81956059582643
25.5,994.0212280719842,1166.917858556535,1136.1666357550869,1099.0352407945354,92.23538679387204
25.75,957.8928359590328,1143.8851681601857,1137.829639311718,1079.8692144769789,105.67802536323995
