Time after Ignition,XPS_Foam_Board_R1,XPS_Foam_Board_R2,XPS_Foam_Board_R3,Mean,Std. Dev.
0.0,20.5,35.7,44.7,33.6,12.2
0.25,27.6,41.5,50.5,39.9,11.5
0.5,34.5,46.4,62.3,47.8,14.0
0.75,39.5,58.3,73.6,57.1,17.1
1.0,50.6,68.4,85.3,68.1,17.4
1.25,59.5,75.7,93.9,76.4,17.2
1.5,67.1,84.9,99.4,83.8,16.2
1.75,76.0,97.0,107.6,93.6,16.1
2.0,88.6,108.9,119.5,105.7,15.7
2.25,98.9,116.2,128.4,114.5,14.8
2.5,108.9,128.6,137.3,124.9,14.6
2.75,121.0,136.0,137.2,131.4,9.0
3.0,126.5,145.8,145.1,139.1,10.9
3.25,133.3,159.5,154.6,149.1,13.9
3.5,149.1,168.7,163.7,160.5,10.2
3.75,157.6,177.2,167.7,167.5,9.8
4.0,161.3,179.8,173.8,171.6,9.4
4.25,174.0,186.8,182.8,181.2,6.5
4.5,179.7,193.6,200.8,191.4,10.7
4.75,185.4,199.1,201.2,195.2,8.6
5.0,191.9,208.4,207.6,202.6,9.3
5.25,203.8,218.4,210.2,210.8,7.3
5.5,211.4,220.5,214.9,215.6,4.6
5.75,219.0,230.7,220.8,223.5,6.2
6.0,226.7,234.3,226.5,229.2,4.4
6.25,233.0,241.6,232.9,235.8,5.0
6.5,236.8,244.6,242.7,241.4,4.1
6.75,238.3,243.7,249.9,244.0,5.8
7.0,248.2,260.3,251.9,253.5,6.2
7.25,260.2,264.6,260.7,261.9,2.4
7.5,263.5,271.1,262.3,265.6,4.8
7.75,270.4,277.0,274.8,274.1,3.4
8.0,281.5,301.6,281.5,288.2,11.6
8.25,292.7,307.7,289.6,296.6,9.7
8.5,302.8,315.0,291.5,303.1,11.8
8.75,307.7,327.1,300.1,311.6,13.9
9.0,315.1,344.6,305.3,321.7,20.5
9.25,331.4,360.7,305.0,332.4,27.9
9.5,335.1,375.4,322.3,344.3,27.7
9.75,362.0,391.3,321.5,358.3,35.1
10.0,364.0,386.9,328.9,359.9,29.2
10.25,376.4,402.4,337.0,371.9,32.9
10.5,378.6,412.8,342.9,378.1,35.0
10.75,405.0,444.5,359.5,403.0,42.6
11.0,414.4,476.1,362.4,417.6,56.9
11.25,424.8,478.0,363.6,422.1,57.3
11.5,441.6,503.4,374.6,439.9,64.4
11.75,439.5,497.2,392.0,442.9,52.7
12.0,461.8,543.1,401.3,468.7,71.1
12.25,463.9,559.0,409.9,477.6,75.5
12.5,490.4,543.9,432.7,489.0,55.6
12.75,490.3,561.2,444.3,498.6,58.9
13.0,498.1,594.4,476.3,522.9,62.9
13.25,518.1,619.5,479.0,538.9,72.5
13.5,545.2,650.6,501.1,565.6,76.8
13.75,539.5,687.9,501.3,576.2,98.5
14.0,581.6,681.8,522.2,595.2,80.6
14.25,594.2,726.4,554.6,625.1,90.0
14.5,594.0,687.2,551.8,611.0,69.2
14.75,619.8,777.3,577.7,658.3,105.2
15.0,655.7,763.8,586.2,668.6,89.5
15.25,660.5,768.6,625.6,684.9,74.5
15.5,672.4,810.0,611.4,697.9,101.7
15.75,695.7,833.1,619.4,716.1,108.3
16.0,750.5,796.4,678.3,741.7,59.5
16.25,710.8,900.1,676.4,762.5,120.5
16.5,746.3,860.0,693.2,766.5,85.2
16.75,756.2,884.7,697.6,779.5,95.7
17.0,803.1,891.1,707.0,800.4,92.0
17.25,823.4,909.9,718.2,817.2,96.0
17.5,808.2,939.6,725.8,824.5,107.8
17.75,807.0,926.1,748.4,827.2,90.6
18.0,832.1,945.0,767.2,848.1,90.0
18.25,841.5,1006.5,800.7,882.9,109.0
18.5,853.3,956.0,768.9,859.4,93.7
18.75,845.0,971.2,814.9,877.1,82.9
19.0,865.9,1008.2,783.5,885.9,113.7
19.25,876.0,965.7,782.4,874.7,91.6
19.5,890.3,1019.2,830.1,913.2,96.6
19.75,891.4,1039.6,798.9,910.0,121.4
20.0,883.4,980.3,869.7,911.2,60.3
20.25,861.4,1050.0,848.9,920.1,112.6
20.5,897.4,1021.7,892.5,937.2,73.3
20.75,934.1,1031.1,862.3,942.5,84.7
21.0,956.9,984.4,902.1,947.8,41.9
21.25,889.5,1047.0,891.1,942.5,90.5
21.5,930.5,1055.4,879.9,955.3,90.3
21.75,932.3,1018.8,933.4,961.5,49.6
22.0,923.2,1035.6,946.1,968.3,59.4
22.25,921.8,967.4,887.7,925.7,40.0
22.5,935.1,1007.2,920.8,954.3,46.3
22.75,975.6,1017.7,952.4,981.9,33.1
23.0,928.8,988.1,931.1,949.3,33.6
23.25,969.3,963.3,963.8,965.5,3.3
23.5,924.9,990.3,901.1,938.8,46.2
23.75,937.3,961.6,937.7,945.6,13.9
24.0,965.3,947.2,964.1,958.9,10.1
24.25,930.2,959.2,933.7,941.0,15.8
24.5,958.5,959.3,946.6,954.8,7.2
24.75,902.2,935.4,939.1,925.6,20.3
25.0,919.3,908.8,930.8,919.6,11.0
25.25,964.2,909.4,954.7,942.8,29.3
25.5,946.1,907.6,998.7,950.8,45.7
25.75,936.4,884.2,919.8,913.4,26.7
26.0,916.0,879.4,945.8,913.7,33.3
26.25,936.3,864.4,922.7,907.8,38.2
26.5,914.4,846.6,893.9,885.0,34.8
26.75,882.9,852.4,886.3,873.9,18.7
27.0,924.6,832.7,896.2,884.5,47.0
27.25,909.4,836.1,874.8,873.4,36.7
27.5,902.5,816.0,876.9,865.1,44.5
27.75,895.5,813.6,858.9,856.0,41.1
28.0,884.2,794.0,855.7,844.6,46.1
28.25,870.8,785.9,853.8,836.8,44.9
28.5,867.1,770.2,845.6,827.6,50.9
28.75,850.3,738.5,818.9,802.6,57.7
29.0,830.5,746.8,816.7,798.0,44.9
29.25,824.1,741.6,817.6,794.4,45.8
29.5,828.3,712.8,806.2,782.5,61.3
29.75,822.3,677.3,839.2,779.6,89.0
30.0,800.4,690.8,759.4,750.2,55.4
30.25,776.7,672.3,791.4,746.8,65.0
30.5,767.7,656.9,793.4,739.3,72.5
30.75,777.9,644.0,746.1,722.6,70.0
31.0,762.8,624.6,742.2,709.9,74.6
31.25,744.6,618.3,742.0,701.6,72.2
31.5,736.9,608.9,725.6,690.4,70.9
31.75,707.8,596.0,717.2,673.7,67.4
32.0,698.2,576.2,706.1,660.2,72.8
32.25,681.7,573.2,710.4,655.1,72.4
32.5,681.1,576.0,697.7,651.6,66.0
32.75,649.6,545.0,665.8,620.1,65.6
33.0,638.2,540.3,675.3,617.9,69.7
33.25,615.7,516.9,651.9,594.9,69.9
33.5,603.0,516.3,642.3,587.2,64.5
33.75,595.4,513.1,614.1,574.2,53.8
34.0,585.6,500.9,619.8,568.7,61.2
34.25,553.6,488.3,596.4,546.1,54.5
34.5,555.6,477.0,588.7,540.4,57.4
34.75,534.6,459.1,570.8,521.5,57.0
35.0,522.9,456.9,560.8,513.5,52.6
35.25,511.5,450.4,549.2,503.7,49.8
35.5,494.1,440.0,542.6,492.2,51.3
35.75,485.3,430.8,525.7,480.6,47.6
36.0,476.6,417.4,527.6,473.9,55.1
36.25,465.1,409.0,519.4,464.5,55.2
36.5,453.4,398.6,494.7,448.9,48.2
36.75,444.9,397.2,485.4,442.5,44.1
37.0,443.0,393.3,478.0,438.1,42.6
37.25,430.2,374.1,474.0,426.1,50.1
37.5,424.6,366.1,460.6,417.1,47.7
37.75,406.5,365.9,448.3,406.9,41.2
38.0,399.7,354.2,436.0,396.6,41.0
38.25,389.2,346.9,429.1,388.4,41.1
38.5,384.9,336.8,427.7,383.1,45.5
38.75,371.0,332.5,420.4,374.7,44.1
39.0,364.4,333.2,406.0,367.9,36.6
39.25,361.4,320.5,393.3,358.4,36.5
