Names,XPS_Foam_Board_R1,XPS_Foam_Board_R2,XPS_Foam_Board_R3,Mean,Std. Dev.
590,25.8,,,25.8,
591,29.5,,,29.5,
592,37.2,,,37.2,
593,43.5,,,43.5,
594,50.9,,,50.9,
595,56.3,,,56.3,
596,68.1,,,68.1,
597,78.1,,,78.1,
598,85.1,,,85.1,
599,94.3,,,94.3,
600,101.0,,,101.0,
601,114.0,,,114.0,
602,125.1,,,125.1,
603,136.8,,,136.8,
604,143.1,,,143.1,
605,161.0,,,161.0,
606,173.3,,,173.3,
607,182.9,,,182.9,
608,194.9,,,194.9,
609,211.6,,,211.6,
610,220.8,,,220.8,
611,228.8,,,228.8,
612,239.4,,,239.4,
613,251.8,,,251.8,
614,258.0,,,258.0,
615,269.9,,,269.9,
616,272.7,,,272.7,
617,288.4,,,288.4,
618,294.4,,,294.4,
619,306.1,,,306.1,
620,308.8,,,308.8,
621,318.5,,,318.5,
622,317.6,,,317.6,
623,319.3,,,319.3,
624,321.1,,,321.1,
625,327.7,,,327.7,
626,327.1,,,327.1,
627,335.3,,,335.3,
628,334.6,,,334.6,
629,343.1,,,343.1,
630,339.7,,,339.7,
631,357.0,,,357.0,
632,355.0,,,355.0,
633,358.0,,,358.0,
634,367.1,,,367.1,
635,366.5,,,366.5,
636,372.0,,,372.0,
637,382.7,,,382.7,
638,386.1,,,386.1,
639,406.3,,,406.3,
640,388.9,,,388.9,
641,408.0,,,408.0,
642,410.0,,,410.0,
643,424.5,,4.5,214.5,297.0
644,412.2,,6.9,209.5,286.6
645,444.2,,8.8,226.5,307.9
646,441.7,,10.5,226.1,304.9
647,448.9,,12.3,230.6,308.8
648,447.0,29.6,17.8,164.8,244.5
649,467.8,38.1,22.7,176.2,252.6
650,471.4,37.8,27.0,178.7,253.5
651,488.1,45.3,31.0,188.1,259.9
652,491.9,52.2,41.8,195.3,256.9
653,482.3,65.3,51.6,199.7,244.8
654,482.1,75.0,60.1,205.8,239.5
655,510.8,87.4,68.1,222.1,250.2
656,522.2,93.9,75.4,230.5,252.8
657,514.2,103.9,89.7,235.9,241.1
658,524.6,108.7,105.9,246.4,240.9
659,519.5,115.8,117.7,251.0,232.6
