LABORATORY,FSRI 
TEST IDENT,EngWoodFurn_HF25_1
OPERATOR,Dow
MATERIAL,Engineered Wood Furniture - Wood Veneer on MDF
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03958353400230408
SPEC HOLDER DIFF,-566
SPECIMEN MASS,112.26000213623047
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5550
TIME TO IGN,118.25
END OF TEST SCAN,5070
END OF TEST TIME,1267.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.63 x 99.92 x 13.76 mm
POST TEST CMT,"A bubble formed between the veneer and the MDF after ignition, which deflated shortly thereafter and released a brief horizontal flame jet from the edge of the sample."
