Names,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
616,302.7,283.9,306.8,297.8,12.2
617,311.7,289.6,312.1,304.5,12.9
618,320.9,288.8,324.4,311.4,19.6
619,319.1,287.4,317.5,308.0,17.8
620,323.4,287.6,319.8,310.3,19.7
621,317.4,292.6,314.0,308.0,13.4
622,316.4,286.5,320.7,307.9,18.6
623,325.1,295.9,314.5,311.8,14.8
624,326.3,293.7,327.8,315.9,19.3
625,318.9,295.0,322.4,312.1,14.9
626,326.1,293.6,336.8,318.9,22.5
627,335.4,306.0,332.7,324.7,16.2
628,326.4,306.7,332.0,321.7,13.3
629,340.5,299.4,337.2,325.7,22.8
630,337.8,303.4,338.4,326.5,20.1
631,327.6,316.1,343.7,329.1,13.9
632,341.4,301.7,346.7,329.9,24.6
633,340.5,310.6,349.1,333.4,20.2
634,343.6,319.1,351.2,338.0,16.8
635,344.9,316.1,351.9,337.6,18.9
636,342.3,318.9,347.8,336.3,15.4
637,353.4,322.1,348.7,341.4,16.9
638,361.7,318.1,359.0,346.3,24.5
639,355.5,320.2,352.9,342.8,19.7
640,355.1,318.7,352.3,342.1,20.2
641,360.9,331.4,360.1,350.8,16.8
642,362.9,329.0,358.4,350.1,18.4
643,360.2,326.1,364.1,350.1,20.9
644,362.9,338.4,374.9,358.7,18.6
645,369.0,341.5,362.7,357.7,14.4
646,379.5,329.3,372.9,360.5,27.3
647,364.3,327.4,368.8,353.5,22.7
648,365.9,335.4,375.3,358.9,20.9
649,373.6,335.3,372.5,360.5,21.8
650,376.1,339.4,379.9,365.2,22.4
651,374.8,337.4,386.5,366.2,25.6
652,383.9,350.5,385.9,373.4,19.9
653,378.9,349.2,381.8,370.0,18.0
654,380.0,337.4,395.4,370.9,30.1
655,375.7,355.6,393.8,375.0,19.1
656,384.5,352.6,388.3,375.2,19.6
657,388.3,352.1,391.7,377.4,22.0
658,380.8,368.2,395.4,381.5,13.6
659,376.9,356.2,389.2,374.1,16.7
660,399.3,352.7,394.8,382.3,25.7
661,395.3,357.5,396.2,383.0,22.1
662,397.5,367.1,414.3,393.0,23.9
663,399.6,353.6,410.8,388.0,30.3
664,403.7,375.6,400.5,393.3,15.4
665,399.5,375.6,412.4,395.9,18.7
666,398.4,387.5,411.0,399.0,11.8
667,399.1,390.0,414.0,401.0,12.1
668,398.3,376.4,419.9,398.2,21.7
669,404.5,372.9,430.0,402.5,28.6
670,414.9,386.8,420.5,407.4,18.1
671,418.1,382.5,433.0,411.2,25.9
672,408.7,395.2,426.9,410.3,15.9
673,426.9,377.7,430.4,411.7,29.5
674,428.1,400.2,428.1,418.8,16.1
675,406.0,391.3,438.2,411.9,24.0
676,429.7,395.0,439.8,421.5,23.5
677,419.5,396.8,433.8,416.7,18.6
678,420.1,400.5,438.0,419.6,18.8
679,440.6,394.1,430.0,421.5,24.4
680,426.5,405.2,437.8,423.2,16.6
681,428.0,406.1,449.1,427.7,21.5
682,441.8,394.2,446.4,427.5,28.9
683,446.2,409.5,437.4,431.0,19.1
684,448.6,418.7,475.3,447.6,28.3
685,449.6,397.0,455.8,434.1,32.3
686,445.2,419.8,453.8,439.6,17.7
687,445.2,406.9,450.9,434.3,23.9
688,451.7,438.0,454.8,448.1,9.0
689,452.0,426.4,470.3,449.6,22.1
690,454.8,433.6,467.4,451.9,17.1
691,460.2,417.9,462.4,446.9,25.1
692,460.7,438.8,450.4,450.0,11.0
693,471.8,430.9,467.4,456.7,22.5
694,474.8,437.2,469.1,460.3,20.3
695,482.9,442.0,470.0,465.0,20.9
696,450.2,448.1,471.3,456.5,12.8
697,481.5,460.7,487.5,476.6,14.0
698,477.3,461.4,479.3,472.7,9.8
699,474.5,458.3,486.2,473.0,14.0
