Names,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
1061,1310.1,1134.9,1412.5,1285.8,140.4
1062,1153.4,1110.9,1386.3,1216.9,148.3
1063,1117.6,1166.9,1477.4,1253.9,195.1
1064,1228.4,1191.0,1366.0,1261.8,92.2
1065,1289.4,1205.8,1393.9,1296.4,94.2
1066,1218.5,1168.2,1527.2,1304.6,194.4
1067,1222.3,1196.8,1453.8,1291.0,141.6
1068,1171.2,1228.1,1310.8,1236.7,70.2
1069,1331.1,1341.7,1469.5,1380.8,77.0
1070,1192.2,1115.9,1597.8,1301.9,259.0
1071,1229.1,1126.7,1518.2,1291.3,203.1
1072,1257.4,1148.7,1550.4,1318.9,207.8
1073,1197.6,1205.7,1338.1,1247.1,78.9
1074,1342.4,1281.1,1610.1,1411.2,175.0
1075,1196.5,1125.1,1433.4,1251.7,161.4
1076,1249.6,1234.5,1501.6,1328.6,150.1
1077,1328.3,1154.8,1317.7,1266.9,97.2
1078,1257.1,1189.2,1627.0,1357.8,235.6
1079,1337.0,1253.4,1570.3,1386.9,164.2
1080,1260.1,1145.6,1475.7,1293.8,167.6
1081,1215.5,1214.0,1383.3,1270.9,97.3
1082,1226.6,1142.4,1645.9,1338.3,269.7
1083,1337.7,1230.2,1320.0,1296.0,57.6
1084,1285.5,1273.9,1533.8,1364.4,146.8
1085,1235.2,1139.3,1478.8,1284.5,175.0
1086,1361.6,1188.0,1431.7,1327.1,125.4
1087,1335.5,1105.5,1382.9,1274.6,148.4
1088,1281.0,1208.4,1428.8,1306.0,112.3
1089,1190.4,1152.5,1529.9,1290.9,207.8
1090,1231.3,1128.0,1490.8,1283.4,186.9
1091,1335.1,1140.8,1476.5,1317.5,168.5
1092,1336.2,1275.0,1402.3,1337.8,63.7
1093,1345.4,1129.1,1606.3,1360.3,238.9
1094,1366.1,1215.3,1580.4,1387.3,183.5
1095,1285.5,1217.4,1520.2,1341.0,158.9
1096,1256.4,1097.5,1678.6,1344.2,300.3
1097,1381.7,1112.7,1543.8,1346.0,217.8
1098,1383.1,1242.4,1476.1,1367.2,117.6
1099,1267.8,1160.3,1590.7,1339.6,224.0
1100,1253.2,1081.7,1498.3,1277.7,209.4
1101,1436.2,1185.1,1574.4,1398.6,197.4
1102,1371.0,1134.0,1643.5,1382.8,255.0
1103,1351.8,1254.0,1567.0,1390.9,160.1
1104,1297.6,1102.6,1545.5,1315.2,222.0
1105,1437.6,1127.3,1571.7,1378.9,227.9
1106,1274.0,1215.7,1587.2,1359.0,199.8
1107,1303.3,1162.1,1595.1,1353.5,220.9
1108,1360.3,1151.7,1548.3,1353.5,198.4
1109,1417.8,1172.9,1588.0,1392.9,208.7
1110,1278.1,1159.4,1526.1,1321.2,187.1
1111,1378.6,1122.6,1619.9,1373.7,248.7
1112,1322.0,1128.3,1454.5,1301.6,164.1
1113,1381.9,1150.9,1432.0,1321.6,149.9
1114,1342.5,1143.3,1434.1,1306.6,148.7
1115,1280.6,1111.6,1389.8,1260.7,140.2
1116,1352.6,1198.2,1517.3,1356.1,159.6
1117,1374.1,1123.2,1439.7,1312.3,167.0
1118,1302.9,1116.2,1400.3,1273.1,144.3
1119,1322.1,1132.1,1424.1,1292.8,148.2
1120,1332.4,1212.6,1477.0,1340.6,132.4
1121,1343.9,1145.2,1374.9,1288.0,124.7
1122,1391.3,1173.0,1521.8,1362.0,176.2
1123,1305.7,1121.1,1368.1,1265.0,128.4
1124,1471.6,1074.7,1428.9,1325.1,217.9
1125,1314.5,1067.6,1311.6,1231.2,141.7
1126,1438.4,1085.6,1395.9,1306.6,192.6
1127,1420.8,1113.4,1431.6,1321.9,180.7
1128,1343.5,1065.3,1445.7,1284.8,196.8
1129,1360.1,1131.6,1312.0,1267.9,120.5
1130,1345.3,1069.8,1439.1,1284.7,192.0
1131,1341.5,1108.8,1351.4,1267.2,137.3
1132,1440.9,1085.0,1343.9,1289.9,184.0
1133,1319.8,1098.9,1351.9,1256.9,137.8
1134,1263.6,1076.9,1411.3,1250.6,167.6
1135,1420.1,1014.9,1333.1,1256.1,213.3
1136,1304.5,1044.1,1323.8,1224.1,156.2
1137,1358.4,1048.7,1377.7,1261.6,184.6
1138,1272.1,1053.1,1357.5,1227.6,157.0
1139,1232.8,1031.4,1288.6,1184.3,135.3
1140,1298.2,1025.4,1259.6,1194.4,147.7
1141,1402.1,1102.7,1317.9,1274.2,154.4
1142,1201.7,1012.5,1251.0,1155.1,125.9
1143,1301.8,1094.1,1262.7,1219.6,110.4
1144,1344.4,1024.2,1213.6,1194.1,161.0
1145,1371.8,1068.1,1202.8,1214.2,152.2
1146,1358.1,984.3,1245.2,1195.9,191.7
1147,1324.9,1013.5,1238.8,1192.4,160.8
1148,1333.3,1059.5,1202.5,1198.5,137.0
1149,1317.5,1080.1,1150.8,1182.8,121.9
1150,1253.3,965.0,1161.1,1126.5,147.3
1151,1224.2,1027.1,1183.6,1145.0,104.0
1152,1394.7,1029.5,1155.0,1193.0,185.6
1153,1260.1,1017.4,1085.8,1121.1,125.2
1154,1335.5,1055.4,1088.8,1159.9,153.0
1155,1211.8,1052.6,1041.8,1102.1,95.2
1156,1293.4,1043.1,1080.9,1139.1,134.9
1157,1254.6,1014.6,1059.1,1109.4,127.7
1158,1292.2,1006.2,1036.8,1111.7,157.0
1159,1303.8,1034.0,1013.1,1117.0,162.1
1160,1288.1,1007.7,1009.8,1101.9,161.3
1161,1278.4,972.6,1015.9,1089.0,165.5
1162,1365.9,989.3,947.0,1100.7,230.6
1163,1188.3,1002.7,928.4,1039.8,133.9
1164,1270.1,975.6,905.9,1050.5,193.3
1165,1372.5,997.0,886.2,1085.2,254.9
1166,1205.0,963.3,882.8,1017.0,167.7
1167,1273.5,1001.3,863.7,1046.2,208.5
1168,1285.7,1025.2,856.8,1055.9,216.1
1169,1190.3,940.2,844.4,991.6,178.6
1170,1221.0,963.7,800.2,995.0,212.1
1171,1192.6,914.9,785.7,964.4,207.9
1172,1275.5,951.6,780.9,1002.7,251.2
1173,1179.9,931.4,765.3,958.9,208.6
1174,1225.3,892.3,755.7,957.7,241.5
1175,1174.2,906.9,748.4,943.1,215.2
1176,1119.5,946.3,724.9,930.2,197.8
1177,1183.3,902.6,707.6,931.2,239.1
1178,1135.2,899.6,688.7,907.8,223.3
1179,1163.9,906.4,677.8,916.0,243.2
1180,1171.7,891.5,662.9,908.7,254.8
1181,1148.3,917.6,637.1,901.0,256.0
1182,1145.7,923.6,620.5,896.6,263.6
1183,1155.3,903.1,601.4,886.6,277.3
1184,1093.5,923.1,579.6,865.4,261.8
1185,1075.5,879.8,574.3,843.2,252.6
1186,1128.4,870.8,570.4,856.5,279.3
1187,1040.2,916.9,559.8,838.9,249.5
1188,1056.3,824.3,527.7,802.8,265.0
1189,1092.8,876.9,508.3,826.0,295.6
1190,1066.8,840.5,486.9,798.1,292.3
1191,1046.5,884.2,462.8,797.8,301.3
1192,1032.3,842.5,438.0,770.9,303.6
1193,1019.2,840.7,426.1,762.0,304.3
1194,1017.4,836.3,409.7,754.4,312.0
1195,1031.0,856.8,387.6,758.5,332.8
1196,1023.4,840.6,363.5,742.5,340.7
1197,1005.4,831.0,349.0,728.5,340.0
1198,1025.2,806.3,334.3,722.0,353.1
1199,998.7,872.0,321.8,730.9,359.9
1200,981.1,820.7,306.3,702.7,352.5
1201,1022.8,790.2,,906.5,164.5
1202,961.4,822.2,,891.8,98.4
1203,958.4,777.2,,867.8,128.2
1204,937.6,811.1,,874.3,89.4
1205,943.5,798.4,,871.0,102.6
1206,922.9,794.1,,858.5,91.0
1207,891.7,781.6,,836.6,77.8
1208,905.2,764.5,,834.9,99.5
1209,916.6,792.6,,854.6,87.7
1210,853.6,770.9,,812.3,58.5
1211,877.0,751.3,,814.1,88.9
1212,862.9,756.5,,809.7,75.2
1213,838.3,754.0,,796.1,59.7
1214,810.1,756.7,,783.4,37.7
1215,824.6,749.8,,787.2,52.9
1216,816.3,726.3,,771.3,63.6
1217,801.1,735.3,,768.2,46.5
1218,780.3,714.1,,747.2,46.8
1219,760.6,712.7,,736.7,33.9
1220,766.5,708.4,,737.4,41.1
1221,745.0,715.0,,730.0,21.2
1222,727.9,707.0,,717.4,14.8
1223,740.9,680.6,,710.7,42.6
1224,706.3,699.3,,702.8,5.0
1225,699.1,702.3,,700.7,2.3
1226,683.3,650.8,,667.0,22.9
1227,675.1,655.0,,665.0,14.2
1228,665.2,661.7,,663.5,2.5
1229,654.5,664.4,,659.4,7.0
1230,634.0,633.5,,633.8,0.4
1231,614.8,636.1,,625.5,15.0
1232,604.7,634.0,,619.3,20.8
1233,594.1,629.3,,611.7,24.9
1234,584.4,628.3,,606.3,31.0
1235,571.2,626.5,,598.8,39.1
1236,558.1,615.3,,586.7,40.5
1237,543.8,628.8,,586.3,60.1
1238,532.0,617.3,,574.6,60.3
1239,523.4,617.0,,570.2,66.2
1240,495.4,598.3,,546.9,72.7
1241,496.4,591.2,,543.8,67.1
1242,486.6,592.2,,539.4,74.6
1243,479.0,586.3,,532.7,75.9
1244,456.2,572.7,,514.4,82.3
1245,453.4,565.8,,509.6,79.5
1246,448.8,551.5,,500.2,72.7
1247,442.2,542.1,,492.1,70.6
1248,424.4,548.2,,486.3,87.6
1249,414.6,533.5,,474.0,84.1
1250,401.5,525.8,,463.6,87.9
1251,390.3,514.6,,452.4,87.9
1252,388.7,505.0,,446.9,82.2
1253,374.0,491.2,,432.6,82.9
1254,364.5,478.5,,421.5,80.6
1255,349.8,466.9,,408.4,82.8
1256,341.2,460.3,,400.7,84.2
1257,332.5,450.1,,391.3,83.1
1258,317.0,441.7,,379.4,88.1
1259,297.9,431.0,,364.5,94.1
1260,285.0,424.7,,354.8,98.8
1261,270.3,421.6,,346.0,107.0
1262,256.8,410.6,,333.7,108.7
1263,245.2,402.6,,323.9,111.3
1264,230.7,399.1,,314.9,119.1
1265,221.2,387.7,,304.4,117.7
