LABORATORY,FSRI 
TEST IDENT,PP_HF75_1
OPERATOR,Dow
MATERIAL,polypropylene
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,303.34002685546875
SPECIMEN MASS,28.600000381469727
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,959
TIME TO IGN,16.25
END OF TEST SCAN,479
END OF TEST TIME,119.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.95 x 99.30 x 3.05 mm
POST TEST CMT,some sample dripped from foil pan during test and continued burning. see test pictures
