LABORATORY,FSRI 
TEST IDENT,PP_HF75_3
OPERATOR,Dow
MATERIAL,polypropylene
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,302.94000244140625
SPECIMEN MASS,28.899999618530273
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,965
TIME TO IGN,17.25
END OF TEST SCAN,485
END OF TEST TIME,121.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.39 x 99.75 x 3.02 mm
POST TEST CMT,sample dripped and burned below foil pan. see test pictures
