Time after Ignition,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
0.0,7.7,7.1,14.8,9.9,4.3
0.25,8.6,8.5,16.1,11.1,4.4
0.5,9.5,9.6,17.3,12.2,4.5
0.75,10.2,11.0,20.3,13.8,5.6
1.0,12.2,11.8,22.4,15.4,6.0
1.25,14.0,13.7,25.5,17.7,6.7
1.5,15.8,15.8,27.5,19.7,6.8
1.75,17.2,17.5,29.1,21.3,6.8
2.0,20.5,19.2,32.5,24.1,7.3
2.25,23.4,20.8,35.1,26.4,7.6
2.5,25.9,23.2,37.9,29.0,7.8
2.75,28.0,25.2,39.5,30.9,7.6
3.0,32.6,27.1,42.0,33.9,7.5
3.25,36.3,29.4,43.4,36.4,7.0
3.5,40.2,32.0,47.4,39.9,7.7
3.75,43.0,33.7,49.5,42.0,7.9
4.0,48.1,36.3,53.0,45.8,8.6
4.25,52.7,38.7,55.7,49.0,9.1
4.5,56.1,40.9,59.7,52.2,10.0
4.75,59.8,44.5,64.1,56.1,10.3
5.0,63.0,49.5,67.2,59.9,9.2
5.25,67.9,51.2,69.8,63.0,10.2
5.5,70.4,54.4,75.4,66.7,11.0
5.75,75.3,60.1,80.7,72.0,10.6
6.0,79.0,65.7,84.0,76.3,9.5
6.25,83.7,69.1,87.5,80.1,9.7
6.5,85.1,72.0,91.8,83.0,10.1
6.75,90.3,78.4,95.0,87.9,8.6
7.0,92.5,82.5,100.8,91.9,9.2
7.25,96.3,87.1,104.6,96.0,8.8
7.5,98.9,91.3,108.9,99.7,8.8
7.75,102.1,94.4,110.8,102.4,8.2
8.0,104.7,100.2,115.2,106.7,7.7
8.25,108.5,104.6,118.6,110.5,7.2
8.5,111.2,109.6,122.3,114.4,6.9
8.75,114.8,112.4,127.6,118.3,8.1
9.0,119.9,115.9,130.1,122.0,7.3
9.25,122.1,121.6,133.5,125.7,6.7
9.5,126.1,124.7,137.3,129.3,6.9
9.75,128.4,129.8,140.5,132.9,6.6
10.0,133.7,132.4,146.1,137.4,7.6
10.25,136.5,137.9,148.5,140.9,6.6
10.5,137.2,139.3,151.6,142.7,7.7
10.75,144.7,141.7,156.5,147.6,7.8
11.0,149.6,146.4,158.9,151.6,6.5
11.25,152.7,147.9,163.8,154.8,8.2
11.5,159.1,154.6,169.4,161.0,7.6
