##Temp./°C,Time/min,DSC(subtr.)/mW,Mass loss(subtr.)/mg,Sensit./(uV/mW)
49.661,10.00917,0.03707099,-0.02097,1.07019
49.761,10.42494,0.06996248,-0.02180465,1.07016
49.861,10.5214,0.09460832,-0.02280682,1.0701399999999999
49.961,10.59324,0.11394000000000001,-0.02201629,1.0701100000000001
50.061,10.65063,0.13423,-0.022959,1.07008
50.161,10.69792,0.15611,-0.02099582,1.07005
50.261,10.73958,0.17486,-0.02096855,1.07003
50.361,10.77706,0.18609,-0.02126225,1.07
50.461,10.811,0.21043,-0.02262174,1.06997
50.561,10.84251,0.23406,-0.02293072,1.06994
50.661,10.872530000000001,0.24299,-0.02232361,1.0699100000000001
50.761,10.90108,0.26139,-0.02220706,1.06989
50.861,10.92779,0.27671,-0.02167629,1.06986
50.961,10.9535,0.28812,-0.02035436,1.0698299999999998
51.061,10.97816,0.30763,-0.01986265,1.0698
51.161,11.001,0.31179,-0.0202822,1.06978
51.261,11.024469999999999,0.34019,-0.02023856,1.06975
51.361,11.04655,0.34364,-0.01985258,1.06972
51.461,11.06758,0.36185,-0.01868583,1.06969
51.561,11.0882,0.36848000000000003,-0.0189968,1.0696700000000001
51.661,11.10893,0.3842,-0.02074361,1.06964
51.761,11.1291,0.39583,-0.02129298,1.06961
51.861,11.14884,0.39676999999999996,-0.02187304,1.06958
51.961,11.16801,0.41835,-0.02253118,1.06956
52.061,11.186639999999999,0.43528,-0.02144279,1.0695299999999999
52.161,11.2058,0.43411000000000005,-0.02174451,1.0695
52.261,11.224,0.44672,-0.02177482,1.0694700000000001
52.361,11.24163,0.45216999999999996,-0.02121174,1.06945
52.461,11.25939,0.47598999999999997,-0.0212997,1.06942
52.561,11.27696,0.4796,-0.02119457,1.06939
52.661,11.29423,0.49104,-0.02081958,1.06936
52.761,11.3109,0.5003,-0.02050221,1.06933
52.861,11.32726,0.50027,-0.0194997,1.06931
52.961,11.34339,0.50651,-0.02028312,1.06928
53.061,11.35929,0.52531,-0.01933252,1.06925
53.161,11.3751,0.53855,-0.01947871,1.06922
53.261,11.39069,0.54086,-0.01978321,1.0692
53.361,11.40615,0.5393600000000001,-0.01930742,1.0691700000000002
53.461,11.42136,0.5566300000000001,-0.02095966,1.06914
53.561,11.43645,0.56706,-0.02059621,1.06911
53.661,11.451369999999999,0.56831,-0.02133471,1.06908
53.761,11.46623,0.5748,-0.02137378,1.0690600000000001
53.861,11.48108,0.58601,-0.02140689,1.06903
53.961,11.495569999999999,0.59486,-0.02132239,1.069
