##Temp./°C,Time/min,DSC(subtr.)/mW,Mass loss(subtr.)/mg,Sensit./(uV/mW)
49.706,10.01,0.03279391,0.00131,1.07018
49.806,10.422,0.0618874,0.0023216829999999997,1.07015
49.906,10.524469999999999,0.08413772,0.002072097,1.0701200000000002
50.006,10.59276,0.11604,0.0029584159999999997,1.0701
50.106,10.64819,0.13338,0.001452024,1.07007
50.206,10.69468,0.16222999999999999,0.002641065,1.0700399999999999
50.306,10.736189999999999,0.18442999999999998,0.003011883,1.0700100000000001
50.406,10.77415,0.21323000000000003,0.0033925970000000002,1.06999
50.506,10.80824,0.22384,0.0028952170000000003,1.06996
50.606,10.840710000000001,0.24291999999999997,0.002564524,1.0699299999999998
50.706,10.87075,0.26123,0.002267461,1.0699
50.806,10.899569999999999,0.28781999999999996,0.003587977,1.06988
50.906,10.926730000000001,0.30207,0.004378509,1.06985
51.006,10.95175,0.31151,0.0038655240000000004,1.06982
51.106,10.976,0.33294,0.003382,1.06979
51.206,10.99992,0.34728000000000003,0.003713035,1.06976
51.306,11.02379,0.35667,0.00299856,1.06974
51.406,11.04608,0.37518,0.002742744,1.06971
51.506,11.06777,0.39279000000000003,0.002952404,1.06968
51.606,11.08882,0.41058999999999996,0.004655364,1.06965
51.706,11.10905,0.4237,0.003975987,1.0696299999999999
51.806,11.12905,0.43068,0.003800177,1.0696
51.906,11.14913,0.44942,0.004242929,1.0695700000000001
52.006,11.16864,0.45808000000000004,0.003890315,1.06954
52.106,11.18753,0.47058999999999995,0.004518026,1.06952
52.206,11.20602,0.48556000000000005,0.004500271,1.06949
52.306,11.22375,0.50207,0.004449908,1.06946
52.406,11.24134,0.5161100000000001,0.004336764,1.0694299999999999
52.506,11.25878,0.53152,0.004317762,1.06941
52.606,11.27592,0.5412600000000001,0.003994837,1.06938
52.706,11.29297,0.55504,0.004125351,1.06935
52.806,11.30959,0.55561,0.002617871,1.06932
52.906,11.326360000000001,0.5655100000000001,0.0034520320000000003,1.06929
53.006,11.34259,0.5767800000000001,0.00261243,1.0692700000000002
53.106,11.35852,0.59328,0.002633923,1.06924
53.206,11.37452,0.59513,0.0026798079999999997,1.06921
53.306,11.390239999999999,0.6096199999999999,0.00218857,1.06918
53.406,11.405669999999999,0.61927,0.002564999,1.06916
53.506,11.42094,0.63035,0.0025291520000000002,1.06913
53.606,11.43624,0.6431,0.0026410640000000003,1.0691
53.706,11.45135,0.64357,0.0026402220000000002,1.06907
53.806,11.46618,0.65008,0.0027721679999999998,1.06904
53.906,11.481010000000001,0.65684,0.002373746,1.06902
54.006,11.49555,0.67414,0.002507756,1.0689899999999999
54.106,11.51009,0.68302,0.0018551470000000001,1.0689600000000001
54.206,11.5246,0.6845,0.00242323,1.06893
54.306,11.53888,0.69519,0.001768941,1.0689
54.406,11.55308,0.70903,0.0027035329999999997,1.0688799999999998
54.506,11.567169999999999,0.71668,0.0031013359999999997,1.06885
54.606,11.58111,0.72054,0.003119373,1.06882
54.706,11.59504,0.72073,0.00285871,1.06879
54.806,11.609010000000001,0.72854,0.00310233,1.06876
54.906,11.62265,0.74279,0.002614428,1.06874
55.006,11.63622,0.74546,0.002379058,1.06871
55.106,11.64983,0.74739,0.002733856,1.0686799999999999
