##Temp./°C,Time/min,DSC(subtr.)/mW,Mass loss(subtr.)/mg,Sensit./(uV/mW)
49.731,10.01,0.0306553,-0.04074,1.07017
49.831,10.43549,0.06021874,-0.04185885,1.0701399999999999
49.931,10.52943,0.07541626,-0.04317746,1.0701200000000002
50.031,10.59501,0.11051,-0.04257936,1.07009
50.131,10.64892,0.12507000000000001,-0.04261325,1.07006
50.231,10.69704,0.15495,-0.0411015,1.07003
50.331,10.73806,0.17648,-0.04275666,1.0700100000000001
50.431,10.77603,0.18320999999999998,-0.04302015,1.06998
50.531,10.81214,0.2122,-0.04257371,1.06995
50.631,10.84448,0.23055,-0.0426179,1.06992
50.731,10.87454,0.24201,-0.0422077,1.0699
50.831,10.903360000000001,0.26784,-0.04257301,1.06987
50.931,10.93037,0.27063000000000004,-0.04270752,1.06984
51.031,10.95623,0.29181999999999997,-0.0421812,1.06981
51.131,10.980780000000001,0.30759000000000003,-0.04210053,1.06979
51.231,11.00451,0.31811999999999996,-0.04217453,1.06976
51.331,11.027389999999999,0.34083,-0.04267762,1.0697299999999998
51.431,11.049560000000001,0.35076999999999997,-0.04269614,1.0697
51.531,11.0712,0.36305,-0.04191389,1.0696700000000001
51.631,11.09218,0.3729,-0.04223734,1.06965
51.731,11.11233,0.38321,-0.04278611,1.06962
51.831,11.1325,0.39798,-0.04303182,1.06959
51.931,11.15199,0.39885,-0.04292813,1.06956
52.031,11.17124,0.42257,-0.04318114,1.06954
52.131,11.189960000000001,0.43723999999999996,-0.04325704,1.06951
52.231,11.20849,0.44143000000000004,-0.04470826,1.06948
52.331,11.22649,0.45043,-0.04402462,1.06945
52.431,11.24425,0.46001000000000003,-0.04382763,1.0694299999999999
52.531,11.26178,0.48268,-0.04287209,1.0694
52.631,11.27893,0.48636999999999997,-0.04280074,1.0693700000000002
52.731,11.295869999999999,0.49563999999999997,-0.04124797,1.06934
52.831,11.31268,0.5058,-0.04252155,1.06931
52.931,11.32912,0.51668,-0.04207224,1.06929
53.031,11.345239999999999,0.52044,-0.04302009,1.06926
53.131,11.36128,0.53394,-0.042072,1.06923
53.231,11.37676,0.5486,-0.04293194,1.0692
53.331,11.39236,0.5566800000000001,-0.04255242,1.06918
53.431,11.40782,0.55719,-0.04311678,1.06915
53.531,11.42298,0.5576300000000001,-0.04391828,1.06912
53.631,11.4382,0.57517,-0.04423548,1.0690899999999999
53.731,11.45323,0.57629,-0.04396627,1.0690600000000001
53.831,11.46792,0.5876,-0.04440881,1.06904
53.931,11.482330000000001,0.5888,-0.04359893,1.06901
54.031,11.49657,0.60175,-0.04350015,1.0689799999999998
54.131,11.51062,0.6133,-0.04213815,1.06895
54.231,11.52486,0.6167600000000001,-0.04298219,1.06893
54.331,11.53905,0.62913,-0.04278239,1.0689
54.431,11.55322,0.6311100000000001,-0.0423418,1.06887
54.531,11.56719,0.6399199999999999,-0.04298363,1.06884
54.631,11.58146,0.6379199999999999,-0.04293786,1.06881
54.731,11.595310000000001,0.6461899999999999,-0.04288272,1.06879
54.831,11.60903,0.66382,-0.04325933,1.06876
54.931,11.6227,0.6631,-0.04276781,1.06873
55.031,11.63623,0.67686,-0.0428226,1.0687
55.131,11.64962,0.68092,-0.04293377,1.06867
55.231,11.662930000000001,0.68608,-0.04302291,1.06865
55.331,11.67631,0.6936100000000001,-0.04335218,1.0686200000000001
55.431,11.689789999999999,0.70235,-0.0445814,1.06859
55.531,11.7032,0.70907,-0.04333415,1.06856
55.631,11.716619999999999,0.71255,-0.0436493,1.06853
55.731,11.72977,0.71328,-0.04456928,1.06851
55.831,11.74263,0.72318,-0.04437402,1.0684799999999999
55.931,11.755410000000001,0.7276100000000001,-0.04427261,1.06845
56.031,11.76833,0.72717,-0.04475783,1.0684200000000001
56.131,11.78106,0.7328,-0.04394055,1.06839
56.231,11.7937,0.74192,-0.04395044,1.06837
56.331,11.80637,0.7497,-0.04478067,1.06834
56.431,11.819,0.75165,-0.04468405,1.06831
56.531,11.83155,0.76189,-0.04468974,1.06828
56.631,11.84424,0.76288,-0.04467621,1.06825
56.731,11.85685,0.77185,-0.04475436,1.0682200000000002
56.831,11.86932,0.77505,-0.04406758,1.0682
56.931,11.881730000000001,0.7743399999999999,-0.04412702,1.06817
57.031,11.89407,0.7803100000000001,-0.04483483,1.0681399999999999
57.131,11.90632,0.77745,-0.04403426,1.0681100000000001
57.231,11.9185,0.7815,-0.04309524,1.06808
57.331,11.930660000000001,0.7852,-0.04417193,1.06806
57.431,11.942789999999999,0.78895,-0.04359514,1.06803
57.531,11.955,0.79499,-0.04311982,1.068
57.631,11.9671,0.8018,-0.04312852,1.06797
57.731,11.97887,0.8054100000000001,-0.04370102,1.06794
57.831,11.99088,0.81301,-0.0444354,1.0679100000000001
57.931,12.00292,0.81739,-0.04327704,1.06789
58.031,12.01477,0.81539,-0.04318417,1.06786
58.131,12.026689999999999,0.8237,-0.04431509,1.0678299999999998
58.231,12.03847,0.82614,-0.04408909,1.0678
58.331,12.05016,0.8346600000000001,-0.04326065,1.06777
58.431,12.0618,0.83749,-0.04409612,1.06774
58.531,12.07349,0.83914,-0.04474207,1.06772
58.631,12.08516,0.8392,-0.04471722,1.06769
58.731,12.09675,0.84265,-0.0444271,1.06766
58.831,12.10839,0.84239,-0.04462662,1.0676299999999999
58.931,12.12005,0.84972,-0.0446794,1.0676
59.031,12.13163,0.85298,-0.04471996,1.0675700000000001
59.131,12.143189999999999,0.85434,-0.0443573,1.06755
59.231,12.15473,0.85459,-0.04386766,1.06752
59.331,12.16625,0.8618899999999999,-0.04470571,1.06749
59.431,12.177719999999999,0.86665,-0.04485146,1.06746
59.531,12.18934,0.86818,-0.04446867,1.0674299999999999
59.631,12.20082,0.8754700000000001,-0.04493359,1.0674
59.731,12.21218,0.87866,-0.04490089,1.0673700000000002
59.831,12.22366,0.8759100000000001,-0.04489018,1.06735
59.931,12.23516,0.8806200000000001,-0.0450251,1.06732
60.031,12.24662,0.88387,-0.04416976,1.06729
60.131,12.258,0.89181,-0.04440008,1.06726
60.231,12.26937,0.886,-0.04490658,1.06723
60.331,12.28086,0.8890299999999999,-0.04491018,1.0672
60.431,12.29224,0.89294,-0.0448938,1.06718
60.531,12.30361,0.89718,-0.04423906,1.06715
60.631,12.315010000000001,0.89838,-0.04440356,1.06712
60.731,12.326369999999999,0.8993200000000001,-0.04512105,1.0670899999999999
60.831,12.33767,0.9045200000000001,-0.04494756,1.0670600000000001
60.931,12.348989999999999,0.9057299999999999,-0.0455875,1.06703
