LABORATORY,FSRI 
TEST IDENT,PET_HF50_1
OPERATOR,Dow
MATERIAL,PET
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.0390564426779747
SPEC HOLDER DIFF,304.4000244140625
SPECIMEN MASS,91.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2128
TIME TO IGN,88.5
END OF TEST SCAN,1648
END OF TEST TIME,412
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.85 x 98.62 x 6.63 mm
POST TEST CMT,"Sample dripped from foil pan during test, see test pictures"
