Names,PET_R1,PET_R2,PET_R3,Mean,Std. Dev.
313,661.3,657.3,626.5,648.4,19.0
314,652.1,613.4,628.7,631.4,19.5
315,666.0,643.8,625.4,645.1,20.4
316,672.7,647.7,612.5,644.3,30.2
317,663.2,630.8,619.9,637.9,22.6
318,641.1,625.6,626.8,631.2,8.6
319,663.5,636.7,619.7,640.0,22.1
320,664.8,637.7,607.9,636.8,28.5
321,642.1,642.2,606.5,630.3,20.6
322,649.9,622.9,620.5,631.1,16.3
323,651.9,656.4,602.0,636.8,30.2
324,650.6,656.2,611.9,639.6,24.1
325,646.0,622.1,623.7,630.6,13.3
326,633.5,640.4,615.2,629.7,13.0
327,634.8,632.1,616.5,627.8,9.9
328,658.8,659.7,614.6,644.4,25.8
329,656.9,658.4,621.3,645.5,21.0
330,646.6,627.7,607.2,627.2,19.7
331,640.5,653.1,610.2,634.6,22.1
332,631.0,642.6,614.9,629.5,13.9
333,633.7,637.7,628.3,633.2,4.7
334,634.2,652.8,612.0,633.0,20.4
335,615.5,645.9,617.3,626.3,17.1
336,645.6,640.2,602.3,629.4,23.6
337,634.3,644.9,620.3,633.2,12.3
338,647.2,636.6,605.4,629.7,21.7
339,646.8,644.2,624.7,638.6,12.1
340,636.2,628.0,618.5,627.6,8.8
341,643.8,633.8,633.1,636.9,6.0
342,650.3,656.8,617.1,641.4,21.3
343,629.8,633.0,595.2,619.3,21.0
344,648.3,636.2,608.8,631.1,20.3
345,643.6,643.6,615.0,634.1,16.5
346,636.6,641.4,608.6,628.9,17.8
347,644.0,634.6,614.6,631.1,15.0
348,640.7,653.1,623.4,639.0,14.9
349,631.0,639.3,613.8,628.0,13.0
350,634.5,641.0,621.6,632.3,9.9
351,632.8,654.7,631.8,639.8,12.9
352,629.0,641.3,606.7,625.7,17.5
353,627.4,644.2,614.5,628.7,14.9
354,625.0,624.5,620.8,623.4,2.3
355,640.8,644.5,621.3,635.5,12.5
356,636.9,631.1,609.5,625.8,14.4
357,644.8,660.8,619.2,641.6,21.0
358,638.6,619.4,606.0,621.3,16.4
359,645.6,627.2,616.7,629.8,14.6
360,634.2,635.8,593.9,621.3,23.7
361,627.3,657.8,619.0,634.7,20.4
362,634.9,634.5,615.9,628.4,10.8
363,637.7,641.3,623.6,634.2,9.3
364,654.1,656.5,601.0,637.2,31.4
365,641.0,623.1,612.6,625.6,14.3
366,637.7,637.4,615.6,630.3,12.7
367,624.6,639.6,590.8,618.3,25.0
368,639.9,651.7,611.2,634.3,20.8
369,639.1,632.4,600.8,624.1,20.5
370,628.3,653.7,601.1,627.7,26.3
371,635.8,636.0,588.2,620.0,27.5
372,669.8,645.5,621.3,645.5,24.2
373,623.8,636.3,594.2,618.1,21.6
374,645.2,636.6,613.4,631.7,16.5
375,637.8,630.4,618.7,629.0,9.6
376,633.3,643.9,614.1,630.4,15.1
377,648.7,636.1,631.2,638.7,9.0
378,633.9,615.8,582.0,610.6,26.4
379,625.0,649.6,589.3,621.3,30.3
380,638.0,654.1,612.8,634.9,20.8
381,651.3,629.9,597.0,626.1,27.4
382,638.2,631.4,626.7,632.1,5.8
383,652.8,655.5,578.5,629.0,43.7
384,633.8,635.9,597.0,622.2,21.9
385,636.5,627.4,614.5,626.2,11.0
386,663.1,624.4,600.9,629.5,31.4
387,669.5,640.5,604.9,638.3,32.4
388,650.7,648.3,596.0,631.7,30.9
389,662.1,632.3,601.2,631.9,30.5
390,640.7,647.2,617.7,635.2,15.5
391,660.6,648.4,610.8,639.9,25.9
392,645.9,647.3,587.3,626.8,34.2
393,622.0,643.8,581.9,615.9,31.4
394,647.2,644.1,596.8,629.4,28.3
395,657.7,648.7,612.6,639.6,23.9
396,665.2,627.1,606.0,632.8,30.0
397,631.8,642.9,603.0,625.9,20.6
398,661.9,636.6,593.3,630.6,34.7
399,651.7,634.6,606.5,631.0,22.8
400,656.0,614.6,604.2,624.9,27.4
401,662.8,633.0,618.3,638.0,22.7
402,660.8,640.2,596.4,632.5,32.9
403,648.0,639.3,595.0,627.4,28.4
404,656.1,637.2,616.9,636.7,19.6
405,647.7,647.0,606.7,633.8,23.5
406,669.3,625.2,611.7,635.4,30.1
407,668.2,652.8,616.3,645.7,26.7
408,666.9,629.6,623.4,640.0,23.5
409,644.7,627.5,610.2,627.5,17.3
410,673.5,624.2,622.1,639.9,29.0
411,673.2,621.7,635.3,643.4,26.6
412,657.2,626.4,604.6,629.4,26.4
413,673.7,636.5,624.5,644.9,25.7
414,669.1,609.5,601.2,626.6,37.0
415,650.8,638.0,627.8,638.9,11.5
416,647.1,614.0,610.8,624.0,20.1
417,661.6,619.5,634.6,638.6,21.3
418,656.0,622.5,612.8,630.5,22.7
419,664.1,626.7,632.4,641.1,20.2
420,642.9,619.8,625.1,629.3,12.1
421,657.0,616.7,612.3,628.7,24.7
422,645.4,626.6,612.3,628.1,16.6
423,650.3,604.3,614.6,623.1,24.2
424,655.6,626.5,634.7,638.9,15.0
425,659.6,621.6,614.3,631.8,24.3
426,649.2,625.9,632.7,636.0,12.0
427,642.9,604.0,632.1,626.3,20.1
428,631.9,618.7,631.0,627.2,7.4
429,639.5,605.8,642.5,629.3,20.4
430,633.8,609.4,637.7,627.0,15.3
431,648.3,625.1,637.4,636.9,11.6
432,631.8,627.4,633.6,630.9,3.2
433,644.1,612.2,653.2,636.5,21.5
434,652.5,618.8,632.9,634.7,16.9
435,643.0,624.2,655.8,641.0,15.9
436,628.0,601.0,640.6,623.2,20.2
437,647.7,614.1,653.5,638.5,21.3
438,632.1,607.9,658.7,632.9,25.4
439,629.0,603.6,670.0,634.2,33.5
440,613.8,612.8,660.0,628.9,27.0
441,644.7,608.0,667.0,639.9,29.8
442,626.8,610.1,650.0,628.9,20.1
443,644.6,616.8,682.1,647.9,32.8
444,654.6,617.9,646.4,639.6,19.2
445,623.2,594.2,654.0,623.8,29.9
446,614.3,608.3,674.3,632.3,36.5
447,628.7,632.1,671.3,644.1,23.6
448,622.3,609.2,672.2,634.5,33.3
449,637.8,609.9,678.9,642.2,34.7
450,644.6,603.9,692.4,646.9,44.3
451,630.0,601.9,673.2,635.0,35.9
452,637.8,601.7,687.6,642.4,43.1
453,632.5,598.4,689.3,640.1,45.9
454,627.0,607.6,689.1,641.2,42.6
455,635.8,588.3,678.6,634.2,45.2
456,635.8,600.5,698.5,644.9,49.6
457,633.0,592.9,678.5,634.8,42.8
458,645.4,601.8,698.9,648.7,48.7
459,630.1,583.5,688.9,634.2,52.8
460,620.0,604.1,687.0,637.0,44.0
461,634.3,601.5,668.0,634.6,33.2
462,630.1,612.5,690.1,644.2,40.7
463,656.9,617.6,685.2,653.3,33.9
464,633.0,600.3,709.8,647.7,56.2
465,627.0,607.0,678.8,637.6,37.1
466,652.7,620.5,676.8,650.0,28.2
467,630.9,591.4,692.3,638.2,50.9
468,630.5,600.2,691.6,640.8,46.5
469,629.4,612.7,674.0,638.7,31.7
470,607.8,599.1,695.2,634.0,53.1
471,622.9,588.7,685.9,632.5,49.3
472,612.8,616.9,691.4,640.4,44.3
473,606.1,600.8,693.0,633.3,51.7
474,636.8,602.1,694.4,644.4,46.7
475,646.7,605.3,701.1,651.0,48.1
476,621.0,593.6,683.5,632.7,46.1
477,626.3,592.4,680.2,633.0,44.2
478,612.1,602.8,683.2,632.7,44.0
479,612.7,598.6,697.9,636.4,53.8
480,613.0,579.3,680.8,624.3,51.7
481,619.0,594.1,704.6,639.3,58.0
482,617.2,602.9,688.9,636.3,46.1
483,618.2,605.9,670.9,631.7,34.5
484,621.8,599.3,703.4,641.5,54.8
485,598.6,612.7,693.7,635.0,51.3
486,603.2,589.0,673.7,621.9,45.4
487,591.9,586.3,689.8,622.7,58.2
488,590.4,598.0,692.3,626.9,56.8
489,588.7,605.4,719.4,637.8,71.1
490,585.2,601.2,703.8,630.0,64.3
491,580.1,589.7,680.7,616.9,55.5
492,560.3,597.3,674.7,610.8,58.4
493,573.2,585.2,690.9,616.4,64.8
494,556.4,583.7,689.1,609.7,70.1
495,553.5,612.0,688.1,617.9,67.5
496,564.1,590.4,710.2,621.6,77.9
497,535.0,602.3,693.5,610.3,79.5
498,539.1,592.0,705.9,612.3,85.2
499,528.5,597.6,675.5,600.5,73.5
500,529.8,591.7,688.5,603.4,80.0
501,521.5,598.8,666.0,595.4,72.3
502,533.5,591.1,668.0,597.5,67.5
503,517.0,581.9,672.4,590.4,78.0
504,519.1,577.2,666.3,587.5,74.1
505,520.2,572.8,669.9,587.6,75.9
506,516.8,567.1,655.1,579.7,70.0
507,516.5,546.5,661.3,574.8,76.5
508,507.6,579.1,657.1,581.2,74.8
509,498.8,566.0,664.9,576.6,83.5
510,500.6,559.6,652.2,570.8,76.4
511,499.3,555.1,657.1,570.5,80.0
512,495.5,546.8,642.7,561.7,74.7
513,504.1,559.8,648.9,570.9,73.0
514,512.9,557.7,624.6,565.1,56.2
515,502.7,552.4,635.4,563.5,67.0
516,511.1,550.3,648.1,569.8,70.6
517,496.0,548.9,630.6,558.5,67.8
518,491.8,545.5,634.5,557.3,72.1
519,502.0,560.7,628.4,563.7,63.3
520,516.5,551.5,612.4,560.1,48.5
521,492.9,535.5,622.5,550.3,66.1
522,499.1,537.8,617.3,551.4,60.3
523,506.4,555.0,648.6,570.0,72.3
524,493.9,549.1,634.6,559.2,70.9
525,504.1,557.0,635.8,565.6,66.3
526,502.6,542.9,646.9,564.1,74.4
527,499.9,532.4,630.5,554.3,68.0
528,495.8,536.5,608.6,546.9,57.1
529,499.9,549.0,670.3,573.1,87.7
530,523.7,540.4,636.6,566.9,61.0
531,510.0,559.7,630.2,566.7,60.4
532,511.3,547.5,644.3,567.7,68.8
533,511.5,567.0,641.3,573.3,65.1
534,508.9,528.9,642.9,560.3,72.3
535,518.7,570.3,691.2,593.4,88.6
536,508.8,570.2,642.9,574.0,67.1
537,506.0,551.9,623.6,560.5,59.3
538,523.3,550.6,640.5,571.5,61.3
539,509.5,574.7,651.4,578.5,71.0
540,527.9,564.1,620.0,570.7,46.4
541,524.4,566.1,651.0,580.5,64.5
542,508.1,559.6,643.3,570.3,68.3
543,519.8,590.3,636.6,582.2,58.8
544,533.1,578.2,656.9,589.4,62.6
545,518.5,569.8,655.0,581.1,69.0
546,515.9,584.0,630.2,576.7,57.5
547,518.6,586.7,630.9,578.7,56.6
548,549.2,584.2,630.0,587.8,40.5
549,531.3,571.9,637.8,580.3,53.8
550,524.0,609.8,646.3,593.4,62.8
551,525.8,594.5,654.8,591.7,64.5
552,523.1,577.8,655.3,585.4,66.4
553,518.8,599.4,617.2,578.5,52.5
554,535.3,589.3,626.9,583.8,46.1
555,511.6,581.0,630.1,574.2,59.6
556,521.4,572.8,626.8,573.6,52.7
557,538.4,595.4,636.9,590.2,49.5
558,528.4,609.9,643.3,593.9,59.1
559,522.6,570.0,603.7,565.4,40.7
560,535.6,612.8,652.0,600.1,59.2
561,541.8,585.5,624.7,584.0,41.4
562,531.3,605.1,618.5,585.0,46.9
563,539.9,588.4,632.7,587.0,46.4
564,542.6,602.2,628.1,590.9,43.9
565,543.1,584.6,641.4,589.7,49.3
566,546.1,579.9,647.8,591.2,51.8
567,545.1,574.0,620.7,580.0,38.1
568,531.9,596.1,617.1,581.7,44.4
569,526.2,593.6,627.0,582.3,51.3
570,535.0,576.9,638.2,583.4,51.9
571,543.2,595.0,614.5,584.3,36.8
572,547.8,571.2,631.5,583.5,43.2
573,540.3,587.0,649.2,592.2,54.6
574,533.8,591.5,630.6,585.3,48.7
575,546.9,587.6,637.0,590.5,45.2
576,557.2,576.9,615.3,583.1,29.6
577,553.8,591.8,628.0,591.2,37.1
578,547.3,591.7,619.2,586.1,36.3
579,534.5,581.6,632.3,582.8,48.9
580,531.9,584.5,622.5,579.6,45.5
581,551.8,588.4,627.6,589.3,37.9
582,550.2,585.5,621.5,585.8,35.6
583,559.6,576.1,625.8,587.1,34.5
584,547.9,581.7,619.8,583.1,36.0
585,539.5,587.5,616.3,581.1,38.8
586,540.0,588.4,613.1,580.5,37.2
587,569.8,590.8,599.6,586.7,15.3
588,537.7,567.0,601.1,568.6,31.7
589,554.3,585.4,602.9,580.8,24.6
590,551.8,582.1,611.4,581.8,29.8
591,549.5,589.3,589.5,576.1,23.0
592,536.7,566.9,598.1,567.2,30.7
593,548.0,571.1,598.9,572.7,25.5
594,546.5,568.0,591.8,568.8,22.7
595,542.0,566.0,606.3,571.4,32.5
596,549.0,573.4,603.6,575.3,27.3
597,547.8,568.9,593.0,569.9,22.6
598,555.7,572.4,600.8,576.3,22.8
599,544.2,565.1,596.9,568.7,26.5
600,538.2,574.6,584.7,565.8,24.4
601,554.6,557.7,586.7,566.4,17.7
602,542.4,566.9,581.5,563.6,19.8
603,529.6,566.0,570.1,555.2,22.3
604,546.4,554.3,584.1,561.6,19.9
605,547.0,562.9,587.3,565.8,20.3
606,538.8,570.8,579.1,562.9,21.3
607,559.1,548.9,586.6,564.9,19.5
608,552.9,581.8,575.7,570.1,15.2
609,546.3,564.4,573.2,561.3,13.7
610,539.8,547.9,589.3,559.0,26.5
611,557.6,551.3,586.8,565.2,19.0
612,537.5,560.3,589.0,562.3,25.8
613,539.4,568.1,564.6,557.4,15.6
614,553.6,550.9,578.2,560.9,15.0
615,552.7,548.2,571.3,557.4,12.2
616,543.6,545.7,582.1,557.1,21.7
617,535.9,544.2,575.8,552.0,21.1
618,543.1,557.7,574.5,558.5,15.7
619,553.6,534.6,565.2,551.1,15.5
620,551.1,548.0,577.9,559.0,16.4
621,546.1,543.0,568.7,552.6,14.0
622,558.7,547.8,570.6,559.0,11.4
623,547.1,538.6,563.2,549.6,12.5
624,539.7,552.1,561.8,551.2,11.1
625,558.5,545.6,571.0,558.4,12.7
626,552.4,552.7,557.6,554.2,3.0
627,551.3,555.9,568.8,558.7,9.1
628,548.1,530.9,556.2,545.1,12.9
629,540.2,541.2,557.7,546.4,9.8
630,552.7,547.8,559.7,553.4,6.0
631,534.3,530.6,548.9,537.9,9.7
632,544.0,545.8,562.4,550.7,10.1
633,535.0,538.9,556.8,543.6,11.6
634,540.3,535.1,550.2,541.9,7.7
635,538.8,539.6,546.9,541.7,4.5
636,543.2,535.8,557.4,545.5,11.0
637,535.6,525.2,542.1,534.3,8.6
638,534.2,541.1,551.3,542.2,8.6
639,544.1,545.0,550.6,546.6,3.5
640,540.4,529.8,551.5,540.6,10.9
641,527.7,537.9,548.8,538.1,10.6
642,525.2,519.9,553.7,532.9,18.2
643,528.7,522.0,558.7,536.5,19.5
644,521.6,515.3,548.7,528.5,17.7
645,509.8,518.3,540.5,522.9,15.8
646,528.1,510.6,533.1,523.9,11.8
647,520.3,518.4,544.3,527.7,14.5
648,531.1,505.1,541.2,525.8,18.6
649,502.6,509.5,533.8,515.3,16.4
650,516.4,513.7,533.0,521.0,10.4
651,505.4,512.3,532.8,516.8,14.2
652,509.5,511.1,521.3,514.0,6.4
653,512.3,492.3,549.3,518.0,28.9
654,513.1,519.0,537.5,523.2,12.7
655,500.5,493.2,525.7,506.4,17.0
656,501.8,491.4,527.2,506.8,18.4
657,510.4,505.6,521.8,512.6,8.3
658,507.9,491.7,536.6,512.1,22.7
659,496.5,509.8,520.7,509.0,12.1
660,492.4,497.7,522.0,504.1,15.8
661,507.4,502.0,531.3,513.6,15.6
662,497.0,492.9,526.7,505.5,18.5
663,495.9,492.9,517.9,502.2,13.6
664,494.1,488.9,516.5,499.8,14.6
665,502.4,492.2,518.6,504.4,13.3
666,496.5,501.9,511.5,503.3,7.6
667,499.0,499.0,516.7,504.9,10.2
668,490.2,504.1,519.9,504.8,14.8
669,495.3,493.2,502.2,496.9,4.7
670,501.9,495.5,507.8,501.7,6.2
671,491.2,493.8,523.6,502.9,18.0
672,497.7,494.6,517.3,503.2,12.3
673,509.3,496.6,503.2,503.1,6.3
674,492.3,493.3,505.4,497.0,7.3
675,489.8,502.6,513.7,502.0,11.9
676,503.8,496.7,510.6,503.7,7.0
677,500.1,489.3,510.2,499.9,10.5
678,495.8,499.9,514.8,503.5,10.0
679,501.5,491.3,509.2,500.7,9.0
680,502.8,492.1,498.2,497.7,5.4
681,500.6,495.3,496.7,497.5,2.8
682,478.3,481.8,493.1,484.4,7.8
683,493.6,491.9,499.4,495.0,3.9
684,498.9,488.9,513.9,500.6,12.6
685,501.3,496.3,502.9,500.2,3.5
686,492.2,492.8,494.7,493.2,1.3
687,505.3,494.7,507.4,502.5,6.8
688,487.8,494.1,499.3,493.7,5.8
689,486.8,486.1,506.2,493.0,11.4
690,488.6,499.3,506.2,498.0,8.9
691,495.5,485.2,485.6,488.8,5.8
692,500.2,488.0,495.3,494.5,6.1
693,504.7,493.1,496.3,498.0,6.0
694,488.5,509.1,485.4,494.3,12.9
695,494.6,494.5,497.2,495.4,1.5
696,492.9,507.4,496.7,499.0,7.5
697,493.2,506.4,499.4,499.7,6.6
698,503.8,491.4,499.1,498.1,6.2
699,515.2,505.3,485.3,501.9,15.2
700,492.1,498.4,503.2,497.9,5.5
701,496.0,502.9,492.9,497.2,5.1
702,498.9,488.9,501.3,496.3,6.6
703,505.8,497.3,506.0,503.1,5.0
704,502.9,495.6,498.4,499.0,3.7
705,505.9,493.7,490.3,496.6,8.2
706,497.5,488.1,505.2,496.9,8.6
707,498.1,499.8,504.8,500.9,3.5
708,506.7,490.3,511.9,503.0,11.3
709,512.4,504.3,515.0,510.6,5.6
710,498.5,501.2,499.4,499.7,1.4
711,496.2,495.6,506.2,499.3,5.9
712,493.3,485.4,509.9,496.2,12.5
713,497.0,495.3,507.6,500.0,6.6
714,508.7,514.5,500.3,507.8,7.1
715,510.5,489.7,516.6,505.6,14.1
716,521.9,502.5,524.1,516.2,11.9
717,505.0,504.7,518.7,509.5,8.0
718,508.2,512.7,517.7,512.9,4.7
719,511.1,492.2,517.9,507.0,13.3
720,509.6,507.0,519.8,512.2,6.8
721,509.8,489.5,513.7,504.4,13.0
722,504.0,509.9,520.6,511.5,8.4
723,518.4,514.4,529.3,520.7,7.7
724,516.9,504.8,503.4,508.4,7.4
725,505.3,493.4,522.6,507.1,14.7
726,508.0,506.6,522.3,512.3,8.7
727,512.9,508.9,528.0,516.6,10.1
728,511.0,508.2,525.9,515.0,9.5
729,503.3,504.6,528.9,512.3,14.4
730,517.4,505.3,541.3,521.4,18.3
731,510.9,502.6,552.1,521.9,26.5
732,522.8,511.3,541.2,525.1,15.1
733,506.2,509.3,559.7,525.1,30.1
734,518.5,493.4,552.2,521.3,29.5
735,511.1,505.9,541.7,519.6,19.3
736,506.2,509.2,556.7,524.0,28.3
737,507.8,495.3,555.8,519.6,31.9
738,507.0,498.0,554.9,520.0,30.6
739,515.3,498.4,553.9,522.5,28.5
740,515.7,504.9,549.9,523.5,23.5
741,516.6,497.0,545.0,519.5,24.1
742,512.0,515.8,565.5,531.1,29.8
743,498.1,510.7,561.9,523.6,33.8
744,508.2,511.4,570.9,530.2,35.3
745,510.8,499.7,571.7,527.4,38.8
746,507.8,497.4,572.0,525.8,40.4
747,513.8,497.5,585.4,532.2,46.8
748,509.2,501.0,577.0,529.1,41.7
