Time after Ignition,PET_R1,PET_R2,PET_R3,Mean,Std. Dev.
0.0,20.5,7.2,23.3,17.0,8.6
0.25,23.0,8.2,26.9,19.4,9.9
0.5,29.0,9.4,30.7,23.1,11.8
0.75,34.4,14.3,36.3,28.3,12.2
1.0,40.6,21.6,40.7,34.3,11.0
1.25,44.8,25.3,45.9,38.7,11.6
1.5,48.9,25.3,50.2,41.5,14.0
1.75,55.5,28.1,53.5,45.7,15.3
2.0,63.3,34.1,60.3,52.6,16.0
2.25,68.9,39.6,66.2,58.3,16.2
2.5,75.4,44.1,70.5,63.3,16.9
2.75,83.7,47.7,74.4,68.6,18.7
3.0,91.8,54.7,79.6,75.4,18.9
3.25,99.0,61.3,83.2,81.1,18.9
3.5,103.9,65.1,89.7,86.3,19.6
3.75,114.6,70.6,94.5,93.2,22.0
4.0,121.0,75.2,101.7,99.3,23.0
4.25,129.0,82.9,102.7,104.9,23.1
4.5,131.8,89.3,110.1,110.4,21.2
4.75,139.3,97.9,116.9,118.0,20.7
5.0,149.8,101.8,122.6,124.7,24.1
5.25,159.0,112.9,127.4,133.1,23.6
5.5,162.9,131.3,133.0,142.4,17.8
5.75,170.9,128.3,143.2,147.5,21.6
6.0,174.0,136.7,149.6,153.4,19.0
6.25,179.8,140.7,158.0,159.5,19.6
6.5,187.3,147.4,158.5,164.4,20.6
6.75,189.5,157.1,169.7,172.1,16.3
7.0,198.5,164.6,176.2,179.7,17.2
7.25,209.8,169.6,186.8,188.7,20.2
7.5,213.5,174.9,191.1,193.2,19.4
7.75,213.7,183.2,197.1,198.0,15.3
8.0,224.0,188.2,201.2,204.5,18.2
8.25,224.1,196.4,214.0,211.5,14.0
8.5,230.1,202.7,217.6,216.8,13.8
8.75,236.4,212.8,228.5,225.9,12.0
9.0,245.4,213.2,237.2,231.9,16.7
9.25,247.8,220.8,247.4,238.7,15.4
9.5,257.5,221.9,255.7,245.0,20.1
9.75,261.3,231.4,264.8,252.5,18.4
10.0,264.3,231.2,266.6,254.0,19.8
10.25,266.6,242.0,276.8,261.8,17.9
10.5,273.1,254.0,275.1,267.4,11.7
10.75,277.7,251.7,287.0,272.1,18.3
11.0,290.6,265.2,288.8,281.5,14.2
11.25,290.4,263.8,303.9,286.0,20.4
11.5,289.0,271.9,306.5,289.1,17.3
11.75,291.1,274.1,309.2,291.5,17.6
12.0,297.0,280.7,329.0,302.2,24.6
12.25,302.3,286.6,327.4,305.4,20.6
12.5,306.1,295.7,324.9,308.9,14.8
12.75,311.3,292.9,340.1,314.7,23.8
13.0,318.2,300.6,342.4,320.4,21.0
13.25,320.5,298.0,359.2,325.9,30.9
13.5,321.1,306.5,360.2,329.3,27.8
13.75,327.9,319.5,363.0,336.8,23.1
14.0,328.8,321.0,380.7,343.5,32.5
14.25,337.8,317.9,379.9,345.2,31.7
14.5,338.7,324.9,390.5,351.4,34.6
14.75,345.4,336.5,386.7,356.2,26.8
15.0,350.0,332.1,395.3,359.2,32.6
15.25,354.2,349.6,401.9,368.6,29.0
15.5,355.2,338.2,409.0,367.5,37.0
15.75,364.0,347.9,412.5,374.8,33.6
16.0,365.3,359.1,423.0,382.5,35.3
16.25,374.0,351.6,431.0,385.5,41.0
16.5,367.2,359.9,427.7,385.0,37.2
16.75,366.9,371.3,439.2,392.5,40.6
17.0,377.8,370.2,439.2,395.8,37.8
17.25,374.3,381.1,446.9,400.8,40.1
17.5,380.1,391.2,462.1,411.2,44.5
17.75,385.9,388.3,470.6,414.9,48.2
18.0,376.6,392.0,449.6,406.1,38.5
18.25,378.6,389.6,463.8,410.7,46.3
18.5,393.1,402.7,485.5,427.1,50.8
18.75,388.9,405.1,486.3,426.8,52.2
19.0,397.6,421.2,490.4,436.4,48.2
19.25,410.4,402.7,504.8,439.3,56.9
19.5,403.7,419.8,497.1,440.2,49.9
19.75,408.1,423.8,514.1,448.7,57.2
20.0,414.0,428.9,512.1,451.7,52.9
20.25,428.7,424.8,535.9,463.1,63.0
20.5,424.3,434.5,527.3,462.0,56.7
20.75,443.7,435.0,539.6,472.8,58.0
21.0,454.9,443.6,526.8,475.1,45.1
21.25,440.5,444.3,530.6,471.8,50.9
21.5,460.5,454.9,555.8,490.4,56.7
21.75,460.1,444.7,561.0,488.6,63.2
22.0,460.1,459.5,557.6,492.4,56.5
22.25,472.7,468.4,567.3,502.8,55.9
22.5,486.2,466.8,569.4,507.5,54.5
22.75,486.3,458.9,563.0,502.7,53.9
23.0,481.7,470.6,554.6,502.3,45.6
23.25,482.0,472.8,550.9,501.9,42.7
23.5,499.1,485.8,588.9,524.6,56.1
23.75,498.8,475.1,580.0,518.0,55.0
24.0,510.3,476.5,586.9,524.6,56.6
24.25,500.4,491.5,581.5,524.5,49.6
24.5,522.2,496.0,584.6,534.3,45.5
24.75,507.8,508.6,569.6,528.7,35.5
25.0,529.1,501.3,585.4,538.6,42.9
25.25,527.1,503.2,571.1,533.8,34.4
25.5,538.8,510.0,583.0,543.9,36.8
25.75,532.9,500.6,582.6,538.7,41.3
26.0,523.1,521.5,602.1,548.9,46.1
26.25,528.6,539.3,585.1,551.0,30.0
26.5,537.5,523.1,597.9,552.8,39.7
26.75,565.9,518.4,584.7,556.3,34.2
27.0,552.1,538.2,584.5,558.3,23.7
27.25,541.3,538.6,577.2,552.4,21.6
27.5,541.7,542.4,593.8,559.3,29.9
27.75,555.0,536.8,583.6,558.5,23.6
28.0,566.1,552.6,590.1,569.6,19.0
28.25,572.7,548.6,598.5,573.3,25.0
28.5,567.4,564.8,601.8,578.0,20.7
28.75,569.3,529.5,593.9,564.2,32.5
29.0,569.9,548.7,583.0,567.2,17.3
29.25,569.4,549.4,590.5,569.8,20.6
29.5,571.8,547.4,581.0,566.7,17.4
29.75,588.7,555.1,589.4,577.7,19.6
30.0,571.1,553.1,601.6,575.3,24.5
30.25,580.0,556.4,560.7,565.7,12.5
30.5,604.0,562.2,598.9,588.3,22.8
30.75,593.8,551.1,586.6,577.1,22.9
31.0,596.1,548.0,589.9,578.0,26.2
31.25,594.9,569.2,586.2,583.4,13.1
31.5,608.7,567.0,563.6,579.8,25.1
31.75,604.1,558.9,576.3,579.8,22.8
32.0,594.6,577.0,559.5,577.0,17.6
32.25,594.4,570.1,558.8,574.5,18.2
32.5,589.3,560.3,571.3,573.6,14.7
32.75,597.3,555.3,551.5,568.0,25.4
33.0,608.8,580.9,563.1,584.3,23.0
33.25,591.9,550.6,563.3,568.6,21.1
33.5,595.0,580.0,566.1,580.4,14.5
33.75,600.1,588.1,545.5,577.9,28.7
34.0,609.5,573.1,559.4,580.7,25.9
34.25,602.1,570.1,549.7,574.0,26.5
34.5,599.4,573.0,558.1,576.8,20.9
34.75,599.8,565.4,565.9,577.0,19.7
35.0,623.7,579.6,561.2,588.2,32.1
35.25,606.7,576.6,544.3,575.9,31.2
35.5,598.9,578.1,565.5,580.8,16.9
35.75,616.5,559.3,552.6,576.2,35.1
36.0,601.0,557.7,550.8,569.8,27.2
36.25,590.3,588.1,539.9,572.8,28.5
36.5,603.0,559.7,544.6,569.1,30.3
36.75,613.5,585.2,558.2,585.6,27.7
37.0,612.7,567.7,557.7,579.4,29.3
37.25,621.4,565.1,554.5,580.3,35.9
37.5,593.0,556.4,541.7,563.7,26.4
37.75,603.3,577.1,541.5,574.0,31.1
38.0,603.5,574.8,561.2,579.9,21.6
38.25,606.4,570.7,528.4,568.5,39.0
38.5,608.7,577.0,539.5,575.0,34.7
38.75,608.9,563.5,539.1,570.5,35.4
39.0,608.8,574.9,538.5,574.1,35.2
