LABORATORY,FSRI 
TEST IDENT,PET_HF50_3
OPERATOR,Dow
MATERIAL,PET
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.0390564426779747
SPEC HOLDER DIFF,303.5
SPECIMEN MASS,90.5999984741211
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2041
TIME TO IGN,81.75
END OF TEST SCAN,1561
END OF TEST TIME,390.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.05 x 98.47 x 6.60 mm
POST TEST CMT,"Sample dripped and warped during test, see test pictures"
