LABORATORY,FSRI 
TEST IDENT,PET_HF25_1
OPERATOR,Dow
MATERIAL,PET
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,304.0999755859375
SPECIMEN MASS,90
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4128
TIME TO IGN,343.5
END OF TEST SCAN,3648
END OF TEST TIME,912
TEST STATUS,1
PRE TEST CMT,Dimensions: 96.94 x 98.32 x 6.71 mm
POST TEST CMT,sample expanded prior to ignition and contacted the spark ignitor. The spark ignitor remained in position for the duration of the test. Mass data was affected.
