Names,PET_R1,PET_R2,PET_R3,PET_R4,PET_R5,Mean,Std. Dev.
1518,330.9,442.2,,,,386.5,78.7
1519,339.1,438.5,,,,388.8,70.3
1520,332.9,442.2,,,,387.6,77.3
1521,347.5,429.8,10.6,,,262.6,222.1
1522,340.9,440.0,11.9,,,264.3,224.1
1523,339.0,440.1,13.4,,,264.2,223.0
1524,340.8,437.7,14.5,,,264.4,221.7
1525,342.3,427.2,15.8,,,261.7,217.2
1526,342.6,445.6,19.0,,,269.1,222.6
1527,344.0,429.7,21.4,,,265.0,215.3
1528,338.2,433.1,24.5,,,265.3,213.8
1529,349.3,428.7,26.1,,,268.0,213.3
1530,339.5,436.3,30.2,,,268.7,212.1
1531,343.8,433.5,34.2,,,270.5,209.5
1532,343.2,432.3,36.5,,,270.7,207.6
1533,342.9,430.1,39.0,,,270.7,205.3
1534,344.0,439.1,43.4,,,275.5,206.5
1535,344.5,423.1,46.6,,,271.4,198.6
1536,345.7,430.2,50.6,,,275.5,199.3
1537,335.8,430.5,53.3,,,273.2,196.2
1538,347.0,434.7,55.9,,,279.2,198.3
1539,359.3,432.0,58.6,,,283.3,197.9
1540,352.5,414.8,61.7,,,276.3,188.4
1541,352.1,429.8,66.7,,,282.8,191.2
1542,346.2,424.1,71.0,,,280.4,185.5
1543,360.7,433.8,72.7,,,289.1,190.9
1544,348.2,420.7,76.9,,,282.0,181.2
1545,354.7,429.1,82.5,,,288.8,182.5
1546,358.1,425.9,87.0,,,290.4,179.3
1547,358.3,426.7,89.6,,,291.5,178.2
1548,367.7,424.1,96.5,,,296.1,175.1
1549,358.5,433.2,98.3,,,296.7,175.8
1550,363.1,425.0,100.7,,,296.3,172.2
1551,358.0,415.7,111.3,,,295.0,161.7
1552,363.0,420.8,109.8,,,297.8,165.4
1553,361.1,427.3,114.6,,,301.0,164.8
1554,355.4,430.7,120.0,,,302.0,162.1
1555,358.6,425.1,123.7,,,302.5,158.4
1556,363.4,425.5,131.8,,,306.9,154.8
1557,363.7,422.6,133.0,,,306.4,153.1
1558,370.1,421.2,141.4,,,310.9,149.0
1559,365.5,419.8,146.6,,,310.6,144.7
1560,364.4,421.9,148.6,,,311.6,144.1
1561,367.5,421.8,156.4,,,315.2,140.2
1562,365.5,428.2,162.0,,,318.6,139.2
1563,367.2,419.6,166.7,,,317.8,133.5
1564,375.0,425.8,170.2,,,323.6,135.3
1565,369.6,425.2,177.2,,,324.0,130.1
1566,373.5,425.3,179.6,,,326.1,129.5
1567,373.6,431.2,185.4,,,330.1,128.6
1568,378.0,413.2,190.7,,,327.3,119.6
1569,377.9,432.9,196.5,,,335.8,123.7
1570,384.1,422.7,195.8,,,334.2,121.4
1571,388.9,422.3,205.2,,,338.8,116.9
1572,390.9,416.9,204.6,,,337.4,115.8
1573,388.2,424.7,207.5,,,340.1,116.3
1574,390.2,423.0,213.4,,,342.2,112.7
1575,396.2,425.3,212.9,,,344.8,115.2
1576,401.2,421.0,220.0,,,347.4,110.8
1577,401.1,431.6,225.3,,,352.7,111.3
1578,408.7,426.3,222.8,,,352.6,112.7
1579,401.3,424.1,223.5,,,349.6,109.8
1580,411.4,430.7,240.5,,,360.9,104.7
1581,412.4,424.8,240.0,,,359.1,103.3
1582,410.9,426.1,235.3,,,357.5,106.0
1583,413.1,433.1,243.1,,,363.1,104.4
1584,420.6,437.4,251.4,,,369.8,102.9
1585,411.4,442.4,251.4,,,368.4,102.5
1586,417.2,434.7,260.9,,,370.9,95.7
1587,416.5,436.2,263.0,,,371.9,94.9
1588,413.0,448.6,269.9,,,377.1,94.6
1589,421.9,437.0,266.5,,,375.1,94.4
1590,418.5,451.1,268.1,,,379.2,97.6
1591,419.8,447.6,280.0,,,382.5,89.8
1592,428.7,441.4,272.2,,,380.8,94.2
1593,424.4,454.3,284.0,,,387.6,90.9
1594,422.9,442.6,289.2,,,384.9,83.5
1595,438.8,465.4,292.7,,,399.0,93.0
1596,448.8,458.0,288.5,,,398.5,95.3
1597,441.5,448.6,296.0,,,395.4,86.1
1598,447.4,454.8,298.6,,,400.3,88.1
1599,442.6,464.1,302.8,,,403.2,87.6
1600,440.2,464.0,304.5,,,402.9,86.1
1601,462.0,457.2,313.6,,,410.9,84.4
1602,459.7,460.3,304.5,,,408.2,89.8
1603,460.5,465.6,305.7,,,410.6,90.9
1604,467.9,449.8,323.9,,,413.9,78.4
1605,475.5,452.5,322.5,,,416.8,82.5
1606,468.9,466.1,323.9,,,419.6,82.9
1607,492.2,460.1,325.4,,,425.9,88.5
1608,473.9,462.7,334.1,,,423.6,77.7
1609,508.1,457.0,327.9,,,431.0,92.9
1610,481.4,460.3,332.8,,,424.8,80.4
1611,502.0,451.7,339.9,,,431.2,83.0
1612,505.0,460.7,337.8,,,434.5,86.6
1613,523.2,459.2,342.6,,,441.7,91.6
1614,505.4,461.0,351.8,,,439.4,79.0
1615,522.1,474.1,351.3,,,449.1,88.1
1616,507.2,459.6,352.3,,,439.7,79.3
1617,513.8,462.7,354.2,,,443.6,81.5
1618,529.0,462.5,357.1,,,449.5,86.7
1619,523.0,448.6,351.7,,,441.1,85.9
1620,555.1,460.0,369.6,,,461.6,92.8
1621,528.5,477.2,366.3,,,457.3,82.9
1622,550.7,463.6,363.4,,,459.2,93.7
1623,563.2,463.3,366.4,,,464.3,98.4
1624,571.8,453.9,364.7,,,463.5,103.9
1625,554.8,454.6,372.6,,,460.6,91.2
1626,546.7,450.8,382.6,,,460.0,82.4
1627,565.7,453.9,375.7,,,465.1,95.5
1628,576.3,460.1,375.2,,,470.5,101.0
1629,573.3,464.5,374.3,,,470.7,99.7
1630,562.5,458.1,382.8,,,467.8,90.2
1631,587.8,448.5,378.1,,,471.4,106.7
1632,590.8,446.1,388.4,,,475.1,104.3
1633,590.5,452.9,380.5,,,474.6,106.7
1634,554.8,461.1,395.9,,,470.6,79.9
1635,580.8,451.8,389.9,,,474.2,97.4
1636,585.0,451.5,391.9,,,476.1,98.9
1637,595.7,443.3,382.8,,,473.9,109.7
1638,587.6,450.6,402.3,,,480.2,96.1
1639,585.5,451.6,393.2,,,476.8,98.6
1640,589.7,449.8,401.8,,,480.4,97.6
1641,601.5,449.5,407.6,,,486.2,102.0
1642,578.8,464.3,405.2,,,482.8,88.2
1643,603.9,450.7,416.8,,,490.5,99.7
1644,581.8,440.5,417.1,,,479.8,89.1
1645,604.8,445.1,418.8,,,489.6,100.6
1646,618.2,442.1,411.8,,,490.7,111.5
1647,602.0,435.6,420.8,,,486.1,100.7
1648,594.1,441.0,432.5,,,489.2,90.9
1649,583.4,436.6,430.8,,,483.6,86.5
1650,587.4,442.7,427.5,,,485.8,88.2
1651,606.9,439.8,432.4,,,493.0,98.7
1652,597.4,443.1,429.9,,,490.2,93.1
1653,607.1,441.9,457.9,,,502.3,91.1
1654,591.7,434.5,449.2,,,491.8,86.8
1655,582.5,431.9,458.3,,,490.9,80.4
