LABORATORY,FSRI 
TEST IDENT,Vinyl_Tile_HF25_2
OPERATOR,Dow
MATERIAL,Vinyl Tile
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.00884
C FACTOR,0.038662128150463104
SPEC HOLDER DIFF,-566
SPECIMEN MASS,53.84000015258789
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1878
TIME TO IGN,103.25
END OF TEST SCAN,1398
END OF TEST TIME,349.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.37 x 101.14 x 2.52 mm; with frame and grid
POST TEST CMT,Gases beneath the sample created bubbles that pushed the sample upwards against the grid. See test pictures. 
