Time after Ignition,Vinyl_Tile_R1,Vinyl_Tile_R2,Vinyl_Tile_R3,Vinyl_Tile_R4,Mean,Std. Dev.
0.0,13.0,9.2,10.6,11.0,11.0,1.6
0.25,15.8,10.8,12.7,11.6,12.7,2.2
0.5,18.3,12.1,14.4,14.1,14.7,2.6
0.75,20.4,14.9,16.1,16.6,17.0,2.4
1.0,22.4,17.5,19.0,16.5,18.8,2.6
1.25,24.8,19.7,22.0,18.9,21.4,2.7
1.5,28.2,21.9,24.7,20.5,23.8,3.4
1.75,31.5,25.5,27.1,24.1,27.0,3.2
2.0,34.8,29.0,29.1,27.5,30.1,3.2
2.25,37.3,32.0,31.2,30.7,32.8,3.0
2.5,41.4,33.7,35.1,33.4,35.9,3.7
2.75,45.0,36.9,38.2,38.6,39.7,3.6
3.0,48.7,38.5,41.8,42.1,42.8,4.3
3.25,51.3,41.9,44.9,46.7,46.2,3.9
3.5,56.2,45.1,47.2,49.7,49.6,4.8
3.75,59.3,47.9,49.3,54.1,52.7,5.2
4.0,62.4,50.3,51.5,58.0,55.5,5.7
4.25,67.0,53.3,53.6,62.0,59.0,6.7
4.5,67.8,56.2,55.7,65.0,61.2,6.2
4.75,72.2,58.6,57.5,68.3,64.2,7.2
5.0,75.1,61.2,60.4,71.9,67.1,7.4
5.25,78.0,66.0,62.2,74.2,70.1,7.2
5.5,79.7,67.7,64.4,76.1,72.0,7.1
5.75,83.6,72.0,66.2,79.5,75.3,7.7
6.0,86.1,74.0,67.3,82.8,77.5,8.5
6.25,87.8,76.7,70.1,86.6,80.3,8.4
6.5,89.9,78.4,71.6,88.5,82.1,8.7
6.75,92.3,82.2,73.3,90.8,84.7,8.8
7.0,94.2,85.9,75.0,93.5,87.1,8.9
7.25,97.9,87.4,76.7,97.5,89.8,10.1
7.5,97.0,90.9,79.1,97.0,91.0,8.4
7.75,99.1,93.3,81.0,96.0,92.3,7.9
8.0,101.4,94.8,83.3,101.4,95.2,8.5
8.25,103.7,97.4,83.9,102.4,96.8,9.1
8.5,102.8,100.8,86.1,103.5,98.3,8.2
8.75,105.9,101.4,88.2,104.5,100.0,8.1
9.0,106.7,103.0,90.0,106.9,101.7,8.0
9.25,108.9,104.5,90.8,109.0,103.3,8.6
9.5,111.6,107.5,92.3,112.6,106.0,9.4
9.75,112.4,106.2,95.3,112.6,106.6,8.1
10.0,114.5,109.9,96.5,112.4,108.3,8.1
10.25,115.8,114.1,99.7,115.6,111.3,7.8
10.5,118.7,114.0,99.5,114.8,111.8,8.4
10.75,119.6,113.8,102.7,115.3,112.8,7.2
11.0,120.7,114.3,104.3,115.4,113.7,6.8
11.25,123.8,114.7,105.4,117.0,115.2,7.6
11.5,126.0,119.4,108.6,115.6,117.4,7.3
11.75,126.9,116.3,110.8,116.7,117.7,6.7
12.0,125.7,119.2,110.6,116.4,118.0,6.3
12.25,128.0,119.9,111.9,116.5,119.1,6.8
12.5,128.4,122.6,113.0,116.7,120.2,6.8
12.75,129.3,124.3,114.2,114.6,120.6,7.4
13.0,127.2,122.8,115.9,117.0,120.7,5.3
13.25,129.2,126.5,118.2,115.5,122.3,6.5
13.5,131.8,127.5,118.7,115.5,123.4,7.6
13.75,132.3,127.4,117.6,118.7,124.0,7.1
14.0,134.5,129.8,120.6,115.7,125.1,8.5
14.25,134.6,131.2,121.8,117.9,126.4,7.8
14.5,134.6,132.6,121.8,117.6,126.6,8.2
14.75,136.7,131.3,124.5,119.6,128.0,7.5
15.0,132.8,134.1,124.7,120.7,128.1,6.4
15.25,134.1,135.6,126.3,123.4,129.9,5.9
15.5,135.5,138.7,126.9,124.9,131.5,6.7
15.75,135.3,136.2,128.8,129.7,132.5,3.8
16.0,136.6,138.7,128.2,129.3,133.2,5.2
16.25,135.9,142.6,128.4,131.1,134.5,6.2
16.5,138.2,141.4,129.8,133.4,135.7,5.1
16.75,139.6,143.2,131.7,138.0,138.1,4.8
17.0,138.8,145.0,131.6,137.7,138.3,5.5
17.25,138.5,145.7,133.9,144.4,140.6,5.5
17.5,141.6,147.6,135.4,145.3,142.5,5.3
17.75,141.7,145.0,136.0,144.8,141.9,4.2
18.0,142.3,147.0,134.5,147.2,142.8,5.9
18.25,144.1,147.7,138.4,149.9,145.0,5.0
18.5,143.6,150.7,138.2,151.7,146.0,6.3
18.75,144.7,148.5,139.5,155.9,147.1,6.9
19.0,145.3,149.9,140.0,156.1,147.8,6.9
19.25,147.8,151.7,138.9,158.1,149.1,8.1
19.5,150.1,151.5,138.4,158.5,149.6,8.3
19.75,146.4,155.1,142.7,161.8,151.5,8.6
20.0,148.3,153.7,140.8,163.3,151.5,9.5
20.25,148.8,154.4,141.6,163.3,152.0,9.1
20.5,151.6,157.8,144.4,165.9,154.9,9.1
20.75,149.9,157.9,141.2,165.3,153.6,10.4
21.0,150.7,157.2,142.2,166.3,154.1,10.2
21.25,150.5,156.4,142.1,165.6,153.6,9.9
21.5,154.6,156.7,142.8,168.3,155.6,10.4
21.75,150.9,160.6,141.0,168.6,155.3,11.9
22.0,153.2,158.4,142.4,169.1,155.8,11.1
22.25,155.0,158.6,142.8,169.9,156.6,11.2
22.5,155.6,158.7,142.5,171.6,157.1,12.0
22.75,156.8,158.5,142.5,169.6,156.8,11.1
23.0,156.5,159.3,144.1,170.4,157.6,10.8
23.25,155.4,158.6,142.1,173.7,157.5,13.0
23.5,156.5,159.9,145.1,172.4,158.5,11.2
23.75,156.4,161.4,143.1,170.3,157.8,11.3
24.0,158.9,161.0,144.5,169.9,158.6,10.5
24.25,161.1,159.8,141.5,172.8,158.8,12.9
24.5,157.5,161.0,141.7,173.0,158.3,12.9
24.75,162.5,161.9,143.6,171.7,159.9,11.8
25.0,162.9,160.7,144.4,174.5,160.6,12.4
25.25,162.1,160.7,140.2,173.2,159.0,13.8
25.5,163.8,161.7,141.5,175.8,160.7,14.2
25.75,165.0,160.4,141.3,173.5,160.1,13.6
26.0,164.7,162.5,141.1,173.7,160.5,13.8
26.25,164.5,161.4,141.0,174.1,160.2,13.9
26.5,167.0,159.2,140.7,174.8,160.4,14.6
26.75,166.2,160.1,139.4,173.2,159.7,14.6
27.0,168.1,160.5,141.2,172.4,160.6,13.8
27.25,166.5,160.3,139.8,173.5,160.0,14.5
27.5,164.7,159.2,140.7,172.7,159.3,13.6
27.75,166.8,159.9,139.4,172.7,159.7,14.5
28.0,164.5,163.3,138.7,171.6,159.5,14.3
28.25,168.7,161.2,139.8,176.6,161.6,15.9
28.5,171.1,160.4,141.6,177.5,162.6,15.7
28.75,169.4,161.7,138.7,175.0,161.2,16.0
29.0,171.2,163.0,137.9,171.8,160.9,15.9
29.25,169.9,159.4,139.2,173.0,160.4,15.3
29.5,169.1,161.8,139.0,175.2,161.3,15.8
29.75,170.3,162.1,141.0,169.6,160.8,13.7
30.0,171.2,159.8,138.3,176.6,161.5,17.0
30.25,169.9,162.7,137.9,174.1,161.1,16.2
30.5,171.0,163.5,140.4,172.4,161.8,14.8
30.75,168.5,160.5,140.0,172.7,160.4,14.5
31.0,171.0,160.2,138.2,173.1,160.6,16.0
31.25,171.5,162.5,139.7,175.0,162.2,15.9
31.5,172.3,162.8,141.5,171.5,162.0,14.4
31.75,172.2,164.3,140.3,174.5,162.8,15.7
32.0,169.1,161.6,140.1,173.3,161.0,14.8
32.25,172.1,161.2,140.6,170.9,161.2,14.5
32.5,173.2,161.0,141.2,173.8,162.3,15.3
32.75,171.5,165.0,141.0,170.8,162.1,14.3
33.0,172.4,163.8,142.3,168.7,161.8,13.5
33.25,174.7,164.4,141.6,172.7,163.3,15.2
33.5,171.6,163.8,140.2,166.6,160.5,13.9
