#EXPORTTYPE,NGB PARSER
#FILE,Bmore_Fire_SCBA_S2_STA_N2_30K_240729_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,Bmore_SCBA_S2_30K_Cor.
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2024-07-29T16:22:08+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"SCBA tank bracket from the RAFS/Linden Heights project.
Sample vial label: ""Bmore Fire: SCBA Sample 2 July 23, 2024""
Grey powder.
Reference crucible mass is +/- 0.01 mg.
Crucible mass is +/- 0.01 mg.
(C+S) mass is +/- 0.02 mg."
#SAMPLE,Bmore_SCBA_S2_30K_Cor.
#SAMPLE MASS/mg,4.04
#MATERIAL,Bmore_Fire_SCBA_S2
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,258.739990234375
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
