Time after Ignition,PlasticC_R1,PlasticC_R2,PlasticC_R3,Mean,Std. Dev.
0.0,8.6,15.0,5.9,9.8,4.7
0.25,13.3,21.5,6.5,13.8,7.5
0.5,17.2,27.1,7.1,17.1,10.0
0.75,20.6,32.8,10.7,21.4,11.1
1.0,24.0,37.1,14.0,25.1,11.6
1.25,32.5,49.0,16.7,32.7,16.1
1.5,39.6,58.2,24.3,40.7,17.0
1.75,46.5,66.8,31.4,48.2,17.8
2.0,52.2,75.5,37.0,54.9,19.4
2.25,57.3,82.9,43.5,61.2,20.0
2.5,69.4,88.5,60.3,72.7,14.4
2.75,79.9,103.1,77.1,86.7,14.3
3.0,86.8,114.7,93.3,98.2,14.6
3.25,95.0,126.4,103.8,108.4,16.2
3.5,112.0,130.1,127.4,123.2,9.7
3.75,124.7,146.8,141.7,137.7,11.6
4.0,136.8,160.4,157.2,151.5,12.8
4.25,146.0,172.0,174.6,164.2,15.8
4.5,161.5,188.4,184.9,178.3,14.7
4.75,177.3,194.8,205.8,192.6,14.3
5.0,194.8,208.3,219.3,207.4,12.3
5.25,201.9,218.1,242.8,221.0,20.6
5.5,206.8,236.1,244.3,229.1,19.7
5.75,233.6,243.0,262.5,246.4,14.8
6.0,242.4,257.7,268.9,256.3,13.3
6.25,260.1,271.5,282.7,271.4,11.3
6.5,266.1,284.1,297.3,282.5,15.7
6.75,281.4,303.0,304.2,296.2,12.8
7.0,285.1,301.7,328.4,305.1,21.9
7.25,290.7,314.8,333.0,312.8,21.3
7.5,307.2,319.2,339.2,321.9,16.2
7.75,321.7,331.0,348.4,333.7,13.5
8.0,338.1,347.1,361.6,348.9,11.9
8.25,342.1,349.6,375.2,355.6,17.3
8.5,361.8,348.2,390.4,366.8,21.5
8.75,370.6,359.5,400.4,376.8,21.1
9.0,379.9,365.0,402.4,382.5,18.8
9.25,379.7,370.7,415.8,388.7,23.9
9.5,389.0,380.0,418.3,395.8,20.0
9.75,398.7,382.6,427.8,403.0,22.9
10.0,401.1,391.1,438.9,410.4,25.2
10.25,408.6,398.9,446.0,417.8,24.9
10.5,419.8,404.4,460.3,428.2,28.9
10.75,431.6,405.3,455.8,430.9,25.3
11.0,444.0,413.5,461.0,439.5,24.1
11.25,430.7,420.1,455.9,435.5,18.4
11.5,427.7,438.8,463.6,443.4,18.4
11.75,453.6,416.9,498.3,456.3,40.8
12.0,475.0,440.1,505.9,473.7,32.9
12.25,473.3,448.2,517.8,479.8,35.2
12.5,479.5,457.9,519.5,485.6,31.2
12.75,483.2,460.9,497.6,480.6,18.5
13.0,484.0,460.7,528.6,491.1,34.5
13.25,478.7,487.8,524.1,496.9,24.0
13.5,509.7,481.5,527.2,506.1,23.1
13.75,519.1,486.7,533.3,513.0,23.9
14.0,518.3,508.3,542.2,522.9,17.4
14.25,529.2,498.7,566.7,531.5,34.1
14.5,544.4,511.2,560.4,538.7,25.1
14.75,540.7,522.5,569.7,544.3,23.8
15.0,562.0,522.7,556.7,547.1,21.3
15.25,563.5,525.1,576.4,555.0,26.7
15.5,575.3,527.0,565.8,556.0,25.6
15.75,571.2,553.1,574.7,566.3,11.6
16.0,569.2,546.2,613.0,576.1,33.9
16.25,551.2,541.2,592.0,561.5,26.9
16.5,582.8,547.9,603.8,578.2,28.2
16.75,592.4,574.7,620.6,595.9,23.2
17.0,585.1,575.8,632.0,597.6,30.1
17.25,588.8,567.6,624.3,593.6,28.6
17.5,598.3,562.9,665.5,608.9,52.1
17.75,579.3,565.3,661.6,602.1,52.0
18.0,614.3,593.2,667.8,625.1,38.5
18.25,622.3,599.2,671.3,630.9,36.9
18.5,604.7,592.4,687.6,628.2,51.8
18.75,608.9,615.4,706.5,643.6,54.6
19.0,611.7,617.0,691.8,640.2,44.8
19.25,616.3,617.7,708.6,647.5,52.9
19.5,620.5,619.5,695.9,645.3,43.8
19.75,604.2,626.9,727.1,652.8,65.4
20.0,609.7,634.5,725.6,656.6,61.0
20.25,627.2,643.4,710.1,660.2,43.9
20.5,630.3,656.7,727.6,671.5,50.3
20.75,634.4,653.1,732.5,673.3,52.1
21.0,651.4,658.9,720.6,677.0,37.9
21.25,657.2,652.7,758.7,689.5,60.0
21.5,639.5,665.3,742.4,682.4,53.5
21.75,661.0,671.1,771.2,701.1,60.9
22.0,658.3,700.5,760.1,706.3,51.1
22.25,673.7,686.5,770.0,710.1,52.3
22.5,671.9,722.3,723.3,705.8,29.4
22.75,665.9,682.5,743.0,697.1,40.6
23.0,673.4,698.4,743.9,705.2,35.7
23.25,700.2,715.1,741.5,718.9,20.9
23.5,682.4,694.0,758.6,711.7,41.1
23.75,678.3,697.5,766.7,714.1,46.5
24.0,699.8,725.5,760.3,728.5,30.4
24.25,674.1,737.1,763.5,724.9,45.9
24.5,718.0,732.4,806.4,752.2,47.4
24.75,697.9,715.8,810.9,741.5,60.7
25.0,715.3,723.6,805.9,748.3,50.1
25.25,676.0,721.4,802.1,733.2,63.9
25.5,703.8,742.8,756.4,734.3,27.3
25.75,702.6,747.1,756.7,735.5,28.9
26.0,713.7,754.8,769.0,745.9,28.7
26.25,708.7,757.7,789.5,751.9,40.7
26.5,716.3,776.8,788.3,760.5,38.7
26.75,713.9,730.8,796.1,746.9,43.4
27.0,770.7,731.5,776.0,759.4,24.3
27.25,704.3,740.8,789.6,744.9,42.8
27.5,728.7,751.3,797.5,759.2,35.1
27.75,734.3,768.9,807.1,770.1,36.4
28.0,740.2,760.3,821.3,773.9,42.3
28.25,746.9,773.4,808.8,776.4,31.0
28.5,725.1,745.6,825.9,765.6,53.3
28.75,734.2,769.4,807.6,770.4,36.7
29.0,721.5,785.5,809.4,772.1,45.4
29.25,756.4,806.0,829.6,797.4,37.4
29.5,732.7,765.5,829.1,775.8,49.0
29.75,764.5,802.1,829.1,798.6,32.4
30.0,759.6,775.6,820.7,785.3,31.7
30.25,739.8,790.9,841.5,790.7,50.9
30.5,771.8,770.1,877.1,806.4,61.3
30.75,739.6,801.8,841.5,794.3,51.4
31.0,765.7,806.0,831.4,801.0,33.1
31.25,775.8,814.8,849.6,813.4,36.9
31.5,777.6,806.2,849.5,811.1,36.2
31.75,783.1,806.8,834.6,808.2,25.8
32.0,773.0,802.7,860.4,812.0,44.4
32.25,793.4,843.0,862.8,833.1,35.8
32.5,806.0,789.9,871.1,822.3,43.0
32.75,785.7,845.0,907.0,845.9,60.6
33.0,782.2,815.2,877.1,824.8,48.2
33.25,794.4,821.9,874.4,830.2,40.7
33.5,813.2,806.2,848.1,822.5,22.4
33.75,802.9,834.1,859.6,832.2,28.4
34.0,821.3,807.8,849.7,826.3,21.4
34.25,825.8,832.3,874.7,844.3,26.6
34.5,836.0,841.2,887.1,854.8,28.1
34.75,826.8,829.9,858.5,838.4,17.5
35.0,849.9,793.7,868.9,837.5,39.1
35.25,841.6,851.0,873.1,855.2,16.1
35.5,832.0,850.7,909.5,864.1,40.4
35.75,831.5,861.0,907.0,866.5,38.1
36.0,849.9,835.6,937.0,874.2,54.9
36.25,875.3,852.2,924.9,884.1,37.1
36.5,838.8,845.6,908.6,864.3,38.5
36.75,857.8,845.8,889.8,864.5,22.7
37.0,853.6,878.9,887.6,873.4,17.6
37.25,853.8,848.4,915.4,872.5,37.2
37.5,863.4,862.2,944.5,890.1,47.2
37.75,857.8,876.5,898.3,877.5,20.3
38.0,889.0,856.7,961.8,902.5,53.9
38.25,858.9,888.9,938.5,895.4,40.2
38.5,854.9,847.6,988.7,897.1,79.4
38.75,864.2,890.8,994.6,916.5,68.9
39.0,943.3,890.1,944.5,925.9,31.1
39.25,889.5,872.0,925.4,895.6,27.2
39.5,855.9,877.2,976.3,903.2,64.3
39.75,900.6,915.5,991.9,936.0,49.0
40.0,896.4,909.4,982.2,929.3,46.3
40.25,895.1,903.7,992.3,930.4,53.8
40.5,911.7,908.3,1042.9,954.3,76.7
40.75,898.0,909.9,1025.0,944.3,70.2
41.0,934.7,892.1,1046.0,957.6,79.5
41.25,916.2,893.4,977.9,929.1,43.7
41.5,930.7,892.8,1055.1,959.5,84.9
41.75,912.5,919.2,1071.2,967.6,89.7
42.0,917.3,914.4,1009.2,947.0,53.9
42.25,918.2,894.9,1045.7,952.9,81.2
42.5,894.8,936.8,1056.4,962.7,83.8
42.75,910.5,956.1,1038.8,968.5,65.0
43.0,937.6,921.0,1063.8,974.1,78.1
43.25,948.8,980.6,1060.3,996.6,57.5
