Time after Ignition,PlasticC_R1,PlasticC_R2,PlasticC_R3,Mean,Std. Dev.
0.0,16.5,22.2,17.6,18.8,3.0
0.25,18.6,22.2,20.1,20.3,1.8
0.5,20.4,25.5,22.4,22.8,2.5
0.75,22.1,32.0,24.5,26.2,5.2
1.0,25.6,37.8,26.8,30.1,6.7
1.25,28.9,43.1,31.2,34.4,7.6
1.5,32.5,48.1,35.5,38.7,8.3
1.75,34.7,51.9,40.1,42.2,8.8
2.0,41.1,55.2,43.7,46.7,7.5
2.25,46.1,59.6,46.4,50.7,7.7
2.5,51.6,67.2,53.9,57.6,8.5
2.75,56.1,75.0,60.5,63.9,9.9
3.0,59.0,80.1,64.5,67.9,10.9
3.25,68.4,89.9,70.4,76.3,11.9
3.5,77.1,96.8,75.0,83.0,12.0
3.75,82.1,102.9,79.9,88.3,12.7
4.0,90.2,111.2,91.1,97.5,11.9
4.25,93.9,116.6,100.4,103.7,11.7
4.5,106.3,126.0,112.2,114.8,10.1
4.75,118.9,136.4,116.9,124.1,10.7
5.0,125.6,141.1,117.7,128.2,11.9
5.25,146.7,149.2,131.4,142.4,9.7
5.5,158.7,155.3,147.0,153.7,6.0
5.75,175.0,164.8,160.7,166.9,7.3
6.0,186.3,174.0,177.0,179.1,6.4
6.25,202.0,185.4,193.1,193.5,8.3
6.5,214.5,190.2,202.2,202.3,12.2
6.75,222.6,197.1,218.9,212.9,13.8
7.0,238.7,215.9,232.8,229.1,11.8
7.25,258.2,224.2,246.6,243.0,17.3
7.5,268.3,232.1,256.0,252.1,18.4
7.75,276.9,242.6,273.6,264.3,18.9
8.0,280.1,250.4,284.5,271.7,18.5
8.25,295.5,273.4,296.2,288.4,13.0
8.5,307.8,271.9,323.2,300.9,26.3
8.75,315.9,278.2,335.0,309.7,28.9
9.0,326.3,290.1,345.8,320.7,28.3
9.25,334.1,307.9,355.4,332.5,23.8
9.5,345.6,319.8,369.1,344.8,24.6
9.75,354.5,329.0,380.1,354.5,25.5
10.0,352.1,335.9,384.3,357.4,24.6
10.25,350.7,346.0,395.6,364.1,27.4
10.5,382.3,350.7,419.3,384.1,34.3
10.75,387.4,361.9,421.0,390.1,29.7
11.0,405.5,377.7,426.3,403.2,24.4
11.25,394.4,387.8,430.5,404.2,23.0
11.5,405.0,397.4,452.8,418.4,30.1
11.75,406.7,403.4,465.4,425.2,34.9
12.0,417.5,399.8,466.1,427.8,34.4
12.25,410.4,417.0,478.8,435.4,37.8
12.5,426.6,437.6,469.1,444.4,22.1
12.75,431.2,413.3,468.2,437.6,28.0
13.0,435.3,428.3,494.1,452.6,36.2
13.25,447.0,432.7,497.6,459.1,34.1
13.5,445.1,443.5,489.4,459.3,26.1
13.75,450.7,438.3,487.5,458.8,25.6
14.0,443.0,450.3,493.2,462.2,27.1
14.25,448.0,455.2,493.3,465.5,24.3
14.5,461.9,476.3,498.1,478.8,18.2
14.75,467.2,475.9,498.5,480.5,16.1
15.0,460.3,472.8,510.7,481.3,26.3
15.25,458.9,480.6,519.7,486.4,30.8
15.5,460.8,477.1,509.6,482.5,24.9
15.75,457.7,475.9,519.7,484.5,31.9
16.0,466.1,506.1,513.9,495.4,25.6
16.25,478.3,523.4,524.4,508.7,26.3
16.5,465.2,499.6,538.1,501.0,36.5
16.75,482.5,493.8,511.8,496.0,14.7
17.0,476.2,502.6,538.3,505.7,31.1
17.25,484.0,520.3,531.9,512.1,25.0
17.5,489.5,504.9,541.0,511.8,26.4
17.75,487.9,533.6,559.5,527.0,36.2
18.0,503.8,522.7,560.1,528.8,28.7
18.25,483.4,522.8,547.8,518.0,32.5
18.5,487.7,533.4,558.5,526.5,35.9
18.75,490.8,548.3,563.3,534.1,38.3
19.0,500.0,536.9,568.1,535.0,34.1
19.25,503.8,542.6,564.4,536.9,30.7
19.5,523.2,551.4,558.5,544.4,18.7
19.75,507.8,537.9,550.2,532.0,21.9
20.0,530.0,547.4,585.5,554.3,28.4
20.25,532.1,547.3,575.2,551.5,21.9
20.5,525.6,532.3,585.7,547.8,33.0
20.75,525.8,538.8,585.2,549.9,31.2
21.0,523.2,556.8,578.2,552.7,27.7
21.25,534.9,546.4,586.4,555.9,27.0
21.5,527.7,564.4,593.8,562.0,33.1
21.75,535.6,572.6,568.9,559.0,20.4
22.0,524.5,567.1,589.9,560.5,33.2
22.25,521.1,561.1,596.4,559.5,37.7
22.5,544.5,567.1,608.8,573.5,32.6
22.75,541.6,562.7,595.9,566.8,27.4
23.0,529.8,575.1,603.2,569.4,37.0
23.25,531.4,601.1,591.0,574.5,37.7
23.5,525.7,586.7,621.9,578.1,48.7
23.75,529.8,617.0,583.9,576.9,44.0
24.0,537.4,589.8,595.6,574.2,32.1
24.25,564.4,599.5,597.6,587.2,19.7
24.5,552.1,604.0,583.9,580.0,26.1
24.75,553.9,596.2,596.3,582.2,24.5
25.0,537.8,607.4,597.9,581.1,37.8
25.25,540.3,616.1,600.0,585.5,39.9
25.5,555.6,606.0,611.0,590.9,30.7
25.75,561.4,605.1,610.3,592.3,26.8
26.0,563.5,609.6,617.8,596.9,29.3
26.25,569.4,630.9,623.5,607.9,33.5
26.5,583.3,623.5,614.7,607.2,21.1
26.75,571.2,599.7,630.6,600.5,29.7
27.0,567.6,628.0,604.7,600.1,30.5
27.25,572.6,606.3,598.1,592.3,17.5
27.5,569.3,605.4,609.3,594.7,22.0
27.75,588.1,616.8,602.0,602.3,14.3
28.0,566.1,621.8,629.5,605.8,34.6
