Names,PlasticC_R1,PlasticC_R2,PlasticC_R3,Mean,Std. Dev.
232,1177.0,1169.6,1205.5,1184.0,19.0
233,1154.2,1167.4,1228.3,1183.3,39.6
234,1194.7,1151.3,1125.5,1157.2,35.0
235,1235.1,1197.6,1224.7,1219.2,19.3
236,1241.8,1196.1,1176.4,1204.8,33.6
237,1118.4,1189.6,1221.1,1176.4,52.6
238,1216.1,1208.3,1201.1,1208.5,7.5
239,1236.5,1117.7,1161.4,1171.9,60.1
240,1188.5,1208.1,1188.4,1195.0,11.4
241,1188.8,1219.2,1264.6,1224.2,38.1
242,1208.3,1173.2,1219.5,1200.3,24.2
243,1184.9,1284.5,1244.1,1237.8,50.1
244,1260.8,1206.0,1174.5,1213.8,43.7
245,1276.1,1253.6,1189.7,1239.8,44.8
246,1192.7,1236.9,1238.9,1222.8,26.1
247,1311.1,1213.0,1263.0,1262.4,49.0
248,1215.4,1246.3,1260.3,1240.6,23.0
249,1198.1,1330.5,1200.7,1243.1,75.7
250,1267.2,1257.3,1243.6,1256.0,11.8
251,1256.7,1256.3,1264.3,1259.1,4.5
252,1277.5,1276.7,1248.8,1267.7,16.4
253,1229.1,1281.9,1247.9,1253.0,26.8
254,1351.7,1282.6,1291.4,1308.6,37.7
255,1256.4,1235.6,1278.7,1256.9,21.6
256,1298.3,1304.9,1258.5,1287.2,25.1
257,1285.0,1329.6,1299.5,1304.7,22.8
258,1243.4,1297.6,1278.7,1273.2,27.5
259,1309.3,1295.3,1264.0,1289.5,23.2
260,1330.8,1336.4,1299.7,1322.3,19.8
261,1315.1,1281.9,1363.5,1320.1,41.0
262,1297.7,1316.6,1243.1,1285.8,38.2
263,1250.0,1351.7,1266.1,1289.3,54.6
264,1317.5,1295.6,1251.9,1288.4,33.4
265,1327.9,1284.9,1272.5,1295.1,29.0
266,1293.9,1382.3,1360.3,1345.5,46.0
267,1297.7,1376.5,1360.8,1345.0,41.7
268,1307.1,1324.7,1417.2,1349.7,59.1
269,1336.0,1321.3,1403.3,1353.5,43.7
270,1320.6,1325.7,1309.5,1318.6,8.3
271,1356.9,1347.5,1324.3,1342.9,16.8
272,1351.9,1403.7,1376.8,1377.5,25.9
273,1358.8,1375.1,1421.1,1385.0,32.3
274,1420.6,1395.6,1367.6,1394.6,26.6
275,1343.6,1364.8,1397.3,1368.5,27.1
276,1366.2,1343.7,1414.0,1374.6,35.9
277,1358.2,1393.1,1430.3,1393.9,36.0
278,1445.7,1346.3,1416.0,1402.7,51.0
279,1356.2,1380.1,1483.8,1406.7,67.9
280,1452.9,1456.0,1490.8,1466.6,21.1
281,1347.1,1377.4,1430.0,1384.8,41.9
282,1423.5,1441.5,1437.0,1434.0,9.4
283,1387.1,1368.1,1397.2,1384.1,14.8
284,1385.4,1464.7,1437.2,1429.1,40.3
285,1378.5,1363.5,1474.3,1405.4,60.1
286,1400.3,1359.3,1446.2,1401.9,43.5
287,1482.8,1394.2,1551.2,1476.1,78.7
288,1406.0,1419.9,1549.1,1458.4,78.9
289,1381.7,1448.0,1465.0,1431.6,44.0
290,1353.3,1417.7,1536.9,1436.0,93.2
291,1419.3,1478.3,1416.0,1437.9,35.0
292,1430.8,1406.3,1497.7,1444.9,47.3
293,1482.8,1376.6,1550.8,1470.1,87.8
294,1383.8,1374.4,1462.7,1407.0,48.5
295,1437.5,1474.0,1441.6,1451.0,20.0
296,1347.7,1404.1,1466.6,1406.1,59.5
297,1465.8,1400.0,1482.4,1449.4,43.5
298,1447.9,1338.7,1543.1,1443.2,102.3
299,1493.4,1484.0,1598.7,1525.4,63.7
300,1489.5,1458.6,1572.4,1506.8,58.8
301,1406.7,1444.7,1503.9,1451.7,49.0
302,1489.1,1526.7,1532.0,1515.9,23.4
303,1479.7,1579.6,1505.7,1521.7,51.8
304,1458.3,1397.2,1490.3,1448.6,47.3
305,1430.5,1489.1,1554.0,1491.2,61.8
306,1515.3,1574.5,1625.6,1571.8,55.2
307,1495.3,1553.9,1528.7,1525.9,29.4
308,1454.4,1471.1,1493.7,1473.1,19.7
309,1440.0,1624.4,1541.3,1535.2,92.4
310,1416.7,1446.0,1535.9,1466.2,62.1
311,1510.2,1495.8,1571.8,1525.9,40.4
312,1453.0,1506.2,1624.8,1528.0,87.9
313,1585.2,1445.6,1522.1,1517.6,69.9
314,1411.4,1466.0,1527.1,1468.2,57.9
315,1472.0,1787.8,1540.2,1600.0,166.2
316,1502.9,1492.7,1533.3,1509.6,21.2
317,1487.4,1522.7,1578.6,1529.6,46.0
318,1424.8,1555.3,1604.4,1528.2,92.8
319,1467.5,1480.9,1632.3,1526.9,91.6
320,1528.8,1475.3,1666.0,1556.7,98.4
321,1366.2,1693.4,1619.1,1559.5,171.5
322,1443.0,1522.4,1522.5,1496.0,45.9
323,1507.3,1626.6,1596.9,1576.9,62.1
324,1414.6,1570.9,1592.5,1526.0,97.1
325,1524.3,1543.1,1644.3,1570.6,64.5
326,1492.9,1534.8,1580.5,1536.1,43.8
327,1502.7,1584.9,1580.2,1555.9,46.1
328,1630.3,1513.0,1629.0,1590.7,67.3
329,1488.1,1560.7,1616.0,1554.9,64.2
330,1515.7,1610.9,1584.5,1570.4,49.2
331,1600.4,1521.0,1632.6,1584.7,57.4
332,1451.5,1553.8,1599.3,1534.9,75.7
333,1517.4,1518.6,1604.9,1547.0,50.2
334,1557.6,1530.1,1559.2,1549.0,16.4
335,1577.9,1642.8,1567.5,1596.1,40.8
336,1471.7,1628.8,1561.1,1553.9,78.8
337,1534.2,1563.6,1520.9,1539.6,21.9
338,1531.0,1505.7,1660.0,1565.6,82.7
339,1623.8,1832.2,1582.6,1679.5,133.8
340,1527.9,1437.2,1580.3,1515.1,72.4
341,1611.5,1511.8,1581.0,1568.1,51.1
342,1575.7,1475.9,1534.8,1528.8,50.2
343,1608.3,1537.6,1555.8,1567.3,36.7
344,1583.7,1485.1,1600.3,1556.4,62.3
345,1532.9,1608.9,1517.9,1553.2,48.8
346,1536.4,1665.7,1535.0,1579.0,75.1
347,1740.5,1584.8,1631.0,1652.1,79.9
348,1547.0,1807.4,1609.7,1654.7,135.9
349,1533.6,1525.9,1557.4,1539.0,16.5
350,1576.1,1627.7,1595.9,1599.9,26.0
351,1556.0,1604.6,1581.3,1580.6,24.3
352,1660.4,1571.4,1503.9,1578.6,78.5
353,1497.6,1547.3,1532.8,1525.9,25.6
354,1611.9,1534.7,1529.2,1558.6,46.3
355,1564.6,1553.7,1556.8,1558.4,5.6
356,1571.8,1689.3,1541.9,1601.0,77.9
357,1551.3,1480.5,1475.8,1502.5,42.3
358,1482.4,1530.1,1534.2,1515.6,28.8
359,1482.5,1775.9,1529.6,1596.0,157.6
360,1492.8,1460.6,1477.7,1477.0,16.1
361,1479.9,1486.0,1509.4,1491.8,15.6
362,1569.5,1669.2,1482.3,1573.7,93.5
363,1639.5,1653.9,1583.9,1625.8,37.0
