LABORATORY,FSRI 
TEST IDENT,PlasticC_HF75_2
OPERATOR,Dow
MATERIAL,Plastic C
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,-84.20999145507812
SPECIMEN MASS,31.299999237060547
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,945
TIME TO IGN,16.75
END OF TEST SCAN,465
END OF TEST TIME,116.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.00 x 99.81 x 2.83 mm
