LABORATORY,FSRI 
TEST IDENT,Part_Board_HF50_R3
OPERATOR,Marino
MATERIAL,Particle Board
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03871383145451546
SPEC HOLDER DIFF,-566
SPECIMEN MASS,137.60000610351562
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5890
TIME TO IGN,33.25
END OF TEST SCAN,5410
END OF TEST TIME,1352.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.95 x 101.53 x 19.43 mm; with tie wires
POST TEST CMT,"Sample charred and reduced in surface area. Surface of sample fractured.
"
