LABORATORY,FSRI 
TEST IDENT,Part_Board_HF75_R3
OPERATOR,Marino
MATERIAL,Particle Board
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03833641856908798
SPEC HOLDER DIFF,-566
SPECIMEN MASS,136.42999267578125
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5619
TIME TO IGN,15.75
END OF TEST SCAN,5139
END OF TEST TIME,1284.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.81 x 101.89 x 19.39 mm; with tie wires
POST TEST CMT,Sample charred and reduced in surface area. Surface of sample fractured.
