LABORATORY,FSRI 
TEST IDENT,Part_Board_HF25_R1
OPERATOR,Marino
MATERIAL,Particle Board
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.0396592803299427
SPEC HOLDER DIFF,-566
SPECIMEN MASS,134.80999755859375
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7108
TIME TO IGN,138.5
END OF TEST SCAN,6628
END OF TEST TIME,1657
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.91 x 101.47 x 19.37 mm
POST TEST CMT,"Load cell bumped ~30 seconds. Momentary ignition occured 2 seconds before sustained ignition. Sample charred, warped, and reduced in surface area."
