LABORATORY,FSRI 
TEST IDENT,Part_Board_HF25_R2
OPERATOR,Marino
MATERIAL,Particle Board
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.0396592803299427
SPEC HOLDER DIFF,-566
SPECIMEN MASS,137.63999938964844
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7235
TIME TO IGN,150.5
END OF TEST SCAN,6755
END OF TEST TIME,1688.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.83 x 101.78 x 19.41 mm; with tie wires
POST TEST CMT,Momentary ignition occured ~2 seconds before sustained ignition. Sample charred and reduced in surface area.
