LABORATORY,FSRI 
TEST IDENT,Part_Board_HF75_R1
OPERATOR,Marino
MATERIAL,Particle Board
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03871383145451546
SPEC HOLDER DIFF,-566
SPECIMEN MASS,137.1999969482422
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5581
TIME TO IGN,15.5
END OF TEST SCAN,5101
END OF TEST TIME,1275.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.93 x 101.51 x 19.43 mm; with tie wires
POST TEST CMT,Sample charred and reduced in surface area. Surface of sample fractured. Weigh table bumped around 4 minutes.
