Time after Ignition,Hemp_Sheet_R1,Hemp_Sheet_R2,Hemp_Sheet_R3,Mean,Std. Dev.
0.0,43.8,44.5,35.0,41.1,5.3
0.25,56.0,68.7,50.3,58.3,9.4
0.5,68.4,89.2,61.7,73.1,14.3
0.75,76.9,111.1,73.7,87.2,20.7
1.0,90.6,122.6,83.1,98.8,21.0
1.25,109.1,144.2,109.2,120.9,20.2
1.5,122.4,168.2,130.9,140.5,24.4
1.75,142.4,179.0,153.1,158.1,18.8
2.0,148.9,195.3,164.2,169.5,23.7
2.25,167.4,210.2,182.0,186.5,21.7
2.5,176.6,223.9,195.6,198.7,23.8
2.75,188.3,230.1,207.0,208.5,21.0
3.0,201.5,243.8,217.0,220.8,21.4
3.25,205.9,253.2,233.5,230.8,23.8
3.5,222.2,257.2,242.5,240.6,17.5
3.75,221.3,268.3,249.9,246.5,23.7
4.0,233.7,277.2,259.1,256.7,21.9
4.25,242.8,286.9,264.6,264.8,22.1
4.5,250.5,300.7,269.9,273.7,25.3
4.75,260.2,301.9,280.9,281.0,20.8
5.0,262.5,301.8,283.4,282.6,19.7
5.25,276.0,302.0,284.8,287.6,13.2
5.5,273.8,308.2,291.4,291.1,17.2
5.75,270.9,309.4,283.2,287.8,19.7
6.0,268.6,306.1,279.5,284.7,19.3
6.25,268.3,299.0,274.7,280.7,16.2
6.5,269.1,290.1,273.7,277.6,11.0
6.75,265.6,283.8,265.9,271.7,10.4
7.0,258.1,275.8,258.2,264.0,10.2
7.25,257.0,261.3,252.2,256.9,4.5
7.5,247.7,252.0,246.3,248.7,3.0
7.75,247.5,242.6,239.6,243.2,4.0
8.0,243.5,234.3,233.1,237.0,5.7
8.25,235.6,220.1,223.4,226.3,8.1
8.5,229.2,212.4,218.8,220.2,8.5
8.75,223.6,199.4,210.2,211.1,12.1
9.0,217.4,191.4,204.5,204.4,13.0
9.25,210.0,181.1,199.2,196.8,14.6
9.5,204.9,174.7,188.4,189.3,15.1
9.75,200.7,165.4,178.4,181.5,17.9
10.0,188.2,156.0,175.3,173.2,16.2
10.25,182.3,150.6,165.1,166.0,15.8
10.5,177.9,142.6,155.8,158.8,17.8
10.75,167.2,135.7,149.6,150.8,15.8
11.0,160.5,129.0,143.7,144.4,15.8
11.25,157.0,121.2,134.2,137.5,18.1
11.5,149.8,117.6,130.0,132.4,16.2
11.75,143.7,111.5,123.6,126.3,16.3
12.0,134.5,104.2,118.5,119.1,15.2
12.25,131.9,98.9,112.7,114.5,16.5
12.5,125.2,97.1,106.5,109.6,14.3
12.75,120.5,89.2,101.9,103.9,15.8
13.0,114.6,84.7,98.5,99.3,15.0
13.25,109.7,81.4,93.7,94.9,14.2
13.5,104.4,76.2,88.9,89.8,14.1
13.75,100.7,72.9,86.0,86.5,13.9
14.0,95.9,68.5,81.3,81.9,13.7
14.25,90.7,64.9,78.1,77.9,12.9
14.5,86.5,60.9,75.1,74.2,12.9
14.75,83.6,58.6,72.6,71.6,12.5
15.0,79.4,55.6,68.9,68.0,11.9
15.25,76.0,53.0,65.9,65.0,11.5
15.5,72.1,51.2,64.7,62.7,10.6
15.75,69.5,48.2,61.4,59.7,10.7
16.0,68.2,46.5,58.5,57.7,10.9
16.25,64.7,45.3,56.6,55.5,9.8
16.5,62.1,42.6,54.8,53.1,9.8
16.75,59.7,41.4,51.9,51.0,9.2
17.0,57.3,39.8,50.2,49.1,8.8
17.25,54.5,38.6,47.7,46.9,8.0
17.5,52.7,36.5,46.7,45.3,8.2
17.75,50.6,35.9,44.9,43.8,7.4
18.0,48.4,34.2,43.1,41.9,7.1
18.25,47.2,33.4,41.9,40.8,6.9
